"","sample","tissue","endometriosis","severity","p218813_s_at","p224907_s_at","p224432_at","SH3GLB2"
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.936531,9.020439,6.42314,8.79337
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.942703,7.246523,6.126867,7.43869766666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.047118,7.322236,5.631097,7.33348366666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.577878,6.761448,5.335007,6.89144433333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.426771,6.83769,5.639454,6.96797166666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.695994,7.190769,5.477913,7.12155866666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.034559,7.18469,6.387124,7.20212433333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.684123,6.714754,5.898305,6.76572733333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.692038,6.064543,4.948145,5.90157533333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.692007,8.023681,6.897876,8.20452133333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.645955,6.428788,5.750572,6.275105
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.720263,6.401933,6.260271,6.79415566666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.830681,6.197435,5.545909,6.19134166666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.65018,6.928714,5.795794,6.79156266666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.942989,6.374522,6.197832,6.50511433333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.938956,6.170769,6.069155,6.39296
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.68226,6.428788,6.092513,6.401187
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.380735,4.859734,4.823411,5.02129333333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.687592,6.094288,5.4197,6.06719333333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.182655,5.981114,4.797521,5.98709666666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.08583,6.838475,5.938305,6.95420333333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.077042,4.861531,5.371582,5.43671833333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.753035,6.474271,5.01904,6.748782
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.415015,6.484989,5.624432,6.50814533333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.587123,5.478162,4.856876,5.64072033333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.707951,7.446215,6.183335,7.44583366666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.086085,6.067545,5.815126,6.32291866666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.378811,6.428788,5.206332,6.337977
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.959055,5.988886,5.294426,5.74745566666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.996806,5.70208,6.137304,6.27873
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.939421,6.125712,5.847428,6.304187
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.108571,5.591839,4.754592,5.48500066666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.569385,5.877859,5.495167,5.98080366666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.823912,5.669382,5.436083,5.976459
