"","sample","tissue","endometriosis","severity","p219616_at","p229222_at","ACSS3"
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8682,6.917239,6.3927195
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.996657,4.283281,3.639969
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.66664,4.276169,3.9714045
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.929464,2.875591,3.4025275
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.401611,3.190937,2.796274
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.382627,3.669109,3.525868
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.704654,3.826861,3.7657575
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.540302,3.532037,3.5361695
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.331937,3.889923,3.61093
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.901994,4.133982,3.517988
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.316154,3.09144,3.203797
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.540302,4.224734,3.882518
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.32117,6.79727,6.55922
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.540895,3.934786,3.7378405
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.51282,4.273962,3.893391
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.505782,5.611225,5.0585035
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.218636,4.474988,4.346812
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.540828,4.485049,4.0129385
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.617692,4.514285,4.5659885
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.669542,5.186828,4.928185
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.352082,5.43958,4.895831
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.15635,6.551579,5.8539645
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.954631,4.484059,4.219345
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.71743,3.878704,3.798067
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.626597,5.601023,5.11381
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.791974,6.342117,6.0670455
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.234615,5.858409,5.546512
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.775042,6.609158,6.1921
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.3611,6.560251,5.9606755
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.391773,6.60397,5.9978715
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.305124,5.638575,5.4718495
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.811238,6.61321,6.212224
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.356887,6.41437,5.8856285
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.864104,5.632661,5.2483825
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.480555,6.490096,5.9853255
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.537251,6.038197,5.787724
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.106503,5.000328,5.0534155
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.4175,5.175118,5.296309
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.148709,5.659277,5.403993
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.210973,5.916545,5.063759
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.768581,5.3198,5.0441905
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.572735,4.476627,4.524681
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.962959,3.965265,3.964112
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.540302,3.956885,3.7485935
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.841505,4.527719,4.184612
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.062405,4.90661,4.4845075
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.540302,3.65761,3.598956
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.941864,4.488875,4.2153695
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,4.514285,3.375176
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.540302,3.319196,3.429749
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.320627,4.747228,4.0339275
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.300926,4.465833,3.8833795
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.684932,3.795268,3.7401
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.920094,4.514285,4.2171895
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.619205,4.674737,4.146971
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.540302,5.267392,4.403847
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.64095,4.908321,4.7746355
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.112561,4.344351,4.228456
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.811619,4.238861,4.02524
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.745052,3.88823,3.816641
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.139388,3.01106,3.075224
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.346405,4.042072,3.6942385
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.393219,4.488875,4.441047
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.896056,4.475508,4.185782
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.062405,4.357497,4.209951
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.537938,4.488875,4.0134065
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.8246,3.79057,3.807585
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.625288,3.628197,3.6267425
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.536724,4.955407,4.2460655
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.877338,5.946721,5.4120295
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.540302,4.488875,4.0145885
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.672,4.514285,4.0931425
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.111336,5.868963,5.4901495
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.062405,5.253399,4.657902
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.742103,4.347647,4.044875
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.062405,3.388829,3.725617
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.2931,3.770284,4.031692
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.12519,6.674309,5.8997495
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.072525,6.75472,5.9136225
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.458774,6.320025,5.8893995
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.880014,5.726293,5.3031535
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.102554,6.140238,5.621396
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.776722,6.728336,6.252529
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.019876,5.579158,4.799517
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.873073,5.612325,5.242699
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.077725,5.041652,4.5596885
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.974954,5.796059,5.3855065
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.143646,5.244269,4.6939575
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.313066,6.050026,5.681546
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.081757,5.825284,5.4535205
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.01924,5.891203,5.4552215
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.655062,7.482596,7.068829
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.591947,6.063486,5.8277165
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.062405,5.64511,4.8537575
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.394927,6.396964,6.3959455
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.843132,5.695174,5.269153
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.830903,6.485739,5.658321
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.59094,5.266713,4.9288265
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.543131,5.381622,4.9623765
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.536724,2.818932,3.177828
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.478572,5.932032,5.205302
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.369744,5.248486,5.309115
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.716531,5.741853,5.229192
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.57834,5.356849,4.4675945
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.331111,5.273055,4.802083
