"","sample","tissue","endometriosis","severity","p208161_s_at","p209641_s_at","p230682_x_at","p239217_x_at","ABCC3"
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.117214,6.058639,7.130758,7.624269,7.23272
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.688842,5.174865,3.819853,6.491503,5.54376575
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.145699,6.643642,3.94192,6.921818,6.41326975
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.808086,7.848508,8.438511,7.472469,8.3918935
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,3.727687,3.224182,5.492274,3.6700525
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.75982,2.95139,3.023959,5.281955,3.754281
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.955619,3.269876,3.555574,5.069311,3.962595
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.254717,4.05111,3.510763,5.192236,4.2522065
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.103241,7.415218,7.434003,6.931453,7.72097875
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.470575,4.813414,3.819853,6.680251,5.19602325
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.496182,5.668721,5.581025,6.829938,6.3939665
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.359408,7.197429,6.572382,7.251182,7.59510025
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.45699,4.514583,3.528101,5.815152,4.5787065
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.711888,6.443339,6.444411,7.573697,7.04333375
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.686883,4.295281,3.819853,5.757392,4.88985225
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.638347,4.790308,3.819853,7.014118,5.5656565
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.739878,4.488936,3.173069,6.83105,4.80823325
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,2.236067,3.555574,4.878591,3.22657475
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,2.740956,2.959229,5.0263,3.240638
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.104622,7.510953,6.275281,5.171096,7.015488
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.451157,7.340604,5.678173,6.078864,6.8871995
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.043533,7.439989,6.50844,5.765861,7.18945575
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.987247,8.36317,6.079717,5.667264,7.2743495
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.254717,4.442123,3.320166,4.357757,4.09369075
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.151154,3.887727,3.801072,4.878591,4.179636
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.254717,4.488936,3.583873,4.878591,4.30152925
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.254717,3.009853,3.819853,4.621016,3.92635975
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.299846,4.995588,5.952488,5.293207,5.88528225
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.890063,2.236067,3.215175,4.621997,3.2408255
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.240292,3.65805,3.652354,4.654349,4.05126125
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.470575,4.73946,3.726278,4.791511,4.681956
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.350763,2.740956,3.322957,4.878591,3.82331675
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.137518,6.37361,6.363758,5.667264,6.6355375
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.424036,8.814673,8.004557,5.896123,8.28484725
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.694754,6.903925,7.144151,5.673679,7.10412725
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.151154,2.873421,3.704867,4.621016,3.8376145
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.515625,6.863397,5.956842,5.667264,6.750782
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.237061,2.236067,2.854415,4.621016,2.98713975
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,2.502973,3.215175,4.621016,3.14380775
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.562221,4.069968,3.819853,4.878591,4.58265825
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,2.236067,3.126433,4.621016,3.05489575
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.52056,5.826171,4.660994,4.912328,5.73001325
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.135337,3.188101,3.555574,4.878591,3.68940075
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.800503,2.549113,3.40365,4.878591,3.40796425
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.511229,6.246437,4.574535,5.668322,6.25013075
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.910313,4.73946,3.819853,4.878591,4.83705425
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.509733,2.740956,3.726309,4.621016,3.8995035
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.854548,4.083829,3.555574,4.621016,4.27874175
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.526595,6.681252,6.230495,5.673679,6.77800525
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.120198,2.545925,3.382376,4.535028,3.64588175
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.315826,7.028954,8.3024,5.426949,7.51853225
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.172725,2.695188,3.301323,4.621016,3.447563
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.417183,3.092474,3.555574,4.334202,3.59985825
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.14014,2.795222,3.215175,4.640269,3.6977015
