"","sample","tissue","endometriosis","severity","p226670_s_at","p231838_at","PABPC1L"
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.960368,5.826245,4.8933065
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.079506,5.164294,4.1219
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.310144,6.103814,4.706979
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.142818,4.574409,3.8586135
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.394798,5.893047,5.6439225
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.732146,3.593704,3.162925
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.462687,5.869788,5.6662375
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.998748,4.591573,3.7951605
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.138472,4.731464,3.934968
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.610559,4.195826,3.4031925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.360226,4.967787,4.1640065
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.58364,5.615986,5.599813
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.686851,6.35933,5.5230905
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.31141,5.924829,5.1181195
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.556447,5.999786,5.2781165
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.832505,4.414155,4.62333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.802394,5.487264,4.644829
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.709308,4.410812,3.56006
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.707227,5.806904,6.2570655
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.483667,4.410812,3.9472395
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.951839,5.637924,4.7948815
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.968096,5.64095,5.804523
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.443245,5.279464,4.8613545
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.06353,3.865438,3.464484
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.31751,6.005995,5.6617525
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.434591,5.245324,4.3399575
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.517464,6.110659,5.3140615
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.549623,4.990793,4.770208
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.370498,3.24502,2.807759
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.774099,5.826245,5.800172
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.672803,4.490304,5.0815535
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.654411,5.388148,5.0212795
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.885938,4.447741,4.1668395
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.058298,5.546056,4.302177
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.501006,4.410812,3.955909
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.485546,5.471115,3.9783305
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.462687,4.410812,4.9367495
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.462687,5.599703,5.531195
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.251877,5.856241,6.054059
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.513486,6.30505,5.909268
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.869939,6.075443,5.972691
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.387922,5.737011,5.0624665
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.01299,4.94066,4.976825
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.033034,6.102848,6.067941
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.829565,5.826982,5.3282735
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.346461,5.010646,4.1785535
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.770217,5.615925,5.193071
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.928679,6.811695,6.370187
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.857156,6.909615,6.8833855
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.382331,6.990674,6.6865025
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.488946,5.201324,5.345135
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.060708,4.862119,5.9614135
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.462687,5.29846,5.3805735
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.073668,7.771343,7.9225055
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.258203,6.667038,6.4626205
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.086924,6.678324,6.882624
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.147306,8.278537,8.2129215
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.75927,7.418752,7.589011
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.892605,7.004086,6.9483455
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.041709,6.475797,6.258753
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.769603,6.798872,6.7842375
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.052228,3.925725,3.4889765
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.576795,4.720296,4.6485455
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.328465,6.560071,6.444268
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.561412,5.163308,5.36236
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.869714,5.037474,5.453594
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.955909,4.555888,4.2558985
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.311659,5.826245,5.568952
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.024122,6.384345,6.2042335
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.905221,3.788239,3.34673
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.221356,4.37867,4.300013
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.360394,3.798883,3.5796385
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.242622,4.856355,5.0494885
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.835443,3.975495,4.405469
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.335864,5.295672,5.815768
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.711582,5.826245,4.7689135
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.708598,4.688952,4.198775
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.453257,5.161198,4.3072275
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.592814,5.544291,4.5685525
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.256458,5.197158,5.226808
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.29839,4.216407,3.7573985
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.268111,4.115385,4.191748
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.206268,6.640936,5.423602
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.023515,6.083634,6.0535745
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.589296,5.430906,5.510101
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.574065,4.41087,4.9924675
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.67959,4.725318,4.702454
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.003641,4.643367,4.323504
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.614972,3.858694,3.736833
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.663713,4.483636,4.5736745
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.626354,5.332406,5.47938
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.016415,5.952628,5.9845215
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.776596,5.594283,5.6854395
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.393059,5.128523,5.260791
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.462687,5.826245,5.644466
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.46152,5.663958,5.062739
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.85868,6.0179,5.93829
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.517828,6.331242,5.424535
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.823165,5.925752,4.8744585
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.37051,6.382744,5.376627
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.161037,6.308127,5.234582
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.721201,7.269253,6.995227
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.651001,7.151881,6.901441
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.866718,7.115026,6.990872
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.913442,8.033803,7.9736225
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.82849,8.044518,7.436504
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.878851,7.836356,7.8576035
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.838342,7.637871,8.2381065
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.838828,7.863213,7.8510205
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.158669,6.928704,7.0436865
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.793142,7.424327,7.6087345
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.247668,6.8616,6.554634
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.025788,5.771837,5.8988125
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.627883,7.999114,8.3134985
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.455803,7.33456,7.3951815
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.64519,5.990757,6.3179735
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.847339,7.835278,7.8413085
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.852759,7.754422,7.8035905
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.749196,8.268269,8.0087325
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.189159,7.548233,7.368696
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.377818,6.70664,7.542229
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.089643,8.168281,8.128962
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.213322,4.912748,5.063035
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.497179,7.4369,7.4670395
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.915717,7.158787,7.537252
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.412731,7.800338,8.1065345
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.211172,6.874871,7.0430215
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.793065,7.452146,7.6226055
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.789817,5.510733,5.650275
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.341788,7.087057,7.2144225
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.924957,7.010966,7.4679615
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.22647,7.354449,7.7904595
