"","sample","tissue","endometriosis","severity","p1560853_x_at","p1569191_at","ZNF826P"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.258989,4.622715,3.940852
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.274194,6.324309,5.2992515
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.52112,6.673219,4.5971695
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.488205,4.748781,3.618493
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.099572,4.677654,4.388613
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.159266,5.653658,4.406462
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.695822,6.705775,4.7007985
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69352,6.312211,5.0028655
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.488205,4.686214,3.5872095
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.424309,6.320978,4.8726435
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.679271,4.708192,3.6937315
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.316632,4.677654,3.497143
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.500493,7.266144,5.3833185
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.488205,3.859082,3.1736435
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.488205,5.475809,3.982007
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.488205,5.991795,4.24
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.040201,6.359282,4.6997415
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.270952,4.782416,3.526684
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.870204,5.842713,4.8564585
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.981441,4.791819,3.88663
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.53581,4.677654,3.606732
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.507247,4.69747,3.6023585
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.882006,7.37539,5.628698
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.150381,5.099368,4.1248745
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,3.965908,3.14127
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.821328,5.19151,4.006419
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.43325,4.364578,3.398914
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.551125,4.677654,3.6143895
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.749551,6.809819,5.279685
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.49993,6.380212,4.440071
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.500002,5.720461,4.1102315
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.987733,3.231428,3.1095805
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.120839,7.050999,5.085919
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316877,4.095299,3.206088
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,3.734635,3.020873
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.445365,4.116614,3.2809895
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.600716,5.52684,4.063778
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,3.613056,2.964844
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.000487,3.618277
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.837609,4.758214,3.7979115
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.506529,5.174727,3.840628
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.254778,6.777612,5.016195
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,3.026161,2.666636
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.974918,7.481308,5.728113
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.379817,5.282346,4.3310815
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.543419,8.200889,5.872154
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.039102,6.932789,5.4859455
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.575977,3.436793,3.006385
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.753125,7.180366,5.4667455
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.826389,8.077569,5.951979
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.127265,6.754588,5.4409265
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.779862,3.635717,3.2077895
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.824307,7.886443,5.855375
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.526037,5.2487,3.8873685
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.635293,7.250901,5.443097
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,4.677654,3.4568605
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.44842,7.404891,5.9266555
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.155233,6.936494,5.0458635
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.585369,4.637158,3.6112635
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.783853,5.869296,4.3265745
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.316632,6.43689,4.376761
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.316632,4.601628,3.45913
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.481419,5.813697,4.147558
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.307111,3.750869,3.02899
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.326568,6.003734,5.165151
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.852804,4.896378,3.874591
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.268921,4.333989,3.301455
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.496834,5.146031,3.8214325
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,4.677654,3.4568605
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.50216,5.314584,3.908372
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.578807,5.844463,4.211635
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,3.771919,3.003993
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.323914,3.149228,2.736571
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.455838,3.368154,2.911996
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.610185,5.158613,4.384399
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.488205,4.786602,3.6374035
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.488205,6.125847,4.307026
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.49699,6.422946,4.459968
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.316632,4.686214,3.501423
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.780754,4.686214,3.733484
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.488205,5.069694,3.7789495
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.335885,3.721335,3.02861
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.488205,5.039794,3.7639995
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.502713,4.686214,4.0944635
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.504732,4.415746,3.460239
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.400631,4.971766,3.6861985
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.464006,4.686214,3.57511
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.488205,3.833439,3.160822
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.270826,4.584297,3.4275615
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.316632,3.137493,2.7270625
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.316632,3.664692,2.990662
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.488205,3.099401,2.793803
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243298,2.922397,2.5828475
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.488205,4.686214,3.5872095
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.307111,4.686214,3.4966625
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.316632,4.427935,3.3722835
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.988943,4.073316,3.5311295
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.40171,3.039821,2.7207655
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.835835,4.689766,3.7628005
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.372752,6.300996,4.836874
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.614005,4.598687,3.606346
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.729242,5.819045,4.7741435
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.309573,4.02022,3.1648965
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,3.546836,2.931734
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,2.922397,2.6195145
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.817035,7.832321,5.324678
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.375728,2.922397,2.6490625
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.284694,8.243324,6.264009
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.589098,6.361776,4.475437
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.850871,6.263252,4.5570615
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.206128,4.014042,3.610085
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.307111,2.642068,2.4745895
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.554065,6.19387,4.8739675
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.680891,5.950939,4.315915
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.488205,4.437699,3.462952
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.491461,4.39976,3.4456105
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.413226,5.457204,4.435215
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.813492,6.396151,5.1048215
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.318631,2.408835,2.363733
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.972771,6.224078,4.5984245
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.307111,2.661037,2.484074
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.488205,3.411417,2.949811
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.396515,5.631599,4.514057
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.063906,4.677654,3.87078
