"","sample","tissue","endometriosis","severity","p1554408_a_at","p202338_at","TK1"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.705968,11.165851,10.9359095
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.551511,9.029253,8.790382
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.821474,7.13129,6.976382
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.907861,8.471912,8.1898865
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.426322,7.358066,7.392194
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.140922,10.450035,10.2954785
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.098076,11.033747,10.5659115
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.977505,9.823907,9.900706
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.988474,6.813372,6.900923
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.838443,10.465599,10.152021
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.88908,10.530378,10.209729
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.29086,10.167845,10.2293525
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.027304,9.636569,9.3319365
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.351022,11.522771,11.4368965
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.378897,8.163769,7.771333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.922278,7.908977,7.9156275
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.428849,10.052258,9.7405535
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.951779,8.159821,8.0558
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.620209,10.332156,9.9761825
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.092348,7.112482,6.602415
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.412478,9.062582,8.23753
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.770734,6.961792,6.866263
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.269161,8.148742,7.7089515
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.258441,7.143514,6.7009775
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.197523,8.540083,8.368803
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.307175,10.927474,10.6173245
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.645385,11.334046,10.9897155
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.703063,7.249773,6.976418
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.061582,7.859258,7.46042
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.109695,11.745764,11.4277295
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.951999,11.701896,11.3269475
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.729933,9.14767,8.9388015
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.32834,8.932974,8.630657
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.68639,10.128492,9.907441
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.646506,10.269087,9.9577965
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.906191,9.744971,9.325581
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.449616,8.854915,8.6522655
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.911728,7.109653,7.0106905
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.090962,7.254067,7.1725145
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.103183,9.699533,9.401358
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.200927,9.263883,9.232405
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.503125,8.020233,7.761679
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.115989,6.667072,6.3915305
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.814529,5.575454,5.1949915
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.645864,10.183997,9.9149305
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.622483,8.635965,8.629224
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.948919,9.619205,9.784062
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.138977,9.504555,9.321766
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.126047,8.426189,8.276118
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.999124,8.13838,8.068752
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.678054,6.073209,5.8756315
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.610535,6.182484,5.8965095
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.7867,7.642397,7.7145485
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.575393,8.432094,8.5037435
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.037809,9.365358,9.2015835
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.304809,5.835191,5.57
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.89994,7.914749,7.9073445
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.445321,5.613096,5.5292085
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.622793,8.202465,7.912629
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.064758,6.722053,6.3934055
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.76613,9.318613,9.0423715
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.915527,9.165696,9.0406115
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.401813,6.943503,6.672658
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.963373,6.228483,6.095928
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.379,9.457718,9.418359
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.206067,8.126515,8.166291
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.329272,9.881998,9.605635
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.4718,8.593049,8.5324245
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.989884,11.089904,11.039894
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.391103,10.431286,10.4111945
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.866889,7.190564,7.0287265
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.438816,9.370268,8.904542
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.445321,6.700611,6.072966
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.122711,6.462352,6.2925315
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.614434,7.378331,6.9963825
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.159389,9.089223,8.624306
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.623149,8.3711,7.9971245
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.184171,7.080092,7.1321315
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.414342,12.11297,11.763656
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.407279,11.879054,9.6431665
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.237822,9.70645,9.472136
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.907132,10.500834,10.203983
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.955498,7.860238,7.407868
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.53023,10.145757,9.8379935
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.840246,6.765872,6.803059
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.291224,7.695045,7.4931345
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.922199,9.501943,9.212071
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.526312,6.402881,6.4645965
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.879203,10.562194,10.2206985
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.301143,9.139159,8.720151
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.532722,10.663415,10.0980685
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.657948,7.934008,7.795978
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.994172,10.379805,10.1869885
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.516902,5.272564,4.394733
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.175128,4.631286,3.903207
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.361712,4.476712,3.919212
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.800829,5.272564,5.0366965
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.922787,7.759972,7.8413795
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.03847,7.413492,7.225981
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.427265,9.449569,8.938417
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.749751,3.918321,3.834036
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.361712,4.27973,3.820721
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.18732,7.174056,6.680688
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.359866,5.606846,5.483356
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.445321,6.061904,5.7536125
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.425246,5.86301,5.644128
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.561499,5.272564,4.9170315
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.317321,5.127471,4.722396
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.174076,5.83225,5.503163
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.466551,6.35586,5.9112055
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.703084,5.272564,4.487824
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.200472,7.878657,7.5395645
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.024611,6.353492,6.1890515
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.897607,7.240419,7.069013
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.455195,9.087363,8.771279
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.164318,6.497986,6.331152
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.028637,5.499547,5.264092
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.070029,6.515528,6.2927785
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.015894,5.831349,5.4236215
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.951941,5.279129,5.115535
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.985435,8.275205,8.13032
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.118206,7.550888,7.334547
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.045437,5.272564,4.6590005
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.052159,7.479779,7.265969
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.344647,4.822061,4.583354
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.728313,8.142632,7.9354725
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.291345,7.714717,7.503031
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.43213,7.753713,7.5929215
