"","sample","tissue","endometriosis","severity","p1559822_s_at","p212251_at","p212248_at","MTDH"
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.073722,8.341496,9.837809,7.751009
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.777994,9.280257,9.843746,8.30066566666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.793271,7.657667,9.858062,7.76966666666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.073722,8.556993,8.800398,7.47703766666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.259235,10.727982,10.871811,9.28634266666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.881986,8.463844,10.910636,8.418822
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.540355,9.411455,9.953394,7.96840133333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.734537,8.352703,9.076672,7.721304
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.777994,9.514322,10.57259,8.62163533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.073722,8.402971,8.337435,7.271376
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.073722,8.56283,8.8843,7.50695066666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.357676,10.715762,10.915425,8.99628766666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.581436,9.591846,9.736211,8.30316433333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.516525,9.134507,9.555405,8.06881233333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.664459,10.505318,10.723005,8.96426066666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.777994,9.381081,10.069269,8.409448
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.237381,8.638123,9.36422,8.079908
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.71933,10.601645,11.211966,9.177647
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.073722,7.075913,9.084484,7.07803966666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.481552,8.402699,9.907214,7.93048833333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.325789,9.766669,10.228283,8.440247
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.943157,9.266871,9.883994,8.03134066666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.642705,10.240798,10.533067,8.80552333333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.073722,8.006534,8.849975,7.310077
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.401004,8.527491,10.281656,8.07005033333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.480086,9.502262,9.63677,8.20637266666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.264056,8.361725,9.006357,7.544046
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.62799,9.145144,8.698261,7.82379833333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.073722,8.145631,9.278518,7.49929033333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.630295,8.307262,10.072489,8.00334866666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.829694,10.185287,10.38155,8.79884366666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.176027,10.103656,10.478747,8.58614333333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.713783,10.983537,10.848493,9.18193766666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.777994,9.982834,10.394019,8.71828233333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.457222,11.176929,10.771953,9.46870133333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.014547,10.494247,11.077182,9.19532533333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.771726,10.096044,10.051441,8.30640366666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.184022,10.066188,10.292047,8.847419
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.493102,9.901601,10.514156,8.63628633333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.361585,11.16907,11.103733,9.544796
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.906572,10.701585,11.08849,9.565549
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.625616,11.14218,11.102608,9.29013466666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.423738,10.628878,10.5306,9.19440533333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.823652,10.317046,10.169839,8.770179
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.503224,11.024774,11.420299,9.64943233333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.433768,11.437775,11.873472,9.915005
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.07229,11.560716,12.242773,10.2919263333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.388083,11.013215,11.369023,9.590107
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.859908,10.846819,11.353553,9.35342666666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.038144,11.282782,11.393531,9.57148566666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.554995,11.622857,11.818447,9.99876633333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.13198,11.257515,11.442582,9.61069233333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.152296,10.728944,11.229965,9.37040166666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.802579,11.005777,11.66,9.82278533333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.20031,11.599379,11.534434,10.1113743333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.356764,11.125847,11.202746,9.56178566666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.296093,11.31624,11.051095,9.88780933333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.059802,11.718865,11.688782,10.1558163333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.9239,11.155906,11.393129,9.49097833333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.674415,10.205852,10.175426,8.685231
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777994,11.062662,10.593876,9.144844
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.862166,11.175666,10.724901,9.25424433333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.749147,10.049242,10.271407,8.689932
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.114585,9.68219,9.744182,8.180319
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.71605,9.788358,10.069717,8.52470833333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777994,10.211346,10.667366,8.88556866666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.711052,10.074595,10.349722,8.71178966666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.427712,10.507492,9.992792,8.64266533333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.391632,6.866083,9.880337,7.712684
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.541134,9.522244,9.192531,7.75196966666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777994,11.183864,10.861483,9.274447
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.141638,9.478634,9.881631,8.167301
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.263352,10.438566,10.315847,8.67258833333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.940222,10.781371,10.842584,9.188059
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.294678,10.345129,9.8801,8.50663566666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.691962,8.619595,9.416139,7.909232
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.990369,9.701896,9.27113,7.98779833333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.944742,10.931756,10.212824,9.029774
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777994,11.565166,10.887152,9.410104
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.805714,10.786885,10.99038,9.19432633333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777994,9.785985,10.053271,8.53908333333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.21945,10.619492,10.424183,8.754375
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.726141,10.65109,10.154067,8.843766
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.512314,7.996107,10.574166,8.027529
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.263874,9.459357,10.100492,8.60790766666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.511179,10.543731,10.342532,8.79914733333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.296135,10.279038,9.698755,8.42464266666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.809054,9.669112,10.011377,8.49651433333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.547892,10.270554,10.31492,8.711122
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.151214,10.379242,10.175686,8.568714
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.331709,9.257642,10.985826,9.19172566666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.260025,8.94373,10.654453,8.952736
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.584784,9.287824,10.653647,9.17541833333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.127429,8.838843,10.852532,8.93960133333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.572206,9.205328,10.208302,8.99527866666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.688453,9.897833,11.172888,9.58639133333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.673413,9.874494,10.379036,9.308981
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.211053,10.316593,11.035368,8.854338
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.00808,10.784057,11.47325,9.42179566666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.859016,11.507004,11.662481,10.0095003333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.777994,10.54775,11.301771,9.20917166666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.116847,11.14435,11.22419,9.495129
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.877404,11.082208,11.063522,9.674378
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.777994,10.696106,11.096882,9.19032733333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.895433,10.738785,11.457191,9.363803
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.04479,11.419849,11.597659,9.68743266666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.861656,11.487942,12.04306,10.130886
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.774397,11.192966,11.023116,9.33015966666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.390775,11.805761,12.03683,10.7444553333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.299796,11.81963,11.836073,10.651833
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.025591,11.674291,11.814732,10.5048713333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.777994,10.661344,11.280311,9.239883
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.038685,11.117959,10.995458,9.71736733333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.126791,11.076817,11.058391,9.42066633333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.493903,10.831054,10.845602,9.056853
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.085388,11.64833,11.592131,10.1086163333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777994,11.058018,11.176517,9.33750966666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.058664,11.655133,11.777855,10.163884
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.491693,11.034188,10.910003,9.14529466666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.900347,10.480748,10.59621,8.65910166666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.199499,11.736262,11.656481,10.197414
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.199636,11.559338,11.450659,10.0698776666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.99631,11.438937,11.412691,9.61597933333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.167125,11.771489,11.752207,10.2302736666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.937208,11.839644,11.918605,10.5651523333333
