"","sample","tissue","endometriosis","severity","p1558111_at","p201151_s_at","p201152_s_at","MBNL1"
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.108083,7.907054,10.946903,7.65401333333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.135901,5.187334,10.476521,6.59991866666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.43432,7.865882,10.938149,7.41278366666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.572521,8.197908,10.952724,7.90771766666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.143011,5.000982,9.040753,6.39491533333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.784883,4.47198,9.015938,5.75760033333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.756612,5.689739,9.217444,6.221265
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.889844,5.123571,8.625245,5.87955333333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.309725,3.269771,8.198297,4.925931
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.884522,4.496761,9.014611,6.13196466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.138272,5.890267,9.253294,6.760611
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.400581,4.213233,8.474102,5.695972
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.889844,3.79214,8.490668,5.390884
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.508773,3.783196,8.696827,5.32959866666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.50441,3.783196,7.817891,5.03516566666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.679487,4.352867,9.142743,6.05836566666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.756612,3.681513,8.513625,5.31725
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.027496,4.966697,9.091081,6.02842466666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.982583,3.783196,8.972248,5.91267566666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.756612,3.681513,9.355512,5.597879
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.818769,3.681513,9.547784,5.34935533333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.756612,3.681513,6.264735,4.56762
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.500434,5.000982,9.249394,6.25027
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.50463,4.747069,9.455274,6.568991
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.378168,3.66111,8.864223,5.301167
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.568308,3.783196,8.130491,5.160665
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.135901,3.681513,8.524823,5.44741233333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.788321,3.821801,9.075871,5.895331
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.553142,2.414009,7.778758,4.24863633333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.609656,3.681513,8.396424,4.89586433333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.182401,3.858573,9.05795,5.69964133333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.574769,4.362419,8.535728,5.82430533333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.109632,3.799492,8.024262,4.97779533333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.090087,4.534992,8.657781,5.76095333333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.889844,3.681513,8.858594,5.47665033333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.182523,8.198079,10.221055,8.867219
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.682346,7.468543,9.213751,8.12154666666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.355311,7.720958,10.113854,8.730041
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.265912,7.732313,10.161783,8.38666933333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.317738,8.643464,10.601803,9.18766833333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.77079,6.768642,10.404861,7.981431
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.798068,6.588104,10.868821,8.418331
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.750097,7.119594,11.356155,8.075282
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.434705,5.809136,10.299117,6.84765266666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.821647,7.015856,10.843793,7.89376533333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.428467,5.000982,9.564979,6.331476
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.942121,7.453424,11.119563,8.17170266666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.760933,7.416177,10.800709,8.32593966666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.475293,6.44103,10.175432,7.030585
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.964676,5.267575,9.930255,6.387502
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.143355,6.300526,10.507401,6.98376066666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.173463,6.017325,10.044176,6.744988
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.574835,6.112395,10.257376,6.98153533333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.836332,8.452717,11.088176,8.459075
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.904431,6.988586,10.695903,7.86297333333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.042257,7.79783,11.021613,8.28723333333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.232738,6.164138,10.046503,6.81445966666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.505761,8.058155,11.482564,8.68216
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.640791,6.878171,10.233006,7.250656
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.410471,6.839332,10.872872,7.70755833333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.371382,7.614948,10.711567,8.23263233333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.407443,6.321707,9.964381,7.231177
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.205273,7.098474,10.310626,7.53812433333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.993318,6.130863,10.713767,7.279316
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.889844,5.641579,9.791325,6.440916
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.002802,7.401526,10.371784,7.92537066666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.908172,7.246802,10.796531,7.983835
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.807406,7.253288,10.865399,7.97536433333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.263317,7.324555,10.748023,7.77863166666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.300823,7.047246,10.537661,7.29524333333333
