"","sample","tissue","endometriosis","severity","p34206_at","p212516_at","ARAP1"
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.553743,8.913182,9.2334625
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.377785,8.512984,8.9453845
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.110928,9.230145,9.6705365
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.847746,9.156971,9.5023585
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.438012,8.782131,9.1100715
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.754924,9.585572,9.670248
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.047543,9.041241,9.544392
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.114472,9.14734,9.630906
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.127225,9.234478,9.6808515
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.318305,8.857049,9.087677
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.762722,8.727643,9.2451825
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.389723,7.617704,8.0037135
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.018929,8.905614,9.4622715
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.334917,7.636394,7.9856555
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.080029,6.831307,7.455668
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.300143,8.265853,8.782998
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.384186,8.3812,8.882693
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.772689,7.843129,8.307909
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.392053,7.4773,7.9346765
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.708925,7.73738,7.7231525
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.943296,7.188969,7.5661325
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.568403,8.945575,9.256989
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.493632,8.922895,9.2082635
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.880136,7.148682,7.514409
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.207408,7.314453,7.7609305
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.619378,7.54511,8.082244
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.350129,7.25963,7.8048795
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.042099,7.163268,7.6026835
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.616276,7.70814,8.162208
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.260809,7.163233,7.712021
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.882506,6.776769,7.3296375
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.142734,7.129278,7.636006
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.276115,7.339603,7.807859
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.579184,6.608496,7.09384
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.213838,7.51044,7.862139
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.775749,7.900323,8.338036
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.180213,7.085293,7.632753
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.123899,7.103819,7.613859
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.808123,8.656036,8.7320795
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.618064,7.870207,8.2441355
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.313371,8.293498,8.8034345
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.019668,8.070464,8.545066
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.512993,9.613793,10.063393
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.797653,8.831237,9.314445
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.249486,8.049915,8.6497005
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.577477,8.660314,9.1188955
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.095144,8.361025,8.7280845
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.840199,8.969643,9.404921
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.118807,9.441076,9.7799415
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.553936,7.354661,7.9542985
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.65744,8.708686,9.183063
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.160907,8.080616,8.6207615
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.06231,8.397111,8.7297105
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.181468,8.481007,8.8312375
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.243478,9.300478,9.771978
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.842592,8.46326,9.152926
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.621906,8.706693,9.1642995
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.657078,7.616925,8.1370015
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.111168,8.330589,8.7208785
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.375994,9.459025,9.9175095
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.207119,8.301277,8.754198
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.48204,8.523836,9.002938
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.230505,8.700915,8.96571
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.62664,8.943848,9.285244
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.334499,8.38373,8.8591145
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.75159,8.849956,9.300773
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.690307,9.024741,9.357524
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.605798,8.553383,9.0795905
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.408253,8.578708,8.9934805
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.138329,6.766138,6.9522335
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.43345,6.254542,6.343996
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.508263,6.825586,7.1669245
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.464779,6.854952,7.1598655
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.456781,6.543163,6.999972
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.778328,7.00557,7.391949
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.452384,7.311025,7.8817045
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.813644,7.893396,8.35352
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.594837,8.645713,9.120275
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.91252,6.825586,7.369053
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.008043,6.936536,7.4722895
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.214614,7.293008,7.753811
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.712706,6.249082,6.980894
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.036659,8.437091,8.736875
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.860857,7.974348,8.4176025
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.346416,7.037656,7.192036
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.605113,7.569856,8.0874845
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.667096,7.84709,8.257093
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.422398,6.626228,7.024313
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.021953,7.033885,7.527919
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.038395,7.146883,7.592639
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.462862,7.520434,7.991648
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.89866,8.01146,8.45506
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.962408,7.040964,7.501686
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.02623,7.141243,7.5837365
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.25254,6.355827,6.8041835
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.850246,6.942366,7.396306
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.946846,6.666073,7.3064595
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.970171,6.922744,7.4464575
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.973358,8.593103,8.7832305
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.230488,7.088768,7.659628
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.323667,6.731407,7.027537
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.445078,6.424048,6.934563
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.711084,6.51995,7.115517
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.920312,6.629267,7.2747895
