"","sample","tissue","endometriosis","severity","p221222_s_at","p223459_s_at","C1orf56"
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.576208,8.917083,7.7466455
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.989918,8.073725,7.5318215
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.236878,8.409574,7.323226
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.536234,7.121408,6.828821
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.698711,8.611098,7.6549045
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.718477,8.455608,8.0870425
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.255414,6.73788,7.496647
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.922379,7.785142,7.3537605
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.720824,7.666213,7.1935185
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.195843,8.25557,7.7257065
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.437627,7.653127,7.545377
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131009,7.417452,6.7742305
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.568538,6.941449,7.2549935
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.768367,8.373304,7.5708355
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.22205,8.182957,7.2025035
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.641546,6.106519,5.8740325
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.384893,6.375837,5.880365
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.003502,5.753659,5.3785805
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.288927,6.401771,5.845349
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.329226,6.214058,5.771642
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.323724,6.431383,5.8775535
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.591106,5.865705,5.2284055
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.594393,6.554176,5.5742845
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.814575,5.944642,5.8796085
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.551477,6.643617,6.097547
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.863104,7.121408,6.492256
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.058742,6.732288,6.395515
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515407,6.108374,5.3118905
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.933896,6.635056,5.784476
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.288927,6.583075,5.936001
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.35284,7.814067,7.5834535
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.918517,6.804504,6.8615105
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.11073,7.842626,6.976678
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.052855,8.830397,7.941626
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.113755,8.877012,7.4953835
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.057942,8.651957,7.8549495
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.351738,8.169006,7.260372
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.874883,8.281797,7.57834
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.878551,7.318676,7.0986135
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.658943,8.684142,7.1715425
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.474856,8.431466,7.453161
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.143776,7.121408,7.132592
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.19365,7.50793,7.35079
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.196624,7.563341,7.3799825
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.735907,7.88192,6.8089135
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.282773,8.023009,7.652891
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.391427,7.910482,6.6509545
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.355441,7.879229,6.617335
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.348469,7.521245,6.934857
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.449061,7.276533,7.362797
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.237429,7.76289,7.5001595
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.403605,8.786495,7.09505
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.390174,7.121408,7.255791
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.054817,8.03767,7.5462435
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.503649,8.077353,7.290501
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.917155,7.121408,6.5192815
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.551623,7.468895,7.010259
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.958068,8.128378,7.543223
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.470433,7.96617,6.7183015
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.741297,7.330387,7.035842
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.399206,7.793917,7.5965615
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.071053,6.782836,6.9269445
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.188473,5.935252,7.0618625
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.830427,4.44658,6.1385035
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.105607,6.395213,7.25041
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.440636,6.043506,5.742071
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.960103,5.653859,5.806981
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.280078,5.737362,5.50872
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.414066,5.645498,5.029782
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.709639,5.701055,5.705347
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.751314,5.080503,5.4159085
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.371616,5.019801,5.1957085
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.347374,6.003064,5.675219
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.345433,5.081699,5.213566
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.288927,5.152626,5.2207765
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.325744,5.494681,5.9102125
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.320102,5.865039,6.0925705
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.470433,4.943032,5.2067325
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.882984,4.516534,4.699759
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.451973,5.396128,5.4240505
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.061187,4.884746,4.9729665
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.288927,5.688747,5.488837
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.198964,4.988101,5.0935325
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.439529,5.590894,5.5152115
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.755869,4.836217,5.296043
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.327504,5.378706,5.353105
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.139934,6.480237,6.3100855
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.209661,4.775042,5.4923515
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.52743,6.005211,5.7663205
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.927098,5.519837,5.2234675
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.840351,3.96897,4.9046605
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.478299,5.947288,5.7127935
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.673433,6.154388,5.9139105
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.470433,5.314825,5.392629
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.551875,4.973844,5.2628595
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.429498,5.794357,5.6119275
