"","sample","tissue","endometriosis","severity","p213686_at","p214785_at","p227988_s_at","p227987_at","VPS13A"
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.555363,6.963714,7.027286,7.181107,6.9318675
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.398475,7.377838,7.037463,7.594349,7.10203125
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.084693,7.388091,7.636598,7.815089,7.48111775
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.506682,7.372654,6.894084,7.316904,7.022581
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.446182,7.027411,6.50222,6.94277,6.47964575
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.786229,6.000983,5.743118,6.400232,5.7326405
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.708543,6.151095,6.848458,6.790711,6.37470175
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.132635,6.087873,5.596672,6.990731,6.20197775
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.732126,6.807895,6.561122,7.021738,6.53072025
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.423439,7.220157,6.712449,7.117843,6.618472
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.056251,5.920522,5.360175,5.274081,5.40275725
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.51746,6.121144,6.507518,6.196596,6.0856795
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.618367,6.090824,6.653967,6.588399,6.23788925
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.296049,6.069788,5.328189,4.415063,5.02727225
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.60187,5.91163,3.974985,5.193781,4.9205665
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.523265,5.920522,5.354961,5.10292,5.225417
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.630185,5.813179,6.912823,6.990737,6.336731
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.43905,5.59177,5.238099,4.827083,5.0240005
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.837017,5.920522,5.522846,5.529898,5.45257075
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.084887,6.669978,3.214297,5.158478,5.03191
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.815257,5.34063,4.258871,4.263013,4.41944275
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.56184,6.875932,6.078816,6.69618,6.303192
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.786229,5.580738,4.335275,5.02544,4.9319205
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.168129,5.688756,5.446567,5.270989,5.39361025
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.43905,5.920522,5.354961,5.132602,5.21178375
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.056251,6.923352,5.587745,6.143941,5.92782225
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.98482,6.971387,5.118004,5.546809,5.905255
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.783322,5.946584,3.933934,6.034568,5.424602
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.134024,6.533624,5.916022,5.880869,5.86613475
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.536302,6.87922,6.655652,6.834573,6.47643675
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.69173,5.588079,5.354961,5.647179,5.32048725
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.545386,5.752665,3.614348,4.830952,4.68583775
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.056251,6.869441,5.665959,6.328748,5.98009975
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.939935,6.305919,5.354961,5.293409,5.473556
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.79497,5.333774,4.947152,5.29042,5.091579
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.180664,6.365502,3.163115,5.270989,4.9950675
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.168241,5.571484,4.44383,5.129116,5.07816775
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.271829,5.920522,5.354961,5.270989,5.20457525
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.732941,5.322251,5.552288,5.35023,5.2394275
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773063,6.105456,5.552288,5.267768,5.42464375
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.077281,6.585476,6.004072,6.231613,6.2246105
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.028437,8.560106,7.733704,7.571418,7.22341625
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.809847,8.602848,7.675994,6.986455,7.018786
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.008841,8.036003,7.785394,7.240354,7.017648
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.755249,7.916904,7.746741,7.165024,6.8959795
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.056251,7.679601,7.462289,7.497988,6.92403225
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.056251,7.315085,7.747939,6.660826,6.69502525
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.056593,7.612403,7.222485,6.628441,6.6299805
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.954215,6.92809,7.211927,7.935063,7.25732375
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.709569,6.815894,6.82651,6.799227,6.7878
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.913217,7.194728,7.067258,7.442974,7.15454425
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.224408,8.148282,8.241084,9.061338,8.168778
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.056223,7.539686,7.709214,8.371662,7.66919625
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.660945,7.20802,6.653717,7.297664,6.7050865
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.821206,7.029944,7.864791,8.477473,7.5483535
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.36175,7.198646,7.564386,8.02409,7.287218
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.86949,7.679376,7.634886,8.119481,7.32580825
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.39233,7.432811,8.084646,8.287548,7.79933375
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.684591,6.900533,7.073178,8.162951,7.20531325
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.077679,7.665278,8.057125,8.169749,7.74245775
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.3729,7.304,7.700711,7.943579,7.3302975
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.75592,6.779935,7.703314,7.728218,6.99184675
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.065235,7.238101,8.16659,8.644464,7.7785975
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.079346,6.746869,7.065118,7.528859,6.855048
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.53065,7.545826,7.444193,7.494863,7.253883
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.051175,7.951702,8.322553,9.024327,8.08743925
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.551062,7.281081,7.284886,7.616553,6.9333955
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.430191,6.832129,7.26612,7.805415,7.08346375
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.454038,7.56208,7.510357,7.969197,7.373918
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.762055,7.587722,7.730624,7.920484,7.50022125
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.784824,5.944316,6.283538,6.615042,6.15693
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.145933,7.318743,7.234428,7.494846,7.0484875
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.122276,7.157512,7.504403,7.819421,6.900903
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.610448,7.533504,7.482938,7.979186,7.401519
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.49182,7.774779,7.345014,7.306329,7.2294855
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.504882,7.232949,7.511253,7.911503,7.29014675
