"","sample","tissue","endometriosis","severity","p225996_at","p235977_at","LONRF2"
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.648819,2.972927,4.810873
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.223507,6.608551,6.416029
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.80644,3.281079,3.5437595
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.215947,5.394165,6.805056
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.238984,5.286982,5.262983
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.406986,6.328916,6.867951
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.298535,6.066576,7.1825555
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.243619,5.707859,6.975739
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.673596,5.80993,5.741763
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.713554,9.368654,10.041104
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.710627,3.262625,4.986626
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.192273,5.394165,6.293219
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.349447,7.257706,8.3035765
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.272067,5.552916,5.4124915
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.636682,5.69142,7.164051
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.673596,3.4024,4.537998
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.123082,5.394165,6.2586235
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.673596,5.328283,5.5009395
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.29571,5.504014,4.899862
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.408946,5.371911,5.3904285
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.709685,4.485762,5.0977235
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.451219,4.240955,5.346087
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.198535,3.490552,4.8445435
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.09111,6.78827,7.93969
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.645613,4.886749,6.266181
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.851488,7.101057,7.9762725
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.932649,6.836343,7.884496
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.5017,5.394165,7.4479325
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.075588,3.954343,5.0149655
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.909469,6.305399,7.107434
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.196074,3.281079,5.7385765
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.852979,5.394165,6.623572
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.111993,4.926039,7.019016
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.940788,3.661742,5.801265
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.970265,5.518069,7.744167
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.26655,4.408687,6.8376185
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.556128,6.357364,7.956746
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.175044,6.118044,7.646544
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.023159,7.135,9.0790795
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.262332,6.077685,7.6700085
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.585984,5.338705,6.9623445
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.756365,6.010279,7.883322
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.53988,6.801309,8.6705945
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.234556,3.94191,6.088233
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.700777,4.47842,6.5895985
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.640493,6.357867,7.99918
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.830762,5.060708,6.445735
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.90052,5.798759,7.3496395
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.314158,6.23287,6.773514
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.285605,6.60957,7.9475875
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.733287,6.157915,7.945601
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.534364,7.266208,7.900286
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.282879,6.495433,7.389156
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.858177,6.839916,8.3490465
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.331071,5.500885,5.415978
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.321363,8.345651,8.833507
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.551516,7.063558,7.307537
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.82631,6.992915,7.9096125
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.351924,7.39174,7.871832
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.107274,5.809161,5.9582175
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.05363,5.394165,5.7238975
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.740087,5.394165,5.567126
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.933266,6.80658,7.369923
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.080529,5.569797,5.825163
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.102329,7.456439,8.279384
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.81021,7.662181,8.2361955
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.644475,6.328772,6.4866235
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.863646,5.951656,5.907651
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.474622,2.59643,3.535526
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.795218,7.769222,8.28222
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.363726,7.333471,8.3485985
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.764835,7.23843,8.0016325
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.488906,7.765672,8.127289
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.169013,6.23223,6.7006215
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.468056,7.811297,8.1396765
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.913166,3.599508,6.256337
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.309122,6.414969,6.8620455
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.615789,6.432801,7.524295
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.347731,7.116001,7.731866
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.895448,5.995293,6.9453705
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.900193,7.051258,6.9757255
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.279717,5.324024,6.3018705
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.697193,5.331278,7.0142355
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.701117,4.5824,6.1417585
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.806073,4.312854,6.0594635
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.078214,4.87723,6.977722
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379509,5.559157,6.969333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.870393,7.16575,8.5180715
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.68867,5.336355,7.0125125
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.955441,5.605187,8.280314
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.088886,6.291015,8.6899505
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.18406,8.220678,9.202369
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.649339,5.228334,7.4388365
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.199135,8.189813,10.194474
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.092132,7.151799,8.1219655
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.608775,5.408755,7.508765
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.46942,5.229961,7.3496905
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.913935,5.621427,7.767681
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.556325,7.862608,9.7094665
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.642741,5.216678,6.9297095
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.321161,8.325095,8.823128
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.119469,8.489895,9.304682
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.321496,7.780186,8.550841
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.877228,3.827057,6.3521425
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.131873,6.199387,7.16563
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.709939,5.394165,7.052052
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.365451,7.52572,9.4455855
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.548197,8.008336,8.7782665
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.662475,6.643735,8.153105
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.144506,7.825284,8.984895
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.98519,7.445503,9.2153465
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.726892,3.281079,5.5039855
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.619739,8.868147,9.743943
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.387724,7.643142,8.515433
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.088286,7.608707,8.8484965
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.530535,8.101857,9.316196
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.685233,8.132228,9.4087305
