"","sample","tissue","endometriosis","severity","p222931_s_at","p219800_s_at","THNSL1"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.431612,3.097872,3.764742
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.325571,2.826422,3.5759965
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.309403,3.292331,3.800867
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.571952,2.823275,3.1976135
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.417037,2.826422,3.1217295
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.773014,3.038227,3.4056205
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.903825,2.826422,3.3651235
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.410843,3.105713,4.258278
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.325571,3.037638,3.6816045
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.155891,2.823275,3.489583
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.806896,2.826422,3.316659
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.708165,2.826422,3.2672935
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.353738,3.011256,3.682497
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.325571,3.037638,3.6816045
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.57695,3.097872,4.337411
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.447364,3.097872,4.272618
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.651995,3.097872,3.8749335
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.078262,4.746006,5.912134
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.385662,3.097872,3.741767
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.88795,2.823275,3.8556125
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.472423,3.066757,4.26959
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.261825,3.037638,4.1497315
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.674117,2.705553,3.689835
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.097503,3.097872,4.5976875
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.327074,3.050002,4.188538
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.773579,3.77204,4.7728095
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.773989,4.771533,5.772761
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.976545,3.097872,4.5372085
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.205619,3.097872,4.6517455
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.274742,4.815213,6.0449775
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.283281,5.630941,6.457111
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.525611,5.472293,6.498952
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.534194,5.281242,6.407718
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.029646,5.901676,6.465661
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.774096,5.960257,6.8671765
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.563525,4.799835,5.68168
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.467693,5.815441,6.641567
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.795091,5.400233,6.097662
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.432076,6.371795,6.9019355
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.212974,5.08561,5.649292
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.442817,5.262805,6.352811
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.726581,3.481523,4.604052
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.773694,6.007188,6.890441
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.656088,6.111424,6.883756
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.556858,2.59382,3.575339
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.65244,3.037638,4.345039
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.479132,3.911769,5.1954505
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.810724,2.816504,3.313614
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.064425,3.664396,4.3644105
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.309435,2.760842,3.5351385
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.859909,3.433037,4.646473
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.179805,3.097872,3.6388385
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.325571,2.823275,3.574423
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.639292,4.198453,4.4188725
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.708165,3.037638,3.3729015
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.029629,3.10149,4.0655595
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.978762,3.057,3.517881
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.842663,3.097872,3.9702675
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.426879,2.826422,3.6266505
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.32379,2.826422,3.075106
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.832644,4.619309,4.7259765
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.426879,2.989835,3.708357
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.586382,3.96364,4.775011
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.789131,3.097872,4.4435015
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.304843,3.037638,3.6712405
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.267753,2.826422,3.5470875
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.426879,3.097872,3.7623755
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.715863,2.823275,3.269569
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.895026,3.580577,4.7378015
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.571744,2.823275,3.1975095
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.688499,4.05676,4.8726295
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.180699,2.931812,3.5562555
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.325571,3.097872,3.7117215
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.542269,3.164585,4.353427
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.327014,3.684572,5.005793
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.426879,3.037638,3.7322585
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.28438,2.529373,3.4068765
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.406765,2.267208,3.3369865
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.426879,2.826422,3.6266505
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.466225,3.097872,4.7820485
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.325571,2.826422,3.5759965
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.549756,2.826422,4.188089
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.46913,3.097872,4.283501
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.831514,4.745951,5.2887325
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.546336,5.338674,5.942505
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.048889,4.672327,5.360608
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.399377,4.562385,4.980881
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.89189,3.454911,4.6734005
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.834438,3.826603,4.3305205
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.426879,3.097872,3.7623755
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.907149,3.402792,4.1549705
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.604547,4.526358,5.0654525
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.670375,2.247132,2.9587535
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.894213,5.803565,6.848889
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.262017,4.939533,5.600775
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.857872,5.301979,6.0799255
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.388719,4.789013,5.588866
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.150898,3.305066,4.727982
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.719637,4.47173,5.0956835
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.115587,3.795532,4.4555595
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.426879,3.037638,3.7322585
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.761311,3.097872,3.9295915
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.07893,4.42781,5.25337
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.050651,5.72897,5.8898105
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.708165,2.894789,3.301477
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.626341,4.264376,5.4453585
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.346611,3.097872,3.7222415
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.499904,4.543471,5.5216875
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.348437,4.066868,5.2076525
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.905356,3.991173,4.9482645
