"","sample","tissue","endometriosis","severity","p212447_at","p223585_x_at","p223584_s_at","KBTBD2"
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.041841,2.386291,4.469548,4.63256
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.728077,2.277589,5.018788,4.34148466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.569007,2.386291,4.363247,3.439515
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.67666,2.257924,4.164931,3.69983833333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.305952,2.286949,4.375519,4.32280666666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.302868,2.386291,4.69847,3.462543
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.448032,2.274358,4.164931,3.29577366666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.891163,2.386291,4.919982,5.065812
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.160612,2.407042,5.084164,4.21727266666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.742018,2.257924,4.133179,3.377707
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.531879,2.274358,4.825073,4.87710333333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.29509,2.274358,4.631849,4.067099
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.846911,2.257924,4.711657,4.272164
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.85124,2.274358,5.084164,4.73658733333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.601693,2.386291,5.090025,4.35933633333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.681935,2.257924,5.08927,4.343043
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.766739,2.274637,4.711657,4.91767766666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.178221,2.317485,4.711657,4.069121
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.942676,2.259739,4.723844,4.308753
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.742018,2.257924,4.425398,3.47511333333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.097423,2.371212,5.147841,4.87215866666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.780729,2.257924,3.938618,3.99242366666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.102152,2.274358,4.532372,3.636294
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.979411,2.257924,4.164931,3.80075533333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.553129,2.274358,4.271073,3.36618666666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.812248,2.328014,5.084164,4.07480866666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.713625,2.257924,3.856894,3.94281433333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.495381,2.257924,3.938618,4.230641
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.122002,2.257924,5.33035,5.23675866666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.994249,2.257924,4.711657,4.32127666666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.845318,2.627953,5.308802,5.260691
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.086386,4.464173,5.939332,6.163297
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.976751,2.274358,3.563213,4.27144066666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.679378,2.386291,4.664985,4.57688466666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.933641,2.762893,4.257389,4.984641
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.600355,2.386291,4.998882,4.995176
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.045971,2.274358,6.215377,5.511902
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.987349,2.393908,4.873232,5.08482966666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.215951,2.386291,4.452268,4.35150333333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.917587,2.451755,4.133458,4.50093333333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.832716,3.811759,5.326062,5.65684566666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.604458,3.329684,5.189587,5.37457633333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.861825,3.191018,4.778653,5.27716533333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.482614,5.881457,6.251754,6.87194166666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.118473,2.40681,5.394306,5.30652966666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.068193,3.851886,5.579551,5.83321
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.545404,4.006069,5.284955,5.61214266666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.010667,4.390417,6.079824,6.16030266666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.184666,3.815469,5.314836,5.771657
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.741786,3.855034,5.084164,5.560328
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.865471,4.272703,7.285099,6.47442433333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.234351,3.731086,5.189186,5.71820766666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.801341,2.386291,6.810606,5.66607933333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.083961,4.175268,5.346214,5.868481
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.748146,4.262588,5.552398,5.85437733333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.112642,2.681448,4.711657,4.835249
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.094539,3.072294,5.241386,5.46940633333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.208389,2.386291,4.711657,4.768779
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.479668,2.386291,5.17141,4.679123
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.336441,2.257924,4.199399,3.93125466666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.787897,2.367969,4.755446,4.637104
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.329897,2.39462,6.076894,5.267137
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.87823,2.274358,4.729643,4.294077
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.940296,2.386291,5.104217,4.810268
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.594145,2.274358,4.711657,3.86005333333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.531615,2.362353,5.100111,4.664693
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.778948,2.386291,5.098463,5.08790066666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.913714,2.257924,4.711657,4.627765
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.605629,2.386291,5.084164,5.02536133333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.755639,2.236067,4.16828,4.386662
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.48302,2.257924,4.641962,4.794302
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.272245,2.262826,4.711657,4.08224266666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.227996,2.274358,4.711657,4.73800366666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.143296,2.274358,4.627557,4.681737
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.156756,2.274358,4.711657,4.714257
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.07095,2.257924,4.711657,4.680177
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.522812,2.257924,4.329245,4.03666033333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.595605,2.274358,4.380277,4.41674666666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.342942,2.274358,5.10719,4.90816333333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.807284,2.257924,4.425398,4.49686866666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.058496,2.236067,4.921007,4.73852333333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.39118,2.283051,4.278521,4.65091733333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.678022,2.257924,4.805728,4.580558
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.724724,2.257924,4.587015,4.18988766666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.692028,2.313466,5.059947,4.68848033333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.722613,2.236158,4.290685,4.74981866666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.539904,3.397139,5.723965,5.55366933333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.027106,5.922976,6.547953,6.83267833333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.260851,5.73155,6.234303,6.74223466666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027425,5.244913,6.554363,6.275567
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.076711,5.622652,6.014386,6.23791633333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.909109,5.39223,6.436723,5.91268733333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.08733,4.230006,5.086617,5.46798433333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.176707,2.257924,4.425398,4.953343
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.967256,2.386291,4.504519,4.95268866666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.850658,2.386291,6.869951,5.7023
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.978951,2.386291,4.810699,5.058647
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.849517,2.952725,5.533503,5.77858166666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.086988,2.778275,6.919249,5.92817066666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.547193,2.967714,4.844724,5.45321033333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.268653,3.002307,4.190829,5.15392966666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.705776,2.386291,4.425398,4.839155
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.482836,2.257924,4.003553,4.58143766666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.207504,4.097585,5.991136,6.432075
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.06019,2.545727,7.619605,6.075174
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.686317,2.513364,7.484949,5.89487666666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.659801,2.547847,7.731613,5.97975366666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.232484,2.386291,4.760189,5.12632133333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.406697,3.33246,7.288383,6.34251333333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.364955,2.386291,5.19997,4.98373866666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.868124,2.559299,5.0282,5.48520766666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.348695,4.043125,8.060977,6.817599
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.087836,2.418284,5.546413,5.35084433333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.4693,2.398856,6.096447,5.32153433333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.806472,2.296749,4.492591,4.86527066666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.049872,2.679103,6.521934,6.08363633333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.981787,3.806164,7.061546,6.28316566666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.270799,3.924776,7.7584,6.651325
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.754618,2.459463,5.966002,5.393361
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.625713,2.699376,6.591821,5.63897
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.351625,2.387918,7.120122,5.61988833333333
