"","sample","tissue","endometriosis","severity","p217716_s_at","p222385_x_at","SEC61A1"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.745754,5.464001,8.1048775
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.113138,5.622532,8.367835
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.278876,7.244224,9.26155
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.337718,6.566462,8.95209
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.27029,6.67836,8.974325
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.588089,7.063022,9.3255555
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.233199,6.682089,8.957644
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.888128,5.674033,8.2810805
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.76408,6.512851,9.1384655
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.473927,5.465357,7.969642
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.211165,5.522334,8.3667495
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.833918,5.816189,8.8250535
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.322584,5.946305,8.6344445
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.782881,6.098741,8.440811
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.336638,5.946305,8.1414715
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.984461,5.946305,8.465383
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.511904,6.52955,9.020727
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.154815,5.103945,8.12938
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.928361,5.989961,8.459161
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.74523,5.806723,8.2759765
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.00457,5.862707,8.4336385
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.729216,4.465853,8.0975345
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.595199,7.847847,9.721523
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.398553,4.132516,7.2655345
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.000113,5.541186,8.2706495
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.422753,6.980445,9.201599
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.777824,4.764603,7.7712135
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.458877,5.573441,8.016159
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.529011,6.41434,8.9716755
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.931231,5.720788,8.3260095
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.414217,5.548809,7.981513
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.519163,4.503973,7.511568
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.143515,7.308569,9.226042
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.781639,5.407017,8.094328
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.474227,6.928463,9.201345
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.668157,5.601656,8.6349065
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.855812,3.003559,6.4296855
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.696258,5.448879,8.0725685
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.384574,7.342628,9.363601
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.11815,7.887124,9.502637
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.032071,5.929226,8.4806485
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.415081,7.427757,9.421419
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.503692,7.171044,9.337368
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.893719,6.299376,8.5965475
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.279243,5.371253,7.825248
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.546803,5.715718,8.1312605
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.599072,5.945071,8.7720715
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.657851,6.815288,9.2365695
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.854004,5.946305,8.4001545
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.79369,6.327702,8.560696
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.168477,6.554119,8.861298
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.57237,6.653957,8.6131635
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.753723,6.049227,8.401475
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.612322,6.628322,8.620322
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.069262,7.066476,9.067869
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.674859,6.716247,8.695553
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.65707,6.131068,8.394069
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.964197,6.157903,8.56105
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.806208,7.18214,8.994174
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.923016,6.611317,8.7671665
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.180984,4.936745,8.0588645
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.927409,6.522945,8.725177
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.206366,6.762738,8.984552
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.941663,7.036984,8.9893235
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.022506,6.629184,8.825845
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.168897,6.75732,8.9631085
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.256614,7.564384,9.410499
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.681034,5.946305,8.8136695
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.616586,7.394299,9.5054425
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.095454,7.524489,9.3099715
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.291491,7.463224,9.3773575
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.869857,6.371597,8.620727
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.578722,3.745117,7.1619195
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.237565,6.97835,9.1079575
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.203653,5.944885,8.574269
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.209123,5.26335,8.2362365
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.031533,6.173513,8.602523
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.617238,6.711957,9.1645975
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.939435,5.517421,8.228428
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.522873,4.680954,8.1019135
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.595234,4.049162,7.322198
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.260173,6.587855,8.924014
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.599423,6.558043,9.078733
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.088939,6.691421,9.39018
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.780477,6.249082,9.0147795
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.491946,5.887033,8.6894895
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.14688,6.055706,8.601293
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.215297,5.003812,8.1095545
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.364756,7.398607,9.3816815
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.609982,4.579842,8.094912
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.336549,6.375669,8.856109
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.012145,5.946305,8.479225
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.278503,5.982921,8.630712
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.125105,5.867281,8.496193
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.131661,8.293693,9.712677
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.549701,8.445821,9.497761
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.709932,8.845155,9.7775435
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.887697,9.241107,10.064402
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.116653,9.108016,10.1123345
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.876373,9.926162,10.9012675
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.918188,8.347993,10.1330905
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.717089,2.91896,6.3180245
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.386784,4.559894,7.473339
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.426095,5.239391,7.832743
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.653551,4.61808,7.6358155
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.852209,5.303821,8.078015
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.085157,5.446613,7.765885
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.441393,4.856877,7.649135
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.778843,5.307934,8.0433885
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.011353,6.105457,8.558405
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.178756,5.123451,8.1511035
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.013546,6.146958,8.580252
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.368705,6.25654,8.3126225
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.480739,5.630498,8.0556185
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.442216,5.841229,8.1417225
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.646773,5.026909,7.836841
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.183324,5.700386,7.941855
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.250544,4.917735,7.5841395
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.381776,4.242244,7.31201
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.865995,7.044956,8.9554755
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.262547,4.733931,7.498239
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.783562,6.357714,8.570638
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.620992,5.267821,7.9444065
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.768692,6.96663,8.867661
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.948834,6.223654,8.586244
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.842776,6.712095,8.7774355
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.74163,6.046215,8.3939225
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.767235,6.391636,8.5794355
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.67686,5.936479,8.3066695
