"","sample","tissue","endometriosis","severity","p57739_at","p222070_at","DND1"
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.752009,5.780388,7.2661985
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.583695,5.834981,7.209338
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.058189,5.039599,6.548894
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.619222,5.698925,7.1590735
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.655924,5.613186,7.134555
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.866676,5.7409,7.303788
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.805693,5.96646,7.3860765
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.966893,5.865308,7.4161005
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.193318,6.551737,7.8725275
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.237053,5.043311,6.640182
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.945817,6.058307,7.502062
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.063738,5.607435,7.3355865
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.827373,5.64505,7.2362115
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.79492,5.684158,7.239539
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.771744,4.9376,6.354672
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.619259,5.674384,7.1468215
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.200171,5.043311,6.621741
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.976003,5.043311,6.509657
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.995229,6.027219,7.511224
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.132974,5.200432,6.666703
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.762367,5.009189,6.385778
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.91859,4.881431,6.4000105
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.78698,4.836371,6.3116755
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.950118,4.913453,6.4317855
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.994427,5.106425,6.550426
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.580019,5.056835,6.318427
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.21451,4.581946,5.898228
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.86521,3.982818,5.424014
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.404485,4.388885,5.896685
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.254283,4.441333,5.847808
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.917714,4.224461,5.5710875
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.042631,4.161247,5.601939
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.474236,4.642667,6.0584515
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.852236,4.335251,5.5937435
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.035518,4.162262,5.59889
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.063522,4.098058,5.58079
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.772851,4.184774,5.4788125
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.098814,4.45471,5.776762
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.332362,4.169642,5.751002
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133107,4.260637,5.696872
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.117296,4.168714,5.643005
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.389578,4.574931,5.9822545
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.635068,4.913453,6.2742605
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.742646,4.850949,6.2967975
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.821232,4.885372,6.353302
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.640618,5.854598,7.247608
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.180526,5.043311,6.6119185
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.495641,4.727531,6.111586
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.031629,5.043311,6.53747
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.337696,5.444215,6.8909555
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.01674,6.047165,7.5319525
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.017312,5.80183,7.409571
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.132035,5.051095,6.591565
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.942947,6.080588,7.5117675
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.362391,5.383428,6.8729095
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.814223,5.550715,7.182469
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.787113,5.927344,7.3572285
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.844125,5.663737,7.253931
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.064237,6.184602,7.6244195
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.625489,5.625747,7.125618
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.641348,5.303584,6.972466
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.818337,5.626852,7.2225945
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.965259,6.07341,7.5193345
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.973383,5.933142,7.4532625
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.077517,5.043311,6.560414
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.124019,5.389233,6.756626
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.582334,5.590309,7.0863215
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.508421,5.150348,6.8293845
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.276722,5.144331,6.7105265
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.342673,5.576252,6.9594625
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.791146,4.913453,6.3522995
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.588113,5.691098,7.1396055
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.848253,4.913453,5.880853
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.842925,5.043311,5.943118
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.204623,4.697647,5.451135
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.542286,4.772589,5.6574375
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.819433,5.043311,6.431372
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.59165,4.66802,5.629835
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.715171,5.043311,5.879241
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.146786,4.389,5.767893
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.658979,4.940772,6.2998755
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.595664,4.913453,6.2545585
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.609719,4.978018,6.2938685
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.429404,4.618999,6.0242015
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.284963,4.423874,5.8544185
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.175251,5.096759,6.636005
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.948599,5.130117,6.539358
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.781669,4.939252,6.3604605
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.702274,5.023882,6.363078
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.639168,4.913453,6.2763105
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.511055,4.792876,6.1519655
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.360541,4.692324,6.0264325
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.588499,4.913453,6.250976
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.868441,4.994628,6.4315345
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.772482,4.913453,6.3429675
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.582988,4.657258,6.120123
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.037175,4.337358,5.6872665
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.291611,4.698893,5.995252
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.273261,4.813989,6.043625
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.518667,4.913453,6.21606
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.516109,4.969348,6.2427285
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.641291,4.918212,6.2797515
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.468415,4.842371,6.155393
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.603011,4.943514,6.2732625
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.612055,4.842371,6.227213
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.531541,5.077393,6.304467
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.649623,5.043311,6.346467
