"","sample","tissue","endometriosis","severity","p200060_s_at","p207939_x_at","RNPS1"
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.925275,9.21202,10.5686475
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.632447,9.736461,11.184454
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.930725,8.754813,10.342769
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.667387,9.218774,10.9430805
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.459826,9.790004,11.124915
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.858039,9.739505,11.298772
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.64687,9.559038,11.102954
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.406318,9.208313,10.8073155
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.609215,8.460716,10.0349655
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.401064,8.930058,10.665561
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.564339,9.25288,10.9086095
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.726476,8.908372,10.317424
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.177611,9.091561,10.634586
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.957709,8.9738,10.4657545
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.246948,9.365727,10.8063375
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.320503,9.53761,10.9290565
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.900365,8.754813,10.327589
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.815521,8.807677,10.311599
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.368785,9.486587,10.927686
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.863107,8.823173,10.34314
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.309081,9.088384,10.6987325
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.259287,9.348935,10.804111
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.230796,9.07357,10.652183
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.056837,9.40637,10.7316035
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.232875,9.075237,10.654056
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.819168,8.896053,10.3576105
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.155105,8.807677,10.481391
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.543728,9.728991,11.1363595
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.559357,10.054255,11.306806
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.268296,8.503351,9.8858235
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.205935,9.066165,10.63605
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.995424,8.943622,10.469523
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.902023,8.846741,10.374382
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.084668,8.936554,10.510611
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.05565,8.909406,10.482528
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.00027,8.807677,10.4039735
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.129866,9.044452,10.587159
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.389169,8.360663,9.874916
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.103532,9.120462,10.611997
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.628195,9.894876,11.2615355
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.783382,9.600758,11.19207
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.328334,8.295733,9.8120335
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.400854,8.354803,9.8778285
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.423799,8.745971,10.084885
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.349428,8.355285,9.8523565
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.34246,8.754813,10.0486365
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.493724,8.399057,9.9463905
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.422859,8.405304,9.9140815
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.564637,8.583001,10.073819
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.293192,8.309746,9.801469
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.69584,8.217536,9.956688
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.644589,8.351117,9.997853
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.52997,8.73344,10.131705
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.58413,8.745543,10.1648365
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.358125,8.365674,9.8618995
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.545967,8.807677,10.176822
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.827958,8.792345,10.3101515
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.771921,8.760002,10.2659615
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.935155,9.013928,10.4745415
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.1324,9.147265,10.6398325
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.48236,9.701042,11.091701
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.257552,9.275296,10.766424
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.228434,9.119239,10.6738365
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.477165,9.666771,11.071968
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.99437,9.091021,10.5426955
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.888136,8.852556,10.370346
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.353581,9.438308,10.8959445
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.260562,9.227949,10.7442555
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.970284,8.807677,10.3889805
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.21179,9.216913,10.7143515
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.737145,8.824163,10.280654
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.293579,9.133739,10.713659
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.04326,8.863069,10.4531645
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.372877,9.254124,10.8135005
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.242882,9.063456,10.653169
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.69653,9.674736,11.185633
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.676034,8.724039,10.2000365
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.449354,9.631339,11.0403465
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.468589,9.415106,10.9418475
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.972189,8.91857,10.4453795
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.190861,9.236915,10.713888
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.032389,9.082955,10.557672
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.197603,9.022892,10.6102475
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.455363,9.64911,11.0522365
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.211067,9.327282,10.7691745
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.098338,9.147189,10.6227635
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.386894,9.190254,10.788574
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.681245,8.633207,10.157226
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.811936,8.567894,10.189915
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.943363,8.807677,10.37552
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.27941,9.040261,10.6598355
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.313861,8.807677,10.560769
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.163086,8.990375,10.5767305
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.456459,8.807677,10.632068
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.108546,8.204722,9.656634
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.406848,8.566074,9.986461
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.058422,8.1734,9.615911
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.074025,8.238525,9.656275
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.500996,8.500007,10.0005015
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.749178,7.736123,9.2426505
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.377933,8.21446,9.7961965
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.431914,8.337254,9.884584
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.202055,8.014447,9.608251
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.432613,8.433881,9.933247
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.249514,8.170069,9.7097915
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.364924,8.12747,9.746197
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.036022,8.608717,9.8223695
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.218311,8.316644,9.7674775
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.419031,8.388669,9.90385
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.81832,7.999012,9.408666
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.090837,8.055805,9.573321
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.23333,8.410767,9.8220485
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.847767,7.7168,9.2822835
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.032103,8.111623,9.571863
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.272489,8.18329,9.7278895
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.626672,8.406392,10.016532
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.405896,8.457167,9.9315315
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.257493,8.358481,9.807987
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.886912,7.805858,9.346385
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.132662,8.745299,9.9389805
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.941417,8.049514,9.4954655
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.321187,8.495277,9.908232
