"","sample","tissue","endometriosis","severity","p215058_at","p228551_at","DENND5B"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.441112,4.268143,3.3546275
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.544416,4.195169,3.3697925
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.680929,4.608617,3.644773
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.456886,4.881065,3.6689755
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.431517,4.195169,3.313343
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.431517,3.688397,3.059957
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.191597,5.381578,4.2865875
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.43194,3.538979,2.9854595
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.43194,4.901781,3.6668605
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.375862,4.830093,4.1029775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.431517,4.473882,3.4526995
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.489159,4.195169,3.342164
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.581456,5.061743,3.8215995
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31021,3.688397,2.9993035
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.387124,4.321554,3.854339
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.598845,4.831116,3.7149805
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.293048,3.688397,2.9907225
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.544416,5.089147,3.8167815
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.31021,3.882616,3.096413
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.431517,4.27169,3.3516035
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.782564,4.253942,3.518253
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.507695,4.267052,3.3873735
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.31021,3.688397,2.9993035
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,3.688397,3.0601685
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31021,4.448991,3.3796005
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.43194,4.273741,3.3528405
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.544416,5.834668,4.189542
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.597825,5.539305,4.068565
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.544416,4.27169,3.408053
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.349906,4.315501,3.3327035
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.31021,4.794917,3.5525635
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.431517,4.088285,3.259901
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31021,4.246434,3.278322
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.417214,3.3266405
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.569336,4.70621,3.637773
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.315148,4.831116,3.573132
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.947667,4.878618,3.9131425
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.243221,4.695383,3.469302
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,5.073314,3.752627
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.198686,6.683458,5.941072
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.176486,6.375655,6.2760705
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.976968,6.33032,5.653644
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.569149,6.612761,6.090955
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.789796,6.2385,6.014148
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.999484,7.023043,6.5112635
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.551822,6.831078,6.19145
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.289819,6.507473,5.898646
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.301231,5.728983,5.015107
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.375933,7.063219,6.219576
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.910919,5.577621,5.24427
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.260054,6.196718,5.228386
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.011133,5.261787,4.63646
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.725217,6.614247,6.169732
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.125077,6.563874,5.8444755
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,4.917513,3.57679
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.565491,5.296825,3.931158
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.149593,6.174608,4.6621005
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,4.195169,3.215618
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.429226,4.397046,3.413136
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.431517,4.104413,3.267965
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.432753,5.987858,4.2103055
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.431517,4.874364,3.6529405
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.577516,4.300652,3.439084
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.569336,5.999971,4.2846535
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.737507,3.949614,3.3435605
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.552268,4.831116,3.691692
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.43194,4.001281,3.2166105
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.544416,4.929184,3.7368
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.284333,4.405821,3.345077
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.544416,4.296393,3.4204045
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.00133,4.27169,3.63651
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.43194,4.809767,3.6208535
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.870849,4.831116,3.8509825
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.036534,5.430417,4.2334755
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.825854,4.927366,3.87661
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.387979,4.764872,3.5764255
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.554852,4.579497,3.5671745
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.612008,4.972627,4.2923175
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,5.320634,3.7783505
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.544416,5.153594,3.849005
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.703421,5.098709,3.901065
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.544416,4.85453,3.699473
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,4.088334,3.1622005
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.589669,4.892259,3.740964
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.569336,4.657437,3.6133865
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.43194,4.358321,3.3951305
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.569336,4.954487,3.7619115
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.569336,4.608015,3.5886755
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.31021,4.277113,3.2936615
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.569336,5.057143,3.8132395
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.43194,4.847551,3.6397455
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.425245,4.712419,3.568832
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.077952,7.095575,5.5867635
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.676059,6.202501,5.43928
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.969506,6.091746,4.530626
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.702411,6.741462,5.7219365
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.212472,7.006469,6.1094705
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.148185,6.143506,5.1458455
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.406563,6.776917,5.59174
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.325801,5.939342,4.6325715
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.373362,5.656719,4.5150405
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.794064,6.529701,5.6618825
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.283097,5.399267,4.341182
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.193807,6.752789,5.973298
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.818942,6.997652,6.408297
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.328802,6.618399,5.9736005
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.504006,5.832596,5.168301
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.710419,6.019298,4.3648585
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.234379,6.335575,5.284977
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.199127,6.484375,5.341751
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.86963,6.069705,4.9696675
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.977672,6.399338,5.188505
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.896275,6.109992,5.5031335
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.670217,7.228261,5.949239
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.569336,4.534814,3.552075
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.243609,6.900964,6.0722865
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.081247,6.264495,5.172871
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.276072,6.6529,5.964486
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.513623,6.301564,4.9075935
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.116079,6.550869,5.833474
