"","sample","tissue","endometriosis","severity","p201114_x_at","p216088_s_at","PSMA7"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.686111,9.599235,10.142673
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.499656,9.528609,10.0141325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.70194,10.019693,10.3608165
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.315991,9.185377,9.750684
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.118164,9.190796,9.65448
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.747771,9.571781,10.159776
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.81292,9.966518,10.389719
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.565657,7.949307,8.757482
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.590394,9.513044,10.051719
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.325374,10.321801,10.8235875
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.673268,9.575807,10.1245375
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.837193,8.551985,9.194589
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.866019,9.879194,10.3726065
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.186769,8.008846,8.5978075
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.888187,8.87297,9.3805785
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.592953,9.765702,10.1793275
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.334197,9.785994,10.0600955
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.784877,8.832817,9.308847
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.973538,9.959305,10.4664215
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.789049,9.67645,10.2327495
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.827624,8.914762,9.371193
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.834908,9.538342,10.186625
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.784877,9.223178,9.5040275
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.823594,9.51406,10.168827
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.007596,9.018082,9.512839
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.231388,9.567725,9.8995565
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.815029,9.767549,10.291289
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.093911,8.898646,9.4962785
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.426579,9.181401,9.80399
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.39253,9.422946,9.907738
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.12107,8.782949,9.4520095
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.784877,8.997659,9.391268
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.804763,9.197847,9.501305
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.187817,9.313514,9.7506655
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.499498,9.207649,9.8535735
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.138872,9.854768,10.49682
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.957392,9.478339,10.2178655
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.94446,8.721963,9.3332115
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.752316,9.579912,10.166114
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.141976,10.602531,10.8722535
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.501705,9.596823,10.049264
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.427448,9.620576,10.024012
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.427455,9.591879,10.009667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.025037,10.049286,10.5371615
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.144093,10.575753,10.859923
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.9726,9.94168,10.45714
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.334618,9.223889,9.7792535
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.627248,9.452699,10.0399735
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.436482,10.962198,11.19934
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.994355,10.53973,10.7670425
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.989721,10.419108,10.7044145
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.99153,10.089746,10.540638
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.71637,10.286303,10.5013365
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.758871,10.100945,10.429908
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.249871,10.63411,10.9419905
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.176012,10.451701,10.8138565
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.932133,10.5075,10.7198165
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.147786,10.810255,10.9790205
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.583427,11.024167,11.303797
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.293162,10.584577,10.9388695
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.234908,10.473381,10.8541445
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.3289,10.606016,10.967458
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.313209,10.921472,11.1173405
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.557367,9.586348,10.0718575
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.833573,9.631169,10.232371
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.53534,9.703041,10.1191905
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.420348,9.832782,10.126565
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.704734,8.62076,9.162747
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.383574,9.478339,9.9309565
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.574328,9.740798,10.157563
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.561998,9.603028,10.082513
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.76146,9.551027,10.1562435
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.303697,9.550191,9.926944
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.17166,9.333695,9.7526775
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.119946,9.965256,10.542601
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.44115,9.202278,9.821714
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.528544,9.478339,10.0034415
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.131478,10.108859,10.6201685
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.602352,9.429609,10.0159805
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.010076,9.099252,9.554664
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.784877,8.099755,8.942316
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.662916,9.478339,10.0706275
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.874336,9.649415,10.2618755
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.030312,10.024344,10.527328
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.378068,9.394607,9.8863375
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.009449,9.915916,10.4626825
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.480983,9.238536,9.8597595
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.887159,8.931004,9.4090815
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.035964,10.128703,10.5823335
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.949536,9.695603,10.3225695
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.111978,9.368213,9.7400955
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.132403,8.782949,9.457676
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.010444,8.991609,9.5010265
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.529506,9.57174,10.050623
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.685839,9.478339,9.582089
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.31287,8.782949,9.0479095
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.427989,8.966871,9.19743
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.555689,8.940756,9.2482225
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.739892,8.757643,9.2487675
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.645189,9.084821,9.365005
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.238216,9.478339,9.8582775
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.963578,9.127527,9.5455525
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.522618,9.776362,10.14949
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.593453,9.604124,10.0987885
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.68472,9.919515,10.3021175
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.46509,9.944633,10.2048615
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.514964,9.438195,9.9765795
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.210841,9.437442,9.8241415
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.82322,10.081961,10.4525905
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.031552,10.615405,10.8234785
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.721767,9.43371,9.5777385
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.613878,10.037876,10.325877
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.862442,10.044077,10.4532595
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.306269,9.262945,9.784607
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.426184,9.53358,9.979882
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.176378,9.696643,9.9365105
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.507552,9.615182,10.061367
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.652787,9.972307,10.312547
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.784877,8.889712,9.3372945
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.631927,9.992864,10.3123955
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.438403,9.892066,10.1652345
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.930028,10.325835,10.6279315
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.490442,9.757526,10.123984
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.339892,9.743,10.041446
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.671507,9.901543,10.286525
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.667612,10.161381,10.4144965
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.928237,9.834857,10.381547
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.771348,10.045698,10.408523
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.056469,10.316898,10.6866835
