"","sample","tissue","endometriosis","severity","p206567_s_at","p209422_at","PHF20"
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.145828,7.026874,7.086351
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.996913,7.829655,7.913284
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.336991,8.076037,7.706514
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.751101,6.403401,7.077251
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.749838,6.819741,6.7847895
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.917993,9.193871,8.555932
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.703658,8.507327,8.1054925
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.719942,8.040583,7.8802625
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.039133,9.578466,8.8087995
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.975785,9.010943,7.993364
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.65055,8.030963,7.8407565
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.447491,9.352821,8.900156
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.934704,7.451768,7.193236
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.322767,8.581546,7.9521565
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.603603,9.460398,9.0320005
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.711185,8.32609,8.0186375
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.917993,9.58131,8.7496515
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.242145,7.131431,6.686788
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.007947,8.146065,8.077006
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.785698,8.055304,7.920501
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.26597,7.203704,7.234837
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.450592,7.509001,7.4797965
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.917993,7.790763,7.854378
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.537321,7.937569,7.737445
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.750876,7.752083,7.7514795
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.369281,8.425403,7.897342
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.478203,10.524945,9.501574
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.224348,8.159661,7.6920045
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.444489,9.59977,9.0221295
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.086051,9.39163,8.7388405
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.918902,8.895761,8.4073315
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.878616,8.634774,8.256695
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.917993,8.88953,8.4037615
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.402867,9.333464,8.8681655
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.650775,10.271489,9.461132
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.027332,9.530057,8.7786945
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.916953,8.041356,7.9791545
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.770959,8.058916,7.9149375
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.307158,10.331001,9.3190795
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.549219,10.345046,9.4471325
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.083866,10.133849,9.1088575
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.496424,10.395117,9.4457705
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.211879,10.318472,9.2651755
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.080227,10.059498,9.0698625
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.220336,10.155055,9.1876955
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.078669,10.1226,9.1006345
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.275684,9.978604,9.127144
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.185546,10.335356,9.260451
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.44279,10.142486,9.292638
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.397776,10.295102,9.346439
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.624711,10.147512,9.3861115
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.327978,10.156328,9.242153
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.201457,10.196125,9.198791
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.031365,8.68494,8.3581525
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.1151,9.087775,8.6014375
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.083998,9.203277,8.6436375
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.917993,8.849426,8.3837095
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.652561,7.734587,7.693574
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.035035,8.41687,8.2259525
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.639985,9.192125,8.416055
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.652026,8.008558,7.830292
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.003944,8.406574,8.205259
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.917993,8.429251,8.173622
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.441876,7.932217,7.6870465
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.367384,8.993122,8.680253
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.925618,8.924764,8.425191
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.015246,8.765045,8.3901455
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.184006,9.074611,8.6293085
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.329322,9.056672,8.692997
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.019896,8.946749,8.4833225
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.193915,8.790694,8.4923045
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.917993,9.040583,8.479288
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.353737,8.860804,8.6072705
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.718402,9.718407,9.2184045
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.791945,7.843164,7.8175545
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.458201,8.478639,8.46842
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.2455,9.100322,8.672911
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.330226,8.60271,7.966468
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.752446,8.629568,8.191007
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.063507,9.334086,8.6987965
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.185413,7.998118,8.0917655
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.211607,7.581996,7.3968015
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.300582,8.872776,8.586679
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.005253,9.032481,8.518867
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.663682,9.581021,7.6223515
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.075829,8.526766,6.8012975
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.827142,9.128261,6.9777015
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.185917,9.15183,7.1688735
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.253357,8.694515,6.973936
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.008877,8.666386,7.3376315
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.233529,9.084124,7.1588265
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.159003,10.134873,9.146938
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.917993,9.730906,8.8244495
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.4837,10.203754,9.343727
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.996263,9.587712,8.7919875
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.917993,9.839765,8.878879
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.577694,9.714441,9.1460675
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.978179,9.954588,8.9663835
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.071286,10.074632,9.072959
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.526007,10.295572,9.4107895
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.861683,9.618547,8.740115
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.16921,9.730027,8.9496185
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.617248,10.362488,9.489868
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.518353,10.205097,9.361725
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.413907,10.168399,9.291153
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.917993,9.944108,8.9310505
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.608786,9.985401,9.2970935
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.917993,9.900031,8.909012
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.901542,9.757992,8.829767
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.306783,10.412403,9.359593
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.757479,9.622285,8.689882
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.119118,10.096225,9.1076715
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.917993,9.824789,8.871391
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.823738,9.573768,8.698753
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.117818,9.861712,8.989765
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.647711,10.405051,9.526381
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.532343,10.305983,9.419163
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.394126,10.323891,9.3590085
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.410862,10.00479,9.207826
