"","sample","tissue","endometriosis","severity","p218190_s_at","p228142_at","UQCR10"
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.119588,5.974693,8.5471405
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.794333,5.314722,8.0545275
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.691014,5.327372,8.009193
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.996064,4.850469,7.9232665
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.957475,6.558629,8.758052
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.575884,5.124881,8.3503825
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.239358,5.277831,8.2585945
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.208174,6.419465,8.8138195
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.545471,6.490642,9.0180565
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.336527,6.904561,9.620544
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.426727,6.280101,8.853414
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.634604,6.424182,9.029393
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.291736,5.707451,8.4995935
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.721442,6.83249,9.276966
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.64893,7.146801,9.3978655
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.317825,6.003179,8.660502
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.030525,5.378968,8.2047465
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.127092,7.294916,9.711004
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.607708,6.277519,8.9426135
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.958784,6.600586,9.279685
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.734091,6.196846,8.9654685
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.49645,6.770111,9.1332805
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.033268,6.864245,9.4487565
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.206206,4.801846,8.004026
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.814763,7.17452,9.4946415
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.901624,4.653313,8.2774685
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.956338,6.904561,9.4304495
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.820836,6.585221,9.2030285
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.643168,4.969818,7.806493
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.590782,6.711916,9.151349
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.525489,6.904561,9.215025
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.887356,6.958982,9.423169
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.854658,6.518151,9.1864045
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.914944,6.904561,9.4097525
