"","sample","tissue","endometriosis","severity","p1553677_a_at","p1554351_a_at","p228619_x_at","TIPRL"
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.188003,6.826842,7.199242,6.738029
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611363,7.433951,7.502384,7.182566
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.80428,6.582871,8.465851,6.95100066666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.64167,7.221222,8.096251,6.986381
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.347344,7.050568,8.982791,7.46023433333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.880016,8.326791,8.387064,8.197957
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.92903,6.877825,8.745015,7.18395666666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.160649,7.491657,7.85596,7.50275533333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.357833,8.106232,8.869032,8.11103233333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.048457,7.775333,7.892417,7.23873566666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.136015,7.256319,8.360992,7.25110866666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.497138,8.258886,8.110104,7.955376
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.683312,7.813114,8.184058,7.89349466666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.432778,8.253524,8.294929,7.66041033333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.776755,8.473063,8.80321,8.35100933333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.048063,7.118154,8.241154,7.46912366666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.597437,6.969185,8.44116,7.33592733333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.12247,8.967707,10.289838,9.12667166666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.371002,8.80997,9.495351,8.89210766666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.467105,8.8588,8.570907,8.63227066666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.052888,8.445274,9.62505,8.70773733333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.087932,8.042253,9.875029,8.33507133333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.901032,8.490006,9.679926,8.69032133333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.119139,9.164535,8.519037,8.60090366666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.701704,8.420858,10.342228,8.82159666666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.196693,8.609571,8.845153,8.55047233333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.053042,8.716526,10.118588,8.96271866666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.165643,9.410955,8.698126,9.09157466666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.551801,9.131903,9.032888,8.90553066666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.367214,7.53056,8.63576,8.17784466666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.322166,8.897164,9.95041,9.05658
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.571671,9.52119,8.456472,8.84977766666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.741525,7.338787,8.198219,7.426177
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.697845,6.960143,8.514529,7.390839
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.681352,7.807126,8.118503,7.86899366666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.935824,8.125668,7.467503,7.509665
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.824449,6.446737,8.216482,7.162556
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.155272,7.476524,7.384423,7.33873966666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.914444,7.692344,9.047624,7.884804
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.791438,7.611241,7.651897,7.35152533333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.070736,7.052667,7.758603,7.294002
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.193228,6.916872,9.014134,7.04141133333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.091884,7.06851,7.491576,6.88399
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.346629,7.7236,8.620942,7.897057
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.398371,6.935285,7.611366,7.31500733333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.417934,7.472652,8.501339,7.463975
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.831411,7.699204,8.229616,7.920077
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.493566,6.483969,7.767501,7.24834533333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.05134,7.221969,8.836797,7.70336866666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.408599,6.063732,6.747344,6.40655833333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.571606,7.177249,8.530827,7.42656066666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.906782,8.401621,8.379449,8.229284
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.041528,7.868073,8.273442,7.727681
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.703798,6.290134,8.251329,7.08175366666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.202434,7.59008,7.213519,7.33534433333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.903326,7.338087,8.295121,7.512178
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.856048,7.935092,7.710283,7.50047433333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.166306,7.135579,8.380165,7.22735
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.049358,7.731647,8.116421,7.63247533333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.948605,7.737517,7.793386,7.49316933333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.004704,6.516354,7.60313,7.041396
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.178946,7.644527,8.702843,7.84210533333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.130491,8.089384,7.657232,7.62570233333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.533289,8.908421,8.144577,8.195429
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.409272,8.151231,7.662641,7.741048
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.936838,8.386932,8.021804,8.11519133333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.370304,7.975223,7.518217,7.621248
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.37686,8.060736,8.407795,7.94846366666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.582548,7.564956,7.142207,7.42990366666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.015174,7.898832,7.308222,7.74074266666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.634024,8.022534,10.080663,8.57907366666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.440107,8.449929,8.952414,8.28081666666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.169143,8.286309,9.192134,8.54919533333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.01739,8.089085,9.464443,8.190306
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.517497,7.653918,10.551088,8.24083433333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.756536,7.892676,9.670014,8.439742
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.942802,7.987537,9.00065,7.97699633333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.522652,8.430697,8.738714,8.23068766666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.056034,8.499011,10.331797,8.295614
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.296501,8.399612,8.676071,8.12406133333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.238495,8.167917,8.757491,8.05463433333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.960637,9.366117,8.986364,9.10437266666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.458512,8.47074,9.661102,8.86345133333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.48721,8.757602,8.756059,8.666957
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.62563,8.934084,8.392831,8.317515
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.767764,8.405364,9.103329,8.42548566666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.049083,9.074083,7.992114,8.37176
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.599091,8.327764,8.272229,8.06636133333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.547352,9.006276,8.040487,8.53137166666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.820295,8.532071,9.231736,8.528034
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.555199,9.089027,8.161957,8.602061
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.263167,8.559199,9.736101,8.519489
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.586528,8.663839,9.608915,7.953094
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.685024,8.784354,7.994782,8.48805333333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.501516,8.531083,8.619563,8.21738733333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.77672,8.227225,9.59722,8.53372166666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.484286,8.787891,9.249104,8.840427
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.184931,9.261615,8.317183,8.58790966666667
