"","sample","tissue","endometriosis","severity","p215800_at","p219597_s_at","DUOX1"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.36505,7.902183,7.1336165
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.320901,8.005772,6.6633365
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.080154,7.182421,6.6312875
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.863845,10.478149,9.170997
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.354274,13.476625,11.4154495
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.036846,9.043688,7.540267
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.560446,8.436224,7.498335
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.711287,13.482166,11.5967265
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.370416,6.778318,6.074367
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.907495,12.751933,10.829714
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.984584,6.346639,5.6656115
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.462056,8.840776,7.651416
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.474916,12.678055,10.5764855
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.451532,9.409563,7.4305475
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.984584,8.355314,6.669949
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.470699,7.599865,6.535282
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.225923,8.710208,7.4680655
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.412014,8.817797,7.6149055
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.525995,13.424982,10.9754885
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.9222,12.115752,11.018976
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.621562,11.854762,10.238162
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.673865,7.786538,6.7302015
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.610133,10.395669,9.002901
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.957857,8.988659,7.973258
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.553079,6.832211,6.192645
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.927735,10.96725,9.4474925
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.811708,9.966291,8.8889995
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.960956,8.558046,7.259501
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.200458,7.332613,5.7665355
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.367189,14.073192,12.2201905
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.692757,11.756123,10.22444
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.41762,6.935764,5.676692
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.427386,9.069409,7.2483975
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80211,8.388146,7.095128
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.138136,11.664337,10.4012365
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.289619,7.425313,6.357466
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.164028,7.19277,6.178399
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.682284,4.409182,4.545733
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.934197,8.760513,7.347355
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.0853,6.201747,5.6435235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.441292,5.544972,4.993132
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.126919,13.211797,11.669358
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.964114,7.270146,6.61713
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.771753,5.567488,5.1696205
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.056678,8.996165,7.5264215
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.437754,12.445472,10.441613
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.278157,6.506116,5.3921365
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.41762,7.523684,5.970652
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.504027,6.611664,5.5578455
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.592266,13.814988,12.203627
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.30524,5.988603,5.1469215
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.212841,5.457821,4.835331
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.984584,8.641491,6.8130375
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.583704,13.563083,11.5733935
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.356984,6.096185,5.2265845
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.984584,7.621443,6.3030135
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.756978,8.267808,7.012393
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.242337,9.091557,7.166947
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.106465,6.846285,5.976375
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.756845,7.748318,6.2525815
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.577154,14.598913,12.5880335
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.478848,8.203532,7.34119
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.810074,8.725918,7.267996
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.668395,10.827558,8.2479765
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.594107,12.452506,10.5233065
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.984584,7.523968,6.254276
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.990082,7.910149,6.4501155
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.840626,8.456998,7.648812
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.022269,11.290801,10.156535
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.925332,12.741752,10.833542
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.82994,9.289257,8.0595985
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.029263,7.168068,6.0986655
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.496186,8.259687,6.8779365
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.411815,8.506463,6.959139
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.51093,13.214635,10.8627825
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.725243,8.656037,7.19064
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.513712,6.909731,6.2117215
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.326061,8.183325,6.754693
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.7025,8.091825,6.8971625
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.78328,8.488837,7.1360585
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.396808,8.928454,7.162631
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.890294,12.795208,10.842751
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.468249,12.762653,11.115451
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.51399,7.686716,6.600353
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.611182,12.839405,11.2252935
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.143543,7.244296,6.6939195
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.139745,7.37678,6.2582625
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.690056,6.678835,6.1844455
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.041993,6.5015,5.7717465
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.41762,5.261707,4.8396635
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.197009,12.765176,10.9810925
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.900879,8.048677,6.974778
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.869659,9.33495,8.1023045
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.249997,14.762614,13.0063055
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.92175,6.956228,5.938989
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.182736,13.013472,11.098104
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.695039,6.361081,5.52806
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.9817,8.454054,7.217877
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.747428,7.033035,6.3902315
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.54855,7.531883,7.0402165
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.600037,7.122467,6.361252
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.131621,7.083712,6.1076665
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.187229,6.947214,6.0672215
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.766845,5.448112,5.1074785
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.301983,8.906259,8.104121
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.979456,6.157347,5.5684015
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.921473,13.786403,12.353938
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.193,10.251186,8.722093
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.952347,6.740609,5.846478
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.17642,13.055115,11.1157675
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.650876,5.415291,5.0330835
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.913622,6.341478,5.62755
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.825586,7.833708,6.829647
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.497669,4.500996,4.4993325
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.349919,6.780008,6.0649635
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.497547,4.376496,4.4370215
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.156661,4.908602,5.0326315
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.147612,5.845372,5.496492
