"","sample","tissue","endometriosis","severity","p1558976_x_at","p225874_at","UBALD1"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.573501,7.386949,5.980225
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.031476,8.209552,7.120514
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.130492,8.763831,6.9471615
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.790795,9.206505,7.49865
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.705372,8.5727,7.139036
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.970476,8.736172,7.853324
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.663155,9.034521,7.348838
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.550899,8.20099,6.8759445
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.531419,8.238854,6.3851365
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.22351,9.119341,7.6714255
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.724739,8.468756,7.5967475
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.118659,8.714602,7.9166305
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.109849,10.059591,9.08472
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.253577,9.013827,7.633702
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.537942,6.012519,5.2752305
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.464729,7.280097,6.872413
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.968562,7.83846,6.903511
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.933202,7.434197,6.1836995
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.138986,7.167913,6.1534495
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.128507,9.26068,8.1945935
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.057138,7.397059,7.2270985
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.358095,9.317734,7.3379145
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.667588,7.977469,6.8225285
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.939072,8.32253,7.630801
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.714041,8.420108,7.0670745
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.137846,7.159837,6.1488415
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.769418,9.305606,8.037512
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.120476,8.172147,7.1463115
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.826832,8.539497,7.6831645
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.587852,8.549026,7.568439
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.24872,9.045022,8.146871
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50018,8.694732,7.597456
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.126171,7.821093,6.473632
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.529112,8.328503,6.9288075
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.402567,7.367693,5.88513
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.005598,6.373029,5.1893135
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.225484,8.654668,7.440076
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.384081,8.175202,6.7796415
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.205807,6.772886,5.4893465
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.455671,7.98996,6.7228155
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.334402,8.548154,6.441278
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.363595,8.56991,6.4667525
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.450959,8.38708,6.4190195
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286721,7.123861,5.705291
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.169025,6.65408,5.9115525
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.516889,8.387597,6.952243
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.67855,8.302263,6.4904065
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.786239,4.51766,4.1519495
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.742623,4.375911,4.059267
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286677,4.539667,4.413172
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.742623,4.551458,4.1470405
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,5.231584,4.717609
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.580425,4.130551,3.855488
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286677,4.539667,4.413172
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,4.539667,4.3716505
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,4.996352,4.599993
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.599376,4.459418,4.029397
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,5.620398,4.912016
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.742623,4.539667,4.141145
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286677,6.570401,5.428539
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.122813,4.239525,3.681169
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.759032,4.539667,4.1493495
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.090021,8.393497,7.741759
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.334402,8.251634,6.293018
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.289957,7.790527,6.040242
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.603618,8.333967,6.9687925
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.013445,9.272861,8.643153
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.637543,8.606351,7.121947
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.203634,7.652447,5.9280405
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.222299,8.398127,6.810213
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.750942,8.627204,7.189073
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.354157,9.063734,8.2089455
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.98081,9.216078,8.098444
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.780982,7.920187,6.8505845
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.13311,8.135546,7.634328
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.154328,8.530465,7.3423965
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.605255,7.657625,6.13144
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.588321,8.641801,8.115061
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.960562,7.884671,6.9226165
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.361142,8.61093,6.986036
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.209828,7.959726,7.084777
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.716377,6.573231,6.144804
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.489017,7.415344,5.9521805
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.529235,8.928783,8.229009
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.856712,8.136344,6.996528
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.352458,9.110121,7.2312895
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.402567,8.117684,6.2601255
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.759173,9.165897,8.462535
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.021706,7.247611,6.1346585
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.913092,9.331855,8.6224735
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.700949,9.096957,6.898953
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.334402,8.233382,6.283892
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.688962,7.453358,6.07116
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.402567,6.570401,5.486484
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.649247,7.481445,6.065346
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.977325,6.907975,5.94265
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.402567,8.470131,6.436349
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,7.199914,5.701774
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.402567,6.65408,5.5283235
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.993388,6.570401,5.2818945
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.203634,6.622291,5.4129625
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.203634,5.427269,4.8154515
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.449364,5.157185,4.8032745
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.568246,6.595284,5.581765
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.659707,6.619733,6.13972
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.674931,5.6418,5.1583655
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.787645,6.259024,5.5233345
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.927118,6.65408,5.790599
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.574304,6.044889,5.3095965
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.203634,5.660673,4.9321535
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.70003,6.49565,5.59784
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.746695,3.008566,3.3776305
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,4.539667,4.3716505
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.012323,5.102548,4.5574355
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286677,6.424002,5.3553395
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.932831,5.030939,4.481885
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.358555,5.937586,5.1480705
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.968708,7.309108,6.638908
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286677,5.561005,4.923841
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.338687,6.626978,5.9828325
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.287014,4.877458,4.582236
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.293136,6.033692,5.163414
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.3807,6.651653,6.0161765
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286677,5.145571,4.716124
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.354939,5.392926,4.8739325
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,4.596168,4.399901
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.823379,4.667816,4.2455975
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203634,4.845223,4.5244285
