"","sample","tissue","endometriosis","severity","p396_f_at","p209963_s_at","p209962_at","EPOR"
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.292925,5.468321,6.324497,5.69524766666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.879741,4.24761,5.240984,4.12277833333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.21761,5.624696,6.703777,5.18202766666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.14345,4.24761,5.947677,4.779579
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.21761,4.24761,5.753223,4.40614766666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.939004,4.506951,5.629665,4.35854
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.01695,6.087609,6.884923,5.32982733333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.634523,5.463662,5.765027,4.954404
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.421593,4.349555,6.178111,4.98308633333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.488741,4.217118,5.472698,4.059519
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.963459,4.326824,4.449138,3.91314033333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.879741,4.104555,4.591976,3.85875733333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709383,5.430034,6.684145,5.607854
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.345446,4.217118,5.399643,4.32073566666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.879741,4.217118,4.578604,3.891821
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.945812,4.135341,5.38219,4.15444766666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.159966,4.916316,6.139767,5.07201633333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.636694,4.217118,5.739206,4.531006
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.880195,4.544673,5.609028,4.344632
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.994032,3.813729,4.750825,3.852862
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.458839,4.218489,4.935115,3.87081433333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.184606,5.081483,6.370983,5.21235733333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.192678,5.10681,5.76098,5.35348933333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.861954,3.730035,4.462829,3.68493933333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.997039,3.464782,4.365715,3.60917866666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.769087,4.24761,5.06588,4.02752566666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.09141,3.822416,4.866175,3.926667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.85994,3.544295,4.449138,3.617791
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.133172,4.213187,5.642866,4.32974166666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.879741,4.24761,4.718234,3.94852833333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.879741,4.134289,4.534893,3.849641
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.879741,4.217118,5.39138,4.16274633333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.769087,3.920152,4.0843,3.59117966666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.951391,3.712128,4.448864,3.70412766666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.784959,3.711222,3.956168,3.48411633333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.382145,4.073647,4.576145,3.67731233333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.879741,3.409866,4.058167,3.449258
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.01695,3.593589,4.449138,3.686559
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.833012,4.546162,4.89317,4.42411466666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.879741,4.521687,5.753441,4.38495633333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.81496,4.407295,6.068585,4.76361333333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.020437,4.872515,5.817261,5.23673766666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.01695,5.090628,5.986083,4.697887
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.391356,4.809913,6.201809,5.46769266666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.21761,4.336124,5.674905,4.40954633333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.21761,4.803612,6.234233,4.75181833333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.769087,3.936062,4.997051,3.90073333333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528808,4.677597,6.680336,4.962247
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.784401,5.512238,7.89234,6.72965966666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.879741,5.047657,5.290751,4.40604966666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.765467,4.24761,5.623926,4.54566766666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.255514,4.780301,5.792434,4.60941633333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.447408,4.451604,5.753223,4.550745
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.01695,4.834345,6.23947,4.69692166666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.294393,4.676317,5.39804,4.12291666666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.01695,4.344223,5.106803,4.155992
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.939004,4.167031,5.750753,4.285596
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.342308,3.520434,4.448864,3.437202
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.894217,4.885758,5.753223,4.511066
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.521887,5.642069,7.004224,5.72272666666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.01695,4.43282,5.753223,4.40099766666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.880173,4.042525,5.753223,4.225307
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.21761,4.882401,5.744117,4.61470933333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.156419,5.971747,7.75476,5.627642
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.979773,4.217118,4.449183,3.88202466666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.864662,4.586705,5.941015,5.130794
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.960813,5.065994,5.753223,5.26001
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.881415,4.555907,5.753223,4.39684833333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.783413,4.398786,4.984051,4.05541666666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.819375,5.967311,7.223838,6.67017466666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.634199,6.555258,8.355258,7.18157166666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.015909,5.02956,7.881568,6.30901233333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.732961,5.842683,7.358895,6.64484633333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.294329,5.147554,6.834541,6.09214133333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.008099,5.977281,5.92158,6.30232
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.593914,4.560332,5.753223,5.30248966666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.8855,4.24761,5.38219,4.17176666666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.330067,6.003498,7.706539,6.013368
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.822998,4.222372,5.558216,4.20119533333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.939004,4.63846,6.122164,4.56654266666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.21761,4.248274,5.38219,4.28269133333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.879741,4.291863,4.953814,4.041806
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.21761,4.925622,7.027293,5.05684166666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.21761,4.590038,6.143046,4.65023133333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.452755,4.35292,6.273184,4.692953
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.939004,4.390472,6.840255,4.72324366666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.571295,5.080331,6.447484,5.36637
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.817789,3.551616,4.146724,3.50537633333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.769302,4.217118,5.391715,4.126045
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.881306,4.296389,5.753223,4.310306
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.939004,4.329477,6.438052,4.56884433333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.974966,3.478648,5.217935,3.89051633333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.939004,4.173449,5.353833,4.15542866666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.879741,4.401333,5.753223,4.34476566666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.939004,4.173546,4.837546,3.98336533333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.01695,4.383256,6.188887,4.52969766666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.879741,3.907297,4.912762,3.89993333333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.01695,4.217118,5.402309,4.21212566666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.175852,4.835009,6.864053,5.291638
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.860333,4.032623,5.315083,4.06934633333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.674308,5.506748,7.34776,5.50960533333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.769087,3.746563,4.448864,3.654838
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.780277,3.918158,5.244095,3.98084333333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.765701,4.262011,5.411443,4.146385
