"","sample","tissue","endometriosis","severity","p38269_at","p209282_at","PRKD2"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.486108,9.316429,9.9012685
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.254821,9.190808,9.7228145
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.037768,9.849045,10.4434065
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.732333,9.485029,10.108681
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.167993,8.32309,8.7455415
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.508828,9.486969,9.9978985
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.539998,9.603269,10.0716335
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.530887,8.478653,9.00477
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.037788,8.654439,9.3461135
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.852278,9.53973,10.196004
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.151357,8.886421,9.518889
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.773426,9.801566,10.287496
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.104778,8.214614,9.159696
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.076466,9.090365,9.5834155
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.574645,9.264098,9.9193715
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.583381,8.048516,8.8159485
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.592275,9.469191,10.030733
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.421823,9.508787,9.965305
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.189938,9.015091,9.6025145
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.855516,8.713494,9.284505
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.018615,9.039638,9.5291265
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.008,8.698939,9.3534695
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.473003,9.302354,9.8876785
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.842363,9.689444,10.2659035
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.149514,9.214406,9.68196
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.842736,7.612726,8.227731
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.045371,8.713834,9.3796025
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.796836,8.818665,9.3077505
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.036508,8.15474,8.595624
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.894078,8.708799,9.3014385
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.862202,8.928127,9.3951645
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.78112,8.918078,9.349599
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.53005,8.475462,9.002756
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.442928,8.356934,8.899931
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.193375,8.178631,8.686003
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.009653,9.036229,9.522941
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.161985,9.085196,9.6235905
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.268828,7.284906,7.776867
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.73676,7.80629,8.271525
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.536557,7.657322,8.0969395
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.732456,8.009031,8.3707435
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.793953,7.776631,8.285292
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.347336,7.310982,7.829159
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.364153,7.24956,7.8068565
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.307905,7.210354,7.7591295
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.652595,7.618733,8.135664
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.427796,7.454727,7.9412615
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.423528,7.164981,7.7942545
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.652181,7.792107,8.222144
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.445875,8.443015,8.944445
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.814867,7.494162,8.1545145
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.559753,7.420855,7.990304
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.926364,9.12477,9.525567
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.773873,8.789129,9.281501
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.403954,8.247751,8.8258525
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.943778,9.005438,9.474608
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.485826,9.30683,9.896328
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.462435,9.233784,9.8481095
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.685097,8.77722,9.2311585
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.257508,9.260336,9.758922
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.102627,9.155648,9.6291375
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.457405,9.343868,9.9006365
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.859744,9.758346,10.309045
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.671928,8.642471,9.1571995
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.091781,8.707667,9.399724
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.190064,8.869543,9.5298035
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.816557,8.470293,9.143425
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.227107,9.161331,9.694219
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.267767,9.180036,9.7239015
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.718424,8.546632,9.632528
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.06339,8.889802,9.476596
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.618243,8.70247,9.1603565
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.959691,8.821808,9.3907495
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.5743,9.561678,10.067989
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.159671,9.048546,9.6041085
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.026508,9.011219,9.5188635
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.153195,8.918202,9.5356985
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.875017,10.015213,10.445115
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.883908,8.822304,9.353106
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.56355,9.577463,10.0705065
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.206306,9.112385,9.6593455
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.99857,8.976703,9.4876365
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.96981,8.907041,9.4384255
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.671429,7.448724,8.0600765
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.71782,7.376178,8.046999
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.63395,7.619764,8.126857
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.944556,7.982032,8.463294
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.698032,7.267008,7.98252
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.464428,7.529987,7.9972075
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.183133,8.101745,8.642439
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.718794,7.82395,8.271372
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.910317,7.734958,8.3226375
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.39447,6.881003,7.6377365
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.259921,8.357785,8.808853
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.898261,7.81042,8.3543405
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.199529,6.898114,7.5488215
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.346084,8.444898,8.895491
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.945422,7.977295,8.4613585
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.782813,7.830759,8.306786
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.796605,7.740722,8.2686635
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.2289,8.280539,8.7547195
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.937159,6.638139,7.287649
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.133782,6.773639,7.4537105
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.383499,7.172402,7.7779505
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.57024,7.666351,8.1182955
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.690346,7.580826,8.135586
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.676762,7.817884,8.247323
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.38244,8.577299,8.9798695
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.515675,7.08999,7.8028325
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.798807,7.978823,8.388815
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.101191,7.065292,7.5832415
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.631216,7.388014,8.009615
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.189053,8.138824,8.6639385
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.412491,7.486391,7.949441
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.786682,7.585436,8.186059
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.396053,7.3754,7.8857265
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.226036,7.176456,7.701246
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.557177,7.220756,7.8889665
