"","sample","tissue","endometriosis","severity","p223776_x_at","p224809_x_at","TINF2"
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.230322,9.725677,9.4779995
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.120844,10.761578,10.441211
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.448814,10.043479,9.7461465
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.615078,9.179192,8.897135
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.05528,9.641777,9.3485285
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.160846,9.871723,9.5162845
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.843335,9.41796,9.1306475
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.160473,9.801524,9.4809985
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.668251,10.108597,9.888424
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.864125,9.413399,9.138762
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.805284,10.579673,10.1924785
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.035207,9.70754,9.3713735
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.111076,9.758035,9.4345555
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.617778,9.353202,8.98549
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.108535,10.488768,10.2986515
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.435694,10.216129,9.8259115
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.99447,9.757821,9.3761455
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.758668,10.359632,10.05915
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.480463,9.127234,8.8038485
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.303863,9.743143,9.523503
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.071952,9.941911,9.5069315
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.449029,10.236188,9.8426085
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.946395,9.594527,9.270461
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.889061,9.831925,9.360493
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.184739,9.777251,9.480995
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.400405,9.960147,9.680276
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.664997,9.845365,9.755181
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.153119,9.937319,9.545219
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.905827,9.652631,9.279229
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.049942,9.849744,9.449843
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.450948,10.161367,9.8061575
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.300995,9.857845,9.57942
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.856071,10.664139,10.260105
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.585721,10.195179,9.89045
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.921229,10.384016,10.1526225
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.474514,10.167205,9.8208595
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.002798,9.710541,9.3566695
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.526113,10.023818,9.7749655
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.136092,9.786501,9.4612965
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.620961,9.94496,9.7829605
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.543012,9.039048,8.79103
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.739554,9.237911,8.9887325
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.83833,9.306665,9.0724975
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.247213,9.675636,9.4614245
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.365103,9.765106,9.5651045
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.818659,9.208579,9.013619
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.934506,9.353821,9.1441635
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.067713,9.417052,9.2423825
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.204848,9.571627,9.3882375
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.895584,9.1887,9.042142
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.172186,9.530228,9.351207
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.184635,9.649474,9.4170545
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.204673,9.721067,9.46287
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.00908,9.352431,9.1807555
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.974807,9.261779,9.118293
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.72176,10.336083,10.0289215
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.782581,10.308002,10.0452915
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.135879,9.658085,9.396982
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.687915,10.223545,9.95573
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.0107,9.779365,9.3950325
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.667613,10.190157,9.928885
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.174724,9.648742,9.411733
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.64015,10.192485,9.9163175
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.24758,10.923001,10.5852905
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.429252,9.161471,8.7953615
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.906293,10.555986,10.2311395
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.269352,9.783761,9.5265565
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.908953,9.837134,9.3730435
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.319326,10.230471,9.7748985
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.471209,10.127445,9.799327
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.096835,9.908431,9.502633
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.133062,9.137336,8.635199
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.89443,9.88181,9.38812
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.138008,9.73688,9.437444
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.162299,9.711805,9.437052
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.427139,9.953501,9.69032
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.134212,9.841926,9.488069
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.078167,9.717795,9.397981
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.372232,10.205537,9.7888845
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.295904,10.039238,9.667571
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.611006,10.075311,9.8431585
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.796326,9.568057,9.1821915
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.864761,10.503921,10.184341
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.207668,10.100339,9.6540035
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.623291,10.083913,9.853602
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.920773,10.438667,10.17972
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.04603,9.212351,9.1291905
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.197934,9.162666,9.1803
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.148814,8.974523,9.0616685
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.326588,9.346506,9.336547
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.710001,8.963955,8.836978
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.191883,8.685088,8.9384855
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.769827,8.944222,8.8570245
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.598685,9.164744,8.8817145
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.933139,9.404123,9.168631
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.551597,9.214758,8.8831775
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.164561,9.630529,9.397545
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.828576,9.347618,9.088097
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.585415,9.366051,8.975733
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.669034,9.211386,8.94021
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.804312,9.383653,9.0939825
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.132609,9.487815,9.310212
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.514402,9.120877,8.8176395
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.167663,9.712017,9.43984
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.569943,9.279639,8.924791
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.703184,9.218056,8.96062
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.419991,8.819545,8.619768
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.849082,9.421846,9.135464
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.944796,9.636694,9.290745
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.843396,9.465002,9.154199
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.630454,9.090286,8.86037
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.091146,9.767314,9.42923
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.959132,9.463738,9.211435
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.688899,9.099494,8.8941965
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.494925,9.087459,8.791192
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.035866,9.814611,9.4252385
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.592054,9.125213,8.8586335
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.200371,9.851697,9.526034
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.598559,9.279718,8.9391385
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.631303,9.083325,8.857314
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.672934,9.105493,8.8892135
