"","sample","tissue","endometriosis","severity","p235410_at","p235432_at","NPHP3"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.559368,8.525915,8.5426415
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.352353,4.034423,4.193388
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.838271,5.920248,5.8792595
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.360041,7.645328,7.5026845
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.838633,5.54575,5.6921915
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.025398,4.999179,5.0122885
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.890581,5.796264,5.8434225
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.777679,5.532072,5.1548755
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.259514,5.14035,5.699932
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.18663,7.816737,7.5016835
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.55191,3.46122,3.506565
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.389847,6.923223,7.156535
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.188916,5.070076,5.129496
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.036581,4.64122,4.8389005
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.198961,5.556078,5.3775195
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.688181,5.708304,5.6982425
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.742222,5.911619,5.3269205
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.010274,5.812437,5.4113555
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.209598,5.330303,5.7699505
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.886048,6.049992,5.46802
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.348534,6.903271,6.6259025
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.205075,8.213088,8.7090815
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.075227,6.863476,6.9693515
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.712507,7.501346,7.1069265
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.312162,7.932986,7.622574
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.384442,7.768864,7.576653
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.497746,6.274044,6.385895
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.456205,6.632077,6.544141
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.103805,7.188984,7.1463945
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.754754,6.188428,6.971591
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.257151,8.175262,8.2162065
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.900191,6.645696,6.7729435
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.728067,4.92424,5.3261535
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.20172,7.77278,7.48725
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.76953,8.522299,8.1459145
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.465215,8.798291,8.631753
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.84849,8.376926,8.112708
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.343703,9.061125,8.702414
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.113269,8.83843,8.4758495
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.978275,8.797025,8.38765
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.05241,8.629133,8.3407715
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.182053,8.318462,8.2502575
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.331901,8.068643,7.700272
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.310836,8.307955,7.8093955
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.172711,8.047513,7.610112
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.194758,8.456494,7.825626
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.078305,7.873895,7.4761
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.052196,7.345363,7.1987795
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.458331,6.121592,6.2899615
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.2695,7.760808,7.515154
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.511086,7.855817,7.6834515
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.760974,5.444095,5.1025345
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.459355,5.793269,5.626312
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.017608,6.307674,5.662641
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.998384,7.120897,7.0596405
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.75512,4.853896,4.804508
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.65898,7.141041,6.4000105
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.253681,4.334034,5.2938575
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.380356,5.776276,5.078316
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.729153,6.804824,6.7669885
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.646972,7.362984,7.004978
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.068822,6.176886,6.122854
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.222847,6.459036,6.3409415
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.132961,7.418939,6.77595
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.479765,8.205342,7.3425535
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.551493,3.950213,4.750853
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.328223,7.46317,6.8956965
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.401188,6.995595,6.6983915
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.655892,7.459821,7.0578565
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874611,5.057412,4.4660115
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.333525,5.941558,5.6375415
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.784961,6.926973,6.355967
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.693288,6.388826,6.541057
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.452569,6.701393,6.576981
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.320729,7.009682,6.6652055
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.62849,6.197392,5.912941
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.088148,5.312654,5.700401
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.239594,7.896879,7.5682365
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.812683,7.76069,7.2866865
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.509356,9.173579,8.3414675
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.555838,8.574743,8.0652905
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.05223,8.920656,8.486443
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.699478,8.747496,8.223487
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.700054,8.403344,8.051699
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.070294,8.294919,7.6826065
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.134746,8.122841,7.6287935
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.168167,9.956388,9.5622775
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.654317,10.816039,10.235178
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.114898,9.174433,9.1446655
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.931221,9.796278,9.3637495
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.47315,9.500345,8.9867475
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.590135,8.865167,8.727651
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.077377,9.614182,8.8457795
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.924158,9.880539,9.4023485
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.079161,9.227612,8.6533865
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.161536,10.526497,9.8440165
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.844951,9.004006,8.4244785
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.976786,8.703356,8.340071
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.695006,9.154365,8.9246855
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.522287,8.451456,8.4868715
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.972459,10.536449,10.254454
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.74948,8.550807,8.6501435
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.421319,10.628821,10.02507
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.272501,10.3197,9.7961005
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.190155,8.851733,8.520944
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.794651,9.770928,9.2827895
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645075,8.884437,8.764756
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.491649,9.554931,9.02329
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.774683,8.991968,8.3833255
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.38065,8.624033,8.5023415
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.207653,9.189924,8.6987885
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.124672,8.088677,8.1066745
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.221387,8.662395,8.441891
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.324672,9.320281,8.8224765
