"","sample","tissue","endometriosis","severity","p215175_at","p213159_at","p229287_at","PCNX1"
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.607151,5.355216,7.425356,6.46257433333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.997185,5.423601,8.017002,6.47926266666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.98051,4.857478,7.330554,6.05618066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.458326,5.305886,7.621628,6.46194666666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.813407,3.426849,6.347518,4.86259133333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.92257,3.483048,5.913043,4.772887
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.483861,3.994491,5.987663,5.48867166666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.530587,4.153807,5.590798,4.425064
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.998397,3.481739,5.386598,4.28891133333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.530587,3.192798,5.406682,4.04335566666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.306703,3.532016,5.591416,4.47671166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.338439,4.131002,4.185557,3.88499933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.258195,3.865847,6.277675,4.467239
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.345332,4.085837,7.007392,5.146187
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.647761,3.165161,5.042357,4.285093
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.272397,3.718006,5.959037,4.31648
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.481378,2.944086,6.084797,4.170087
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.272397,3.426849,4.312364,3.67053666666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.781101,3.483048,5.62481,3.96298633333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.842878,3.951109,7.798201,5.53072933333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.701534,4.131002,5.400195,4.41091033333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.719273,3.165161,6.381538,4.755324
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.647761,4.131002,6.856693,5.21181866666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.848733,3.343926,6.612475,4.268378
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.768124,3.21351,5.386598,4.122744
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.862236,3.434492,7.016285,5.10433766666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.767476,3.426849,5.386598,4.193641
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.110261,3.426849,6.447415,4.99484166666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.069564,3.67413,7.354499,5.69939766666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.610625,3.426849,5.386598,4.47469066666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.624233,3.927862,7.219635,5.59057666666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.992317,3.426849,4.874774,3.76464666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.842512,4.098433,6.090079,5.01034133333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.969439,3.385972,5.71003,4.68848033333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.530587,3.521561,4.312364,3.78817066666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.158175,3.165161,5.27783,4.20038866666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.272397,3.426849,4.857923,3.85238966666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.348682,3.426849,6.898439,4.55799
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.557289,3.511999,5.595559,4.554949
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.75288,3.771166,6.910197,4.81141433333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.496296,4.175899,8.402026,6.02474033333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.991398,3.839521,6.519687,4.78353533333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.647761,4.931613,7.072334,5.55056933333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.134377,4.887305,7.79741,6.27303066666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.135113,3.78429,5.386598,4.768667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.530587,3.426849,5.693869,4.21710166666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.735994,4.293987,7.327004,4.78566166666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.628938,4.142481,7.383086,5.384835
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.835659,5.386603,7.612056,5.278106
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.647761,3.905184,7.794767,5.44923733333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.121977,3.398762,6.563555,4.69476466666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.530587,3.922048,6.330037,4.594224
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.272397,5.981709,7.733787,5.662631
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.781101,5.222013,8.147782,5.383632
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.157019,5.55807,7.952812,5.88930033333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.53356,5.893887,8.456495,5.961314
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.781101,5.185852,8.210892,5.392615
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.195843,5.476541,7.999153,5.89051233333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.656703,6.096836,7.560289,6.10460933333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.492782,5.19164,8.37559,5.68667066666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.184366,5.191562,8.03287,5.80293266666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.884483,5.435667,8.073832,5.797994
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.781101,5.849737,8.250134,5.62699066666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.962096,6.135746,7.74134,5.61306066666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.038931,4.680932,7.800697,5.17352
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.181437,5.349636,7.871334,5.467469
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.550831,5.270681,7.836456,5.552656
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.530587,5.138563,7.686346,5.451832
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.104187,4.612559,7.008344,4.90836333333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.318737,4.269747,7.361544,4.98334266666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.818582,3.426849,6.447956,4.89779566666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.198614,3.115182,6.083451,4.465749
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.507274,3.889919,6.633007,5.01006666666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.549858,3.485586,7.197803,5.41108233333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.038175,3.165161,5.762037,4.65512433333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.43794,3.48461,6.062557,4.99503566666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.638819,3.284784,6.953002,4.95886833333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.983286,3.426849,5.945537,5.11855733333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.839096,4.131002,7.921011,5.963703
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.640614,3.483048,5.386598,4.83675333333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.926652,3.733989,6.663494,5.77471166666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.336881,4.061503,7.583629,5.660671
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.696081,3.447107,7.053621,5.73226966666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.530587,3.487731,5.882654,4.300324
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.421609,4.271364,5.386598,4.69319033333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.926878,3.690299,6.071203,5.22946
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.506273,3.649281,5.585136,5.24689666666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.647761,4.547106,7.087629,5.42749866666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.139425,3.426849,4.951151,3.83914166666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.805133,3.303205,6.762955,5.290431
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.489111,4.084895,7.164734,5.57958
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.437044,3.977841,7.390837,5.268574
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.049128,3.426849,7.131451,5.202476
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.7884,3.624473,7.086978,4.83328366666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.951784,3.23064,6.438634,4.873686
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.658247,3.92543,5.44375,4.34247566666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.576246,3.905345,7.00742,5.82967033333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.057867,4.007653,6.662117,5.575879
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.647761,5.613214,8.093374,6.11811633333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.148216,5.243052,7.179038,5.52343533333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.117385,5.279147,8.180016,6.19218266666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.546544,5.64608,7.190721,5.79444833333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.380817,5.581517,7.329456,6.09726333333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.647761,5.607405,6.482072,5.57907933333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.966783,5.338564,6.788832,5.36472633333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.390803,4.131002,9.462237,6.328014
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.408791,5.105841,8.953034,7.15588866666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.123621,4.626348,8.68646,6.47880966666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.79295,3.797891,8.185456,5.92543233333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.27179,5.375031,8.797862,6.81489433333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.883324,4.329262,8.493578,6.56872133333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.979591,5.652212,8.784764,7.13885566666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.654649,5.673362,8.717558,6.68185633333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.27647,6.689715,8.395449,7.12054466666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.23911,6.10317,8.787179,7.043153
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.985916,5.920916,8.658482,6.52177133333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.647761,5.109905,8.104121,5.953929
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.471697,4.131393,8.353626,5.65223866666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.790102,4.29838,7.803175,5.96388566666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.899247,5.574547,8.732558,6.73545066666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.754707,6.288404,8.208562,6.083891
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.805587,4.271375,8.240943,6.43930166666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.818108,5.913156,7.556581,6.762615
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.270822,6.507901,8.12583,6.96818433333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.723407,4.244372,8.547755,6.17184466666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.745465,4.276378,7.955973,5.32593866666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.974858,5.904772,8.078558,6.98606266666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.85273,6.630459,8.143596,7.20892833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.520614,5.258562,7.726417,6.50186433333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.04012,7.090509,8.497041,7.54255666666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.963891,5.821877,8.250947,6.01223833333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.63119,4.433918,7.796982,5.95403
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.501172,4.184707,8.063031,6.24963666666667
