"","sample","tissue","endometriosis","severity","p201368_at","p201369_s_at","ZFP36L2"
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.35939,11.277153,12.3182715
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.026424,9.444456,11.23544
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.954218,10.038582,10.9964
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.603672,9.968822,11.286247
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.446075,10.958836,12.2024555
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.610461,8.968999,10.28973
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.914133,9.553916,10.7340245
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.848629,8.792489,10.820559
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.128926,10.034458,11.581692
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.779954,10.409871,11.5949125
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.593411,10.17536,11.3843855
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.921888,10.272096,11.596992
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.963569,9.600057,11.281813
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.198138,9.246585,10.7223615
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.222223,10.136376,11.1792995
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.852725,10.123538,10.9881315
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.602321,10.462382,11.5323515
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.84167,10.240918,11.541294
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.469286,8.5885,10.028893
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.676279,11.077214,12.3767465
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.229586,10.446298,11.837942
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.275758,10.918275,12.0970165
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.914106,9.933303,11.4237045
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.799061,9.078754,10.4389075
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.37575,9.59063,10.98319
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.648723,10.426733,12.037728
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.123265,7.910778,10.0170215
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.372291,9.464088,10.9181895
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.815112,10.34262,11.578866
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.960727,9.317542,10.6391345
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.957615,10.257993,11.607804
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.751331,8.031887,9.891609
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.291492,12.082933,13.1872125
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.491091,9.680133,11.085612
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.289398,10.509527,11.8994625
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.123027,9.190554,10.6567905
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.670688,11.260011,12.4653495
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.414051,9.918123,11.166087
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.4803,9.824234,11.152267
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.647645,9.842238,11.2449415
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.199796,9.092528,10.646162
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.003917,9.092881,10.548399
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.865341,9.404175,10.634758
