"","sample","tissue","endometriosis","severity","p213805_at","p218739_at","ABHD5"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.703554,5.979208,4.841381
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.526767,6.782288,5.6545275
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.083406,6.373013,5.2282095
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.178395,6.126697,4.652546
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.178395,5.736467,4.457431
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.257655,3.953664,3.1056595
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.662278,4.304765,3.9835215
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.171717,3.500337,3.336027
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.692063,5.692268,4.6921655
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.526767,6.191758,5.3592625
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.021558,3.544494,3.283026
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.662278,3.260821,3.4615495
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.519495,4.249391,3.884443
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.171717,3.500337,3.336027
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.178395,3.948662,3.5635285
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.627615,7.83333,7.2304725
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.737466,5.049061,4.3932635
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.262432,3.179982,3.221207
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.297681,7.9349,6.6162905
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.178395,3.500337,3.339366
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.171717,5.323422,4.2475695
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.178395,3.887567,3.532981
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.42043,7.046445,5.2334375
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.534508,4.409311,3.9719095
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.662588,5.686798,4.674693
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.603675,5.450979,4.527327
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.662278,4.413376,4.037827
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.178395,3.989705,3.58405
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.032222,5.148367,4.5902945
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.636052,6.006381,5.3212165
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.644135,4.39416,4.0191475
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.016103,4.951181,3.983642
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.444223,5.718193,4.581208
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.243272,4.017432,3.130352
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.189156,4.653759,3.9214575
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.192185,5.366537,4.279361
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.798536,6.879178,5.838857
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.340639,3.877157,3.608898
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.432224,6.860534,5.646379
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.102771,7.547337,6.825054
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.723753,8.200308,6.9620305
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.210263,6.409619,5.309941
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.31944,7.39302,5.85623
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.668222,6.709412,5.688817
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.118273,7.083384,5.6008285
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.914033,6.86888,6.3914565
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.183881,3.476513,3.330197
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.662278,6.212949,4.9376135
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.00031,7.371751,6.6860305
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.902302,6.609148,6.255725
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.165736,6.534199,6.3499675
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.884549,7.679676,6.7821125
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.538688,8.289546,7.914117
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.908804,6.258765,6.0837845
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.672548,6.475143,6.0738455
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.653777,7.697409,7.175593
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.07733,8.351479,7.7144045
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.285281,6.549918,6.4175995
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.788413,7.706883,7.247648
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.693851,7.240528,6.4671895
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.608569,7.593698,7.6011335
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.351679,7.158315,6.754997
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.070044,7.089862,6.579953
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.737466,5.724163,4.7308145
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.298253,8.005129,7.151691
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.526767,5.836693,5.18173
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.945877,6.851922,5.3988995
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.412935,3.208126,2.8105305
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.662278,4.880239,4.2712585
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.785323,6.360163,5.072743
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.233454,5.464201,4.3488275
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.653029,7.685915,6.669472
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.10694,3.36013,3.233535
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.378279,6.742465,4.560372
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.646956,6.702581,5.6747685
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.178395,6.008337,4.593366
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.178395,6.232782,4.7055885
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.178395,5.94265,4.5605225
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.662278,5.87865,4.770464
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.62035,3.681937,3.6511435
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.662278,3.548592,3.605435
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.748547,5.012242,4.3803945
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.761643,5.91059,4.8361165
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.780334,6.78215,5.281242
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.425135,3.366248,2.8956915
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.032098,6.368922,5.20051
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.737466,5.422164,4.579815
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.171717,4.965576,4.0686465
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.564123,4.358807,3.961465
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.662278,5.639944,4.651111
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.662278,6.033318,4.847798
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.171717,5.01189,4.0918035
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.737466,6.38545,5.061458
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.818907,7.069784,5.9443455
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.408902,6.297817,6.3533595
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.446275,7.466107,7.956191
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.734271,6.053611,6.393941
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.430433,5.657879,6.044156
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.18084,4.495417,4.8381285
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.538978,3.345595,3.9422865
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.918775,4.95099,4.9348825
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.904362,5.188329,5.0463455
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.739543,3.225132,3.4823375
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.720584,4.997893,5.3592385
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.822246,8.444435,8.1333405
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.948633,5.206553,5.077593
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.271828,8.245448,7.758638
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.823042,5.923237,5.3731395
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.066464,6.605754,6.336109
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.693258,7.025002,6.35913
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.880936,4.624619,4.7527775
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.617331,6.774849,5.69609
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.153764,7.100959,7.1273615
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.225117,5.179094,5.2021055
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.504394,5.657321,5.5808575
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.984803,6.579583,6.282193
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.988483,5.790152,5.3893175
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.359327,7.704178,7.5317525
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.505661,5.859649,5.182655
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.765211,8.20184,7.4835255
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.707958,7.339998,7.023978
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.231094,5.97842,5.104757
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.519325,4.645186,4.5822555
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.999334,8.502719,7.2510265
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.526767,5.450316,4.9885415
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.016122,7.699722,6.857922
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.055639,5.770134,5.4128865
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.714801,5.800899,5.25785
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.125869,5.211712,5.1687905
