"","sample","tissue","endometriosis","severity","p39854_r_at","p212705_x_at","PNPLA2"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.948292,5.037228,5.99276
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611882,5.009088,5.810485
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.641145,5.79044,6.7157925
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.414866,5.366242,6.390554
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.188645,5.614253,6.401449
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.513415,4.96946,5.7414375
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.165085,4.238805,5.201945
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.58791,4.214566,5.401238
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.325606,4.392244,5.358925
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,3.998079,5.076206
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.672016,4.716019,5.6940175
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.252944,5.625086,6.439015
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.866396,5.169053,6.0177245
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.888581,2.97415,3.9313655
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,3.432258,4.7932955
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,4.291947,5.22314
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.855953,3.674426,4.7651895
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,3.432258,4.7932955
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.233571,6.088983,6.661277
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.903073,3.103435,4.503254
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.062573,5.050894,6.0567335
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,4.207995,5.181164
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.236195,4.097441,5.166818
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.831504,5.236161,6.0338325
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.031263,3.533949,4.782606
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.44073,4.465365,5.4530475
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.763044,5.031915,5.8974795
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.799131,5.139526,5.9693285
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.334002,5.012508,5.673255
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.825277,5.345647,6.085462
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.81999,4.81712,5.818555
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,3.528746,4.8415395
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,3.900547,5.02744
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.764408,3.432258,4.598333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.020929,3.103435,4.062182
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.619666,4.494976,5.557321
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.781397,4.980299,5.880848
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,4.082655,5.118494
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.230949,4.408444,5.3196965
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.156001,3.824861,4.990431
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.303788,4.69416,5.498974
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,4.693258,5.4237955
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.712019,3.178748,4.4453835
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.724927,3.432377,4.078652
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.154333,4.530066,5.3421995
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,4.219244,5.1867885
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.775462,2.975671,3.8755665
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.991802,2.97415,3.982976
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.856134,3.061006,3.95857
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.652217,2.975671,3.813944
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.694567,2.97415,3.8343585
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.793991,3.077972,3.9359815
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.727423,2.975671,3.851547
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.68385,2.351772,3.517811
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.103453,3.05354,4.0784965
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.915751,2.685695,3.800723
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.064813,2.986736,4.0257745
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.20402,2.975671,3.5898455
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.708761,3.103435,4.406098
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.80761,2.236067,3.5218385
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.730083,2.995129,3.862606
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.317613,4.165207,5.24141
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.154333,5.207255,5.680794
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.14205,3.313007,4.7275285
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.864274,5.212355,6.0383145
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.845991,5.130751,5.988371
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.806181,4.810496,5.8083385
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.83895,3.382,4.610475
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.154333,3.515774,4.8350535
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.522661,5.576985,6.049823
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.466242,4.659111,5.5626765
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.757318,4.839318,5.798318
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.245906,5.069663,5.6577845
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.586118,5.173925,5.8800215
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.154333,3.823866,4.9890995
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.119526,3.432258,4.775892
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.83141,5.013006,5.922208
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.154333,4.332689,5.243511
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.271945,4.860219,5.566082
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.130926,3.797495,4.9642105
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.070651,3.077972,4.0743115
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.07286,3.967795,5.0203275
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.488657,4.681363,5.58501
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.47261,4.945435,5.7090225
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.525358,5.049796,5.787577
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.133462,3.432258,4.78286
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.699826,4.560088,5.629957
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.487083,3.432258,4.4596705
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.257287,4.828209,5.542748
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.154333,4.480824,5.3175785
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.162119,4.330293,5.246206
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.075845,3.584941,4.830393
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.788893,4.813885,5.801389
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.442663,6.797251,7.619957
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.58062,5.537563,6.5590915
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.871637,6.22922,7.0504285
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.916504,4.642725,5.7796145
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.154333,4.67926,5.4167965
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.008882,4.082608,5.545745
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.087153,3.162925,4.125039
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.033692,2.975671,4.0046815
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.736968,2.870691,3.8038295
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.825274,3.982163,4.9037185
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.855901,3.077972,3.9669365
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.47369,3.510324,4.492007
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.8221,3.063309,3.9427045
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.994069,3.961292,4.9776805
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.573662,3.176546,4.375104
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.811384,2.975671,3.8935275
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.343702,3.42751,4.385606
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.698406,2.597558,3.647982
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.834859,2.975671,3.905265
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.972115,2.975671,3.973893
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.730904,3.077972,3.904438
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.492512,3.103435,3.7979735
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.755208,3.077972,3.91659
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.06772,3.103435,4.0855775
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.77504,3.083132,4.429086
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.758051,3.695145,4.726598
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.410863,3.103435,4.257149
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.977216,2.975671,3.9764435
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.53122,3.323315,4.4272675
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.873439,2.747604,3.8105215
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.272103,3.252234,4.2621685
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.352374,2.97415,4.163262
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.868898,2.980266,3.924582
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.086452,3.080186,4.083319
