"","sample","tissue","endometriosis","severity","p1554899_s_at","p204232_at","FCER1G"
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.379241,9.111863,8.745552
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.042022,10.910961,10.4764915
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.078745,9.105847,8.592296
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.881607,6.335932,5.6087695
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.881607,7.137059,6.009333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.512388,7.727455,7.1199215
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.031959,5.53455,4.7832545
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.25178,9.953893,9.6028365
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.44458,7.746117,7.0953485
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.265289,7.44057,6.8529295
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.219785,9.516978,8.8683815
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.523152,8.821003,8.1720775
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.494569,7.845127,7.169848
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.254787,7.600333,6.92756
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.063774,8.805217,8.4344955
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.160662,8.813953,7.9873075
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.310704,7.291282,6.800993
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.314664,6.460374,5.887519
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.121895,8.365411,7.743653
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.998356,5.562758,4.780557
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.329485,6.10236,5.7159225
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.534339,7.344626,6.9394825
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.896586,5.589403,4.7429945
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.336877,5.679797,5.008337
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.082683,5.975362,5.5290225
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.686535,6.799193,6.242864
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.220369,8.775774,8.4980715
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.13852,6.831437,6.4849785
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.445327,6.709928,6.5776275
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.200701,7.901064,7.5508825
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.831921,7.678636,7.2552785
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.900987,8.601556,8.2512715
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.191141,7.738553,7.464847
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.254287,8.930957,8.592622
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.163276,6.307581,6.2354285
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.888527,9.707387,9.297957
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.902803,6.330955,5.616879
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.178782,6.910216,6.544499
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.785269,6.639197,6.212233
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.912175,6.344574,6.1283745
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.845885,11.143111,10.994498
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.774248,6.025089,5.8996685
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.404823,5.863969,5.634396
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.5379,9.131609,8.8347545
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.136235,6.643881,6.390058
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.112025,6.535841,5.823933
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.927358,7.576589,7.2519735
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.998054,8.240299,7.6191765
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.137058,6.91166,6.524359
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.029936,8.929717,8.4798265
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.974626,7.711233,7.3429295
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.265289,6.582803,6.424046
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.265289,6.710653,6.487971
