"","sample","tissue","endometriosis","severity","p212049_at","p212050_at","p231251_at","WIPF2"
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133889,8.155244,3.72302,6.33738433333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.988307,7.712286,2.867371,5.855988
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.291755,7.931712,3.188861,6.13744266666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.793238,7.757506,3.455603,6.00211566666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.990427,7.835819,3.510894,6.11238
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.637064,7.895455,3.188861,5.90712666666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.281757,7.978596,3.510894,6.25708233333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.860786,7.929608,3.262003,6.01746566666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.092312,9.04588,5.028602,7.38893133333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.979925,8.207846,3.275155,6.15430866666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.860786,7.826962,2.874877,5.85420833333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.524652,8.090374,3.544907,6.38664433333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.71589,8.59866,4.753019,7.022523
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.747155,7.525174,3.276948,5.849759
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.88396,7.680677,3.448987,6.00454133333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.059084,7.650057,3.510894,6.073345
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.160004,7.747149,3.276948,6.061367
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.794359,7.273485,2.343471,5.47043833333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.612204,7.951748,3.510894,6.358282
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.83347,8.718877,4.639216,7.06385433333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.632415,7.79826,3.992332,6.47433566666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.141737,8.144846,3.192042,6.15954166666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.167816,8.409219,4.831711,6.80291533333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.403307,8.125626,3.53518,6.35470433333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.444098,8.253365,3.190423,6.295962
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.227531,7.738811,3.540036,6.16879266666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.301274,8.394158,4.032814,6.576082
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.620754,8.008355,3.984688,6.53793233333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.192313,8.690773,3.870116,6.917734
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.528737,8.143706,3.813458,6.49530033333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.102864,8.058447,4.277702,6.479671
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.758078,8.738203,3.779447,6.758576
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.666929,8.055992,3.194576,6.30583233333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.967607,8.898853,4.596861,7.15444033333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.447574,8.532098,3.960369,6.64668033333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.087699,8.546644,3.279646,6.63799633333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.828268,8.516833,3.988949,6.77801666666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.430938,8.317011,3.510894,6.41961433333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.449647,8.452315,2.712941,6.20496766666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.954393,7.316538,3.188861,5.81993066666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.151613,8.194468,3.952892,6.432991
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.237141,8.521953,5.116982,6.958692
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.581541,9.752218,3.188861,6.50754
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.909566,10.237618,3.609875,6.91901966666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.872104,9.917466,3.510894,6.76682133333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437503,9.803408,3.261598,6.83416966666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.928843,10.142085,3.188861,6.753263
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.628001,10.457543,3.510894,7.19881266666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.161435,10.134073,2.386575,6.56069433333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.521074,8.117612,3.237267,6.29198433333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.525338,8.424625,3.312073,6.42067866666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.574938,8.176292,4.017813,6.589681
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.677879,8.717518,4.752394,7.04926366666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.245274,8.001639,3.510894,6.25260233333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.44341,8.370505,4.715601,6.843172
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.623717,8.439694,3.514948,6.52611966666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.723061,8.632877,4.143784,6.83324066666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.482066,8.378103,3.332919,6.397696
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.748334,8.599573,3.203144,6.517017
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.578102,8.396939,3.710945,6.56199533333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.530366,8.137461,4.103201,6.59034266666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.535086,8.099245,3.921115,6.518482
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.573858,7.937529,3.724629,6.41200533333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.479682,8.476197,3.964387,6.64008866666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.290958,8.115721,3.222235,6.209638
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.539086,8.133921,3.743547,6.47218466666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.197521,8.180177,3.818366,6.398688
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.170341,8.059412,3.319203,6.18298533333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.435288,8.367908,4.365312,6.722836
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.535506,8.26172,3.314999,6.37074166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.653616,8.21925,3.510894,6.46125333333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.873323,8.754486,3.510894,6.712901
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.303925,7.756395,3.106556,6.05562533333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.788565,8.495263,3.454183,6.579337
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.32623,8.246907,3.165056,6.24606433333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.524892,8.037851,3.485643,6.349462
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.045888,8.626834,3.79041,6.821044
