"","sample","tissue","endometriosis","severity","p211282_x_at","p210847_x_at","p219423_x_at","TNFRSF25"
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.066606,4.846981,7.850152,6.25457966666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.944396,4.976824,8.059872,6.660364
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.233829,4.09832,7.192719,5.50828933333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.618232,5.402469,8.488233,6.83631133333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.473352,4.200305,8.388557,6.35407133333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.98056,4.181514,7.742426,5.96816666666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.740811,4.118735,8.332498,6.06401466666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.660426,4.119346,8.208481,6.32941766666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.829909,5.655391,8.831789,7.10569633333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.614411,4.09832,7.807938,5.840223
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.396849,4.630468,8.00537,6.01089566666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.410392,4.09832,7.192719,5.56714366666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.588162,4.522365,8.078575,6.39636733333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.15969,2.577268,5.783066,4.17334133333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.838181,4.09832,7.397615,5.77803866666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.59721,2.806069,5.741312,4.048197
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.351031,4.070888,7.19056,5.537493
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867194,3.513237,6.584237,4.98822266666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.971091,3.620234,6.603932,5.06508566666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.438218,4.09832,7.431492,5.65601
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.211648,4.101241,7.621595,5.97816133333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.816721,2.806069,5.31511,4.31263333333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.925755,4.09832,6.710334,5.244803
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.786904,3.928832,6.694093,5.13660966666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867194,3.898927,6.698696,5.154939
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.288146,4.613824,7.65599,6.18598666666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.867194,2.987543,6.276979,4.710572
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.213154,2.844901,6.025511,4.36118866666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.310738,2.824385,5.610583,4.24856866666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.431006,4.074175,7.052689,5.51929
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.805049,3.329437,6.187899,4.77412833333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.202311,3.89391,6.79775,5.29799033333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.918315,4.09832,7.009277,5.675304
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.351031,3.897859,6.86525,5.37138
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.447639,2.96138,5.957443,4.45548733333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.968789,3.879855,6.438282,5.095642
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.796096,2.792615,5.482866,4.023859
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,3.010284,4.611346,4.16294133333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.199488,2.300886,5.366669,3.955681
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.203802,4.09832,7.192719,5.49828033333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.213154,2.806069,4.386075,3.801766
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,2.605555,5.557844,4.343531
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.434023,4.09832,6.882723,5.47168866666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.207252,4.09832,7.061677,5.45574966666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.208036,3.654474,6.538537,5.13368233333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039361,4.09832,7.948331,6.02867066666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.922036,5.323948,8.08735,6.44444466666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.406293,4.838824,8.260788,6.50196833333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.880535,4.248015,7.499112,5.87588733333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.619028,5.081372,8.36332,6.68790666666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.869766,4.09832,7.406525,5.791537
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.460319,5.688397,9.017804,7.38884
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.618327,5.387111,8.360923,6.788787
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.010204,4.09832,6.935183,5.34790233333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.138481,5.430761,8.833014,7.13408533333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.00442,4.631625,7.932453,6.18949933333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.26534,4.09832,8.175433,6.17969766666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.359563,4.328415,7.69637,5.79478266666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.799319,5.068922,8.430626,6.766289
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.741085,4.09832,7.692862,5.51075566666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.848628,4.09832,7.726446,5.89113133333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.203863,4.09832,7.233678,5.51195366666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.231455,4.09832,7.936851,6.08887533333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.901209,4.9116,8.759043,6.857284
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.034846,5.138421,7.850801,6.341356
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.892751,4.365515,7.541509,5.93325833333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.270845,4.66265,7.892768,6.275421
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.152224,6.474067,9.489361,8.03855066666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.351031,4.288418,7.38418,5.674543
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.110123,4.605226,7.751186,6.15551166666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.203802,3.752842,6.599355,5.185333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.984854,5.560006,8.711485,7.08544833333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.979042,4.45638,7.768515,6.067979
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,3.837407,6.025511,4.91003733333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.203802,3.875658,6.025511,5.03499033333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,3.700165,6.393023,4.986794
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.018821,3.817032,6.599355,5.14506933333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.148805,3.879855,6.013065,5.01390833333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.203802,3.879855,6.274814,5.11949033333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.351031,4.09832,6.599355,5.34956866666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.700071,4.151908,7.417533,5.756504
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.548415,5.57226,9.159149,7.426608
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.203802,4.09832,7.04501,5.449044
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.036058,4.09832,7.360762,5.83171333333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.376891,4.09832,7.192719,5.55597666666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.203802,4.09832,7.265474,5.522532
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.456998,4.656477,7.784545,6.29934
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.530297,4.483904,7.719966,6.24472233333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.407684,4.09832,6.989692,5.49856533333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.231124,4.51023,7.744825,6.16205966666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.395529,4.09832,6.826035,5.43996133333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.592367,2.492728,4.732457,3.60585066666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.207126,3.912507,6.91091,5.34351433333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.203802,3.798143,6.444885,5.14894333333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.203802,4.09832,6.599355,5.30049233333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.983239,3.825306,6.635508,5.14801766666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.968666,4.297203,7.339976,5.868615
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.351031,4.09832,7.192719,5.54735666666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.213154,2.806069,5.144162,4.05446166666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.489001,4.08722,6.903905,5.49337533333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.62805,3.880546,6.251693,4.92009633333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.203802,4.084729,6.599355,5.295962
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.346954,4.09832,7.325781,5.59035166666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,3.468427,6.599355,4.97832533333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,4.040025,6.599355,5.168858
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.530144,3.271792,6.254861,4.685599
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867194,3.671939,6.34789,4.962341
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.265277,4.09832,7.00803,5.457209
