"","sample","tissue","endometriosis","severity","p203432_at","p224944_at","TMPO"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131493,8.415766,7.2736295
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.049652,8.9909,7.520276
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.110765,9.102483,7.106624
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.289341,9.180403,7.234872
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.994945,8.664352,6.8296485
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.353585,10.380932,8.8672585
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.927322,9.340319,7.6338205
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.628772,9.839655,8.2342135
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.987315,9.415087,8.201201
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.619279,10.657172,9.1382255
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.370422,7.515534,5.942978
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.734085,9.142585,7.438335
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.052932,10.121476,9.087204
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.866629,8.786084,7.3263565
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.977057,9.279138,7.6280975
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.636386,9.369283,8.0028345
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.216513,9.909304,8.0629085
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.086392,8.51257,6.799481
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.272438,9.95813,8.615284
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.227005,8.364326,6.7956655
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.017333,8.709846,6.8635895
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.0516,9.335157,7.6933785
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.818038,8.927868,7.372953
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.446291,10.471359,8.958825
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.408339,9.842523,8.125431
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.677555,8.867082,7.2723185
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.994945,8.184328,6.5896365
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.165939,9.147931,7.656935
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.759016,9.265265,8.0121405
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.079163,8.26157,6.6703665
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.660608,9.665096,7.662852
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.450727,10.101799,8.776263
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.90697,10.619302,9.263136
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.207719,10.918423,9.563071
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.7229,9.829679,7.7762895
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.971236,9.527586,8.249411
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.213333,10.196537,8.704935
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.239582,9.444893,8.3422375
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.652522,9.491006,8.071764
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.789408,10.038151,8.4137795
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.758709,9.729434,8.2440715
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.074667,10.202109,8.638388
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.463185,11.004744,9.7339645
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.974569,10.17551,8.5750395
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.670325,9.973364,8.8218445
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.356566,11.727014,10.54179
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.894228,10.850817,9.8725225
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.541244,10.856411,9.6988275
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.835927,10.593347,9.214637
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.428986,9.824077,8.6265315
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.366643,10.778272,9.5724575
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.799767,11.177366,9.9885665
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.120805,11.478972,10.2998885
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.722171,9.600835,8.161503
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.65254,10.761926,9.707233
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.51166,9.662653,8.5871565
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.768589,10.657741,9.713165
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.938594,8.892068,7.415331
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.565904,11.544738,10.555321
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.252153,11.267073,10.259613
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.391732,9.369181,7.8804565
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.100423,9.563263,8.331843
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.025296,10.597154,9.311225
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.915985,9.265383,8.090684
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.66109,9.082664,7.871877
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.306483,9.475534,7.8910085
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.409335,11.050783,9.730059
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.384014,10.238212,8.811113
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.691077,9.043093,7.867085
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.677555,9.500075,7.588815
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.728284,8.810867,7.2695755
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.144699,9.419536,7.7821175
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.71249,8.324697,7.0185935
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.416799,9.939616,8.6782075
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.460518,9.468808,7.964663
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.091806,9.096562,7.594184
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.432186,9.141074,7.78663
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.550665,9.279564,7.9151145
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.041807,10.356777,9.199292
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.349001,10.793809,9.571405
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.424064,9.331905,7.8779845
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.719644,9.405748,8.062696
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.478181,8.90641,7.1922955
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.144425,9.506564,7.8254945
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.552585,10.41211,8.9823475
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.528448,9.674725,8.1015865
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.210261,10.589794,9.4000275
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.085054,9.629958,8.357506
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.998541,9.538503,7.768522
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.82096,9.332148,8.076554
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.718577,10.093506,8.9060415
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.327706,9.486221,7.9069635
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.074738,9.40101,7.737874
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.67968,9.45354,7.56661
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.969008,10.246742,8.107875
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.736498,11.567748,10.152123
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.108948,10.365806,8.737377
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.233234,11.265204,9.749219
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.433352,9.423291,7.9283215
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.514528,10.182339,8.3484335
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.52745,10.415387,8.9714185
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.787799,9.868543,8.328171
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.329385,10.26455,8.7969675
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.856502,9.81222,8.334361
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.581032,10.384164,8.482598
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.628123,9.946742,8.2874325
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.33774,9.673587,8.0056635
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.466082,10.518519,8.9923005
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.544439,9.795345,8.169892
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.879075,11.257364,10.0682195
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.29808,10.766412,9.032246
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.281413,11.064804,9.6731085
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.179228,11.368431,9.7738295
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.238165,9.96025,8.5992075
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.894787,9.929438,8.4121125
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.082834,10.13297,8.607902
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.642568,9.656109,8.1493385
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.700404,9.782762,8.241583
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.726899,11.397249,10.062074
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.654525,11.270249,9.962387
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.010356,9.024653,7.5175045
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.06111,10.972206,9.516658
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.58921,9.755253,8.1722315
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.541833,11.404916,9.9733745
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.373018,11.276933,9.8249755
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379096,11.238642,9.808869
