"","sample","tissue","endometriosis","severity","p244043_at","p203588_s_at","TFDP2"
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.435247,5.022441,6.228844
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.509051,4.464369,4.98671
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.597174,6.047507,6.8223405
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.42758,5.022441,4.7250105
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.558594,5.022441,6.7905175
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.347763,6.076591,6.712177
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.177443,5.520636,6.3490395
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.698008,3.253764,5.475886
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.229122,5.227099,6.7281105
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.040713,5.07462,5.5576665
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651429,5.022441,5.836935
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.93025,6.012565,7.4714075
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.088483,5.022441,6.055462
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.278831,5.913807,6.596319
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.15789,5.88117,6.51953
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.022542,4.87839,6.450466
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.223189,5.143218,6.1832035
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.317527,5.022441,6.169984
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.964757,5.022441,6.493599
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.142339,5.022441,6.08239
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.977618,3.961229,5.9694235
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.159834,5.524886,6.84236
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.045599,5.441916,6.7437575
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.601851,6.701949,6.6519
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.151536,5.022441,6.0869885
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.314828,5.162794,5.238811
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.022685,6.466032,6.2443585
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.554447,5.808673,6.18156
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.119668,5.137536,5.628602
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.195278,5.615758,5.405518
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.97749,5.303626,5.640558
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.711791,7.252024,6.4819075
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.791567,6.81466,6.8031135
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.729852,5.195835,5.9628435
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.612413,6.349096,5.4807545
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.453136,8.236351,7.8447435
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.841248,7.564804,7.203026
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.170272,7.289822,6.230047
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.592564,8.029476,7.31102
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.916359,7.021379,6.468869
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.137794,6.995921,6.5668575
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.845271,7.564747,6.705009
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.059364,7.222543,6.6409535
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.748721,6.952129,6.350425
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.141896,8.326578,8.234237
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.135977,6.589947,5.862962
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.508261,8.305234,7.4067475
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.221361,6.939454,6.5804075
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.591238,7.908696,7.249967
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.545781,8.531195,7.038488
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.508157,5.424027,5.966092
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.508868,6.432365,6.9706165
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.398873,7.487124,7.4429985
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.091626,4.965298,5.528462
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.245172,5.053083,6.6491275
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.61813,5.022441,5.8202855
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.479263,6.703019,7.091141
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.26306,5.983304,6.623182
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.676591,5.581008,6.1287995
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.596876,4.468861,6.0328685
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.892025,5.228236,6.0601305
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.584778,5.027192,5.805985
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.218208,4.540482,6.379345
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.349875,6.357925,6.3539
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.426029,5.600629,6.013329
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.902938,5.119122,6.01103
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.591867,4.577545,7.084706
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.126245,5.022441,6.074343
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.933799,6.357269,7.145534
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.132798,6.965574,7.049186
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.933581,5.756256,6.3449185
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.803911,4.959005,6.381458
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.488107,5.022441,6.255274
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.019396,5.380468,6.199932
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.391414,6.82734,7.109377
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.659366,5.480716,6.570041
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.275622,6.757825,7.5167235
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.306807,6.925054,6.6159305
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.507277,6.349498,5.4283875
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.831571,5.280984,7.0562775
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.835011,6.310047,6.572529
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.592636,5.471162,5.531899
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.400921,5.287643,5.344282
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.897524,5.457476,5.6775
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.394702,5.581008,5.487855
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.405749,7.405273,7.405511
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.873788,5.872723,6.3732555
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.000626,7.20582,7.603223
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.123691,5.358242,5.2409665
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.995896,5.56932,5.782608
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.7844,6.266916,6.025658
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.689865,6.364787,5.527326
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.799938,6.709168,5.754553
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.415722,6.83581,6.125766
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.432998,7.408427,6.9207125
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.944276,5.586221,5.2652485
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.061333,5.534886,5.2981095
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.764754,5.625934,6.195344
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.800944,6.731748,5.766346
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.653615,7.622105,7.13786
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.000188,7.36061,7.180399
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.607888,7.497588,7.052738
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.081117,6.519974,6.3005455
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.235227,6.710979,6.473103
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.055547,5.581008,5.8182775
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.745751,7.025316,5.3855335
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.903425,6.09471,5.4990675
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.45091,5.584563,5.0177365
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.716795,7.787593,7.252194
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.816648,7.477202,6.646925
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.555042,5.813526,4.684284
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.530631,7.435728,6.9831795
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.082026,5.580774,5.3314
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.314011,7.29288,6.8034455
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.473266,7.26971,6.871488
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.723397,7.073765,6.898581
