"","sample","tissue","endometriosis","severity","p201732_s_at","p201733_at","CLCN3"
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.772681,3.187675,3.480178
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.616757,3.511189,3.063973
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.550401,4.149107,3.849754
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.772681,3.859938,3.8163095
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.069647,4.151833,3.61074
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.459198,3.859938,4.159568
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.070937,5.518572,4.7947545
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.837733,3.816928,3.8273305
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.693416,4.424476,4.558946
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.772681,3.859938,3.8163095
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.616757,3.627303,3.12203
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.616757,3.859938,3.2383475
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.332355,3.34155,3.8369525
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.521055,3.775056,3.6480555
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.258257,4.149107,3.703682
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.337569,3.736962,3.5372655
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.931768,4.149107,4.0404375
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.693416,4.244198,4.468807
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.003424,3.859938,3.931681
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.952984,4.149107,4.5510455
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.593465,3.602384,3.5979245
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.693416,3.949499,4.3214575
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.642409,4.689436,5.1659225
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.693416,4.1754,4.434408
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.772681,3.260341,3.516511
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.914235,3.659701,3.786968
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.634038,4.468157,5.0510975
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.553156,4.149107,4.8511315
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.97708,4.564235,5.2706575
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.050928,5.502287,5.7766075
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.195942,5.667768,5.931855
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.988127,4.3794,5.1837635
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.740474,4.500285,5.1203795
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.550673,5.289125,5.919899
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.993991,5.52885,5.7614205
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.009566,5.004594,5.50708
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.978602,5.560007,6.2693045
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.473045,4.581041,5.527043
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.459407,6.269279,7.364343
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.337122,4.183797,5.2604595
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.832398,4.519021,5.1757095
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.010808,3.75847,3.384639
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.693416,4.553364,4.62339
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.426647,3.878213,4.15243
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.858407,3.5317,3.1950535
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.326496,3.749789,3.5381425
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.772681,3.859938,3.8163095
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.772681,4.63286,4.2027705
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.812913,3.628459,3.220686
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.031834,4.184037,4.6079355
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.693416,4.354637,4.5240265
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.173963,3.530296,3.3521295
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.304494,4.149107,4.2268005
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.304456,4.149107,3.7267815
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.772681,4.149107,3.960894
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.716073,4.149107,3.93259
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.647611,4.149107,4.398359
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.693416,5.8967,5.295058
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.520766,3.659014,4.08989
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.339237,3.808944,3.5740905
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.323226,3.704003,4.0136145
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.492665,3.833596,3.6631305
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.657073,4.283713,3.970393
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.693416,4.212996,4.453206
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.152431,4.406646,3.7795385
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.840132,3.034382,2.937257
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.772681,4.231822,4.0022515
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.104125,3.859938,3.4820315
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.405969,3.496128,3.4510485
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.772681,3.618568,3.6956245
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.772681,5.327845,4.550263
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.474431,4.149107,4.311769
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.176423,5.473616,5.8250195
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.285586,5.212973,5.7492795
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.572584,5.243384,5.907984
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.031699,5.052403,5.542051
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.986181,4.548615,5.767398
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.693416,5.206892,4.950154
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.026647,4.149107,5.087877
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.693416,3.859938,4.276677
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.693416,4.149107,4.4212615
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.97926,4.168293,5.0737765
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.453746,5.382861,5.9183035
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.700634,4.149107,4.4248705
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.782223,4.659116,5.7206695
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709192,4.149107,4.4291495
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.716562,4.149107,4.4328345
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.386372,4.149107,4.7677395
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.631349,4.149107,4.390228
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.126875,5.03123,5.5790525
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.136824,5.913178,6.525001
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.140845,4.747877,5.444361
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.757457,5.038067,5.897762
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.264196,4.149107,4.7066515
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.455751,4.149107,5.302429
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.952041,5.677925,6.314983
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.484122,4.151928,4.318025
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.684026,5.582526,6.133276
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.852957,4.625419,5.239188
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.089202,4.625206,5.357204
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.693416,3.970038,4.331727
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.851475,4.149107,4.500291
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.493484,5.342237,5.9178605
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.981671,4.492448,5.2370595
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.693507,4.157666,4.4255865
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.970586,4.149107,5.0598465
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.51401,4.205221,5.3596155
