"","sample","tissue","endometriosis","severity","p32259_at","p203249_at","EZH1"
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.61051,6.851581,7.2310455
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.52985,7.464667,7.4972585
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.986711,4.951718,5.4692145
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.052643,6.811607,6.932125
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.626275,7.146954,7.3866145
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.817939,7.274398,7.5461685
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.104875,7.118568,7.6117215
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.932516,5.578265,6.2553905
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.131976,4.370226,5.251101
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.549722,7.105356,7.327539
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.625993,5.464407,6.0452
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.88931,7.689633,7.7894715
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.874085,7.11854,7.4963125
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.808582,6.2249,6.516741
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.68101,7.001286,7.341148
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.643472,5.463022,6.053247
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.045587,4.722845,5.384216
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.066562,5.930903,6.4987325
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.561445,7.013399,7.287422
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.570166,7.263474,7.41682
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.728463,8.147623,8.438043
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.958988,8.36004,8.659514
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.733015,8.271332,8.5021735
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.721098,8.133425,8.4272615
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.296314,6.783366,7.03984
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.405079,5.957512,6.6812955
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.085039,6.233,6.6590195
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.147972,9.540497,9.8442345
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.151346,8.583405,8.8673755
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.455634,8.181841,8.3187375
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.789718,9.533772,9.661745
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.041337,7.723966,7.8826515
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.313624,8.763574,9.038599
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.447857,7.891619,8.169738
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.330253,8.869536,9.0998945
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.551451,8.242889,8.39717
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.42068,7.939246,8.179963
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.075991,7.587283,7.831637
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.415401,6.769555,7.092478
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.026603,7.37191,7.6992565
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.938837,7.333196,7.6360165
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.902153,8.66871,8.7854315
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.000643,7.464728,7.7326855
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.48225,9.232621,9.3574355
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.009377,7.655219,7.832298
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.27261,7.991473,8.1320415
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.377339,9.055027,9.216183
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.385485,6.405915,6.8957
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.685221,7.049513,7.367367
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.24762,7.610379,7.9289995
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.532988,6.944566,7.238777
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.488004,8.302536,8.39527
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.474062,6.699542,7.086802
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.172178,6.111563,6.6418705
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.493876,6.654867,7.0743715
