"","sample","tissue","endometriosis","severity","p221435_x_at","p223769_x_at","p223622_s_at","HYI"
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.159541,8.366255,8.191459,8.239085
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.411526,9.412715,9.18743,9.33722366666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.286245,9.421932,9.154917,9.287698
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.409723,8.974921,8.582942,8.655862
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.324511,8.663341,8.221621,8.40315766666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.244287,9.577756,8.80786,9.20996766666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.383964,8.620283,8.362639,8.45562866666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.154037,8.566577,8.249753,8.32345566666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.130007,7.410137,6.44299,6.994378
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.070863,6.677018,4.72368,5.82385366666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.106176,7.351929,5.904062,6.45405566666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.106176,6.799909,5.60854,6.17154166666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.511303,7.650877,7.155847,7.106009
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.521868,7.878427,6.588869,7.32972133333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.173995,7.660192,7.226471,7.35355266666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.996166,8.307641,7.939549,8.08111866666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.879015,8.119055,7.826689,7.94158633333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.258306,7.218963,6.951212,6.80949366666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.999721,6.328118,6.006751,6.11153
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.375085,7.745908,7.457134,7.52604233333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.886738,6.463141,6.144461,6.16478
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.975892,7.304999,6.914716,7.06520233333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.662033,7.228905,6.67001,6.85364933333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.039208,7.072278,6.834607,6.982031
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.408038,7.57098,7.30201,7.42700933333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.613786,7.908066,7.634214,7.71868866666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.540795,7.061147,6.42981,6.67725066666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.365852,7.791785,7.395543,7.51772666666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.803915,7.247317,6.991891,7.01437433333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.998554,7.372428,7.081744,7.15090866666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.693799,7.073446,6.732677,6.83330733333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.050461,6.455003,5.793038,6.09950066666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.936329,7.500188,7.189965,7.20882733333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.343945,6.7614,6.388862,6.498069
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.334026,6.859373,6.356801,6.51673333333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.911141,7.088087,6.674635,6.89128766666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.693905,8.05343,7.657726,7.801687
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.248083,9.457124,9.349488,9.351565
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.244709,7.40756,7.060101,7.23745666666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.08125,6.965977,6.90684,6.984689
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.209996,7.696747,7.36608,7.42427433333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.155697,7.317323,7.27924,7.25075333333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.055899,7.310367,7.16902,7.17842866666667
