"","sample","tissue","endometriosis","severity","p227231_at","p227230_s_at","KIAA1211"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.480587,8.40338,5.9419835
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.292138,6.048832,4.670485
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.496285,3.567243,3.031764
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.930492,7.819432,6.874962
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.073963,6.599101,4.836532
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.951335,5.919916,4.4356255
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.073963,5.854558,4.4642605
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.371181,3.392181,2.881681
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.073963,5.733258,4.4036105
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.148223,4.197224,3.6727235
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.453466,6.871918,5.662692
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.536452,4.022436,3.279444
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.073963,5.169853,4.121908
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.023983,3.849327,3.436655
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.951335,3.955705,3.45352
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.073963,4.852446,3.9632045
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.073963,5.757701,4.415832
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.678821,8.070666,6.8747435
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.480587,5.848899,4.664743
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.985522,3.287152,3.136337
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.62846,4.835,3.73173
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.082069,4.98902,4.0355445
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.29275,9.180355,7.2365525
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.223479,6.02225,4.6228645
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.590748,6.053587,4.3221675
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.381593,4.330322,3.3559575
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.523622,7.349509,6.4365655
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.028072,7.321204,6.174638
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.597215,5.398738,4.4979765
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.274118,7.143159,5.7086385
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.895458,8.277107,7.5862825
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.670649,7.180197,6.425423
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.529301,7.954955,7.242128
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.208348,8.383614,7.295981
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.493793,8.215883,7.354838
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.484979,7.43995,6.4624645
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.57587,8.515224,7.545547
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.587092,7.082622,6.334857
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.986163,6.512801,5.749482
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.142514,7.891791,7.0171525
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.6813,6.004076,5.342688
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.369012,8.060132,7.214572
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.475593,7.800601,6.638097
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.124165,7.870971,6.997568
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.5327,7.90619,7.219445
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,4.039538,3.1378025
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.073963,6.471908,4.7729355
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.810162,7.994547,6.4023545
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.398503,3.79615,3.0973265
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.720431,4.726678,3.7235545
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.201483,5.197398,4.1994405
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.380513,8.969768,7.6751405
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.268731,7.520336,6.3945335
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202324,7.950967,5.5766455
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.292727,5.474591,5.383659
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.106123,7.300532,5.7033275
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.951335,4.110702,3.5310185
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.073963,4.07666,3.5753115
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.169917,7.688289,6.429103
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.381593,4.270969,3.326281
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.073963,4.571852,3.8229075
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.073963,6.184699,4.629331
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.649209,6.134596,4.8919025
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.453206,6.780433,5.1168195
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.109339,7.223511,6.166425
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.026468,4.115905,3.5711865
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.26304,6.131862,4.697451
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.073963,3.494201,3.284082
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.426437,5.269672,4.3480545
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.817443,7.786363,6.301903
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.229396,7.479883,5.8546395
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.482542,6.5871,5.034821
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.860472,7.337679,6.0990755
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.579394,7.883877,5.7316355
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.713281,6.805276,5.2592785
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.199248,7.477732,5.83849
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.480587,3.653062,3.5668245
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.105332,5.411836,4.258584
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.073963,4.502265,3.788114
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.951335,3.849327,3.400331
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.327808,6.368715,5.3482615
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.750851,6.503092,5.1269715
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.537901,6.265586,5.4017435
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.666011,5.944196,5.3051035
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.073963,3.537531,3.305747
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.540169,6.438087,5.489128
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.868246,8.6565,7.762373
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.005334,7.86622,7.435777
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.518902,7.17909,5.848996
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.070883,7.37151,6.7211965
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.668701,4.922337,4.295519
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.126362,5.581872,4.854117
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.257261,6.268648,5.7629545
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.138276,7.195367,6.1668215
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.758047,7.761646,6.7598465
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.571168,8.270447,7.4208075
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.434426,6.677579,6.0560025
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.557175,5.93525,5.2462125
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.510308,8.195202,7.352755
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.903475,9.228419,8.065947
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.091587,7.50404,6.7978135
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.759154,7.033561,6.3963575
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.015549,6.557271,5.78641
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.641685,8.192297,7.416991
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.151287,8.2547,7.7029935
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.532363,6.054503,5.293433
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.999367,7.564684,6.2820255
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.065207,6.964015,6.014611
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.007892,8.631864,7.819878
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.657487,8.463583,7.560535
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.091705,7.713011,6.902358
