"","sample","tissue","endometriosis","severity","p223112_s_at","p228301_x_at","NDUFB10"
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.438056,10.249049,11.3435525
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.905442,11.01641,11.960926
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.842023,11.085419,11.963721
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.556962,9.651483,10.6042225
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.621578,10.571811,11.5966945
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.893617,11.105783,11.9997
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.78084,10.908185,11.8445125
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.944571,10.7531,11.8488355
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.522924,10.256808,11.389866
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.105805,9.777624,10.9417145
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.269415,10.277657,11.273536
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.802602,10.022616,10.912609
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.547666,10.557605,11.5526355
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.06186,9.889629,10.9757445
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.780988,9.325664,10.553326
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.609783,10.402709,11.506246
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.563452,10.372069,11.4677605
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.134719,9.706076,10.9203975
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.975775,9.904816,10.9402955
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.954705,9.535101,10.744903
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.030917,9.61973,10.8253235
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.212547,9.888782,11.0506645
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.594749,10.435578,11.5151635
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.331826,9.313584,10.322705
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.403608,9.382703,10.3931555
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.933669,8.798002,9.8658355
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.680085,8.688479,9.684282
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.13387,9.232931,10.1834005
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.042367,8.843837,9.943102
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.193701,9.11386,10.1537805
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.222614,9.152016,10.187315
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.981045,9.043107,10.012076
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.233244,9.241506,10.237375
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.572951,9.222685,10.397818
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.137531,9.22978,10.1836555
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.058108,9.492498,10.275303
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.556596,9.564287,10.5604415
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.5284,9.450657,10.4895285
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.525537,9.51748,10.5215085
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.434567,9.363553,10.39906
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.570429,10.2324,11.4014145
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.231733,10.036403,11.134068
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.536828,10.600164,11.568496
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.515158,10.137794,11.326476
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.308615,10.12503,11.2168225
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.700236,10.48171,11.590973
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.338394,10.252084,11.295239
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.179585,10.425864,11.3027245
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.250297,10.352677,11.301487
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.413334,9.512896,10.463115
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.078766,10.029126,11.053946
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.597071,9.811715,10.704393
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.308303,10.086636,11.1974695
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.863069,9.737983,10.800526
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.255014,10.691397,11.4732055
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.342062,10.750536,11.046299
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.352817,10.185367,11.269092
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.388263,9.290148,10.3392055
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.821602,9.931457,10.8765295
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.352429,10.540673,11.446551
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.937221,9.988254,10.9627375
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.524565,9.593774,10.5591695
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.503419,10.555564,11.5294915
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.673865,9.392468,10.5331665
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.0152,10.078038,11.046619
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.2962,9.298107,10.2971535
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.172842,10.455959,11.3144005
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.303223,10.083769,11.193496
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.988939,9.663337,10.826138
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.288853,8.222857,9.255855
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.352059,8.620752,9.4864055
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.955289,8.345602,9.1504455
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.488337,8.422073,9.455205
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.504199,8.535833,9.520016
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.671919,8.620414,9.6461665
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.715398,9.124235,9.9198165
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.964869,8.546068,9.2554685
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.265018,8.341029,9.3030235
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.385358,8.422073,9.4037155
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.588506,8.600059,9.5942825
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.250213,8.376758,9.3134855
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.290312,8.496287,9.3932995
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.972252,8.113248,9.04275
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.203804,8.397809,9.3008065
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.557858,8.385708,9.471783
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.053094,8.201547,9.1273205
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.794485,8.028405,8.911445
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.774228,9.037635,9.9059315
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.490589,8.450252,9.4704205
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.623314,8.696649,9.6599815
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.713856,8.571877,9.6428665
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.097002,8.395896,9.246449
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.37606,8.360116,9.368088
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.348498,7.893611,8.6210545
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.558194,8.426269,9.4922315
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.058413,8.248765,9.153589
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.775366,8.560379,9.6678725
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.447205,8.422073,9.434639
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.485867,8.061296,8.7735815
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.512003,8.735343,9.623673
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.304634,8.208224,9.256429
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.838028,8.600103,9.7190655
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.600977,8.779464,9.6902205
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.888875,8.952467,9.920671
