"","sample","tissue","endometriosis","severity","p219858_s_at","p225325_at","MFSD6"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.508307,11.126863,9.817585
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,6.147811,4.5715075
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.913003,4.591681,3.752342
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.996201,10.734706,8.3654535
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.516334,4.781977,3.6491555
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,6.415319,4.7052615
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.656097,4.446082
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.655116,3.9455915
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.978196,6.32789,4.653043
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.472657,7.930766,5.2017115
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.978196,5.681893,4.3300445
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.978196,5.120533,4.0493645
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.939851,3.087959
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.992474,6.840954,4.916714
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.978196,7.381967,5.1800815
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.978196,7.142733,5.0604645
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,7.385401,5.1903025
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.953642,4.52577,3.739706
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.834259,4.035163
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.977924,5.438941,4.2084325
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.86029,6.100149,4.4802195
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.902072,10.46214,7.682106
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.352986,6.297955,4.3254705
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.092109,7.918956,5.5055325
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.995408,8.509829,5.7526185
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.41904,10.605782,7.512411
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.569173,9.77873,7.6739515
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,7.452283,5.2237435
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,7.372921,5.1840625
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,8.11986,5.557532
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.804522,10.476334,8.140428
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,6.748917,4.8720605
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.24387,6.495232,4.369551
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.451358,7.81253,6.131944
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.173423,8.795775,7.484599
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.182319,8.217624,6.6999715
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.884303,8.560672,7.2224875
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.071383,10.51741,9.2943965
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.562081,8.631826,7.0969535
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.971349,7.433408,6.2023785
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.055726,10.485042,9.270384
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.234393,9.588599,7.911496
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.935507,8.123046,7.0292765
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.459402,8.981284,8.220343
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.067449,8.272358,6.6699035
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.625824,10.50468,9.065252
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.339686,8.203421,6.7715535
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.747458,8.001627,6.8745425
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,6.208183,4.6016935
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.509237,10.596675,8.552956
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,7.034992,5.006594
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,6.901723,4.9484635
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,6.063336,4.52927
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.402006,6.572906,4.487456
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,6.781738,4.5089025
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,5.659046,4.327125
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.046886,10.313341,8.1801135
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,5.779206,4.378701
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,6.268916,4.623556
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,8.187079,5.5911415
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,7.877908,5.436556
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.70691,6.876616,4.791763
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.942584,6.498871,4.7207275
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,7.342812,5.160504
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,6.868345,4.9317745
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,8.40829,5.693243
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,7.497522,5.246363
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.794717,6.583339,4.689028
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.984821,7.580497,5.282659
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,5.67904,4.328618
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.104109,8.636908,5.8705085
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,7.005074,5.000139
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,5.510304,4.24425
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.978196,6.09392,4.536058
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,7.173176,4.7046215
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.804734,6.394165,4.5994495
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.676112,6.23773,4.456921
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.696408,10.334773,8.5155905
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.424447,10.566034,7.9952405
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.88857,7.359555,6.1240625
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.511186,9.483702,7.997444
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.688012,7.766855,5.7274335
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.248448,7.609767,5.9291075
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.010587,7.07589,5.0432385
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.428396,6.782971,5.1056835
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.995204,6.485908,4.740556
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.126061,8.627015,5.876538
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,7.179119,5.0871615
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.238979,8.906401,7.57269
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.748558,11.764277,9.7564175
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.620622,7.272235,5.4464285
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.49947,9.893548,8.696509
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.789827,8.02092,5.9053735
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.542088,8.537039,6.5395635
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.005348,7.260545,5.1329465
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.663139,8.453859,6.058499
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.188512,7.848498,5.518505
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.776583,9.368614,8.5725985
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.990182,7.515706,6.752944
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.535492,7.225737,5.8806145
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.294484,10.741417,9.0179505
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.246606,7.465824,5.856215
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.285431,11.224283,9.754857
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.650532,8.623229,6.6368805
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.835574,8.278509,7.0570415
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.723317,9.984939,8.354128
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.980294,7.423134,5.701714
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.995204,7.435305,5.2152545
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.055433,7.89205,5.4737415
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.972252,7.347021,5.6596365
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.078926,8.153467,6.6161965
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.033769,6.882074,4.9579215
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.211292,7.600251,5.9057715
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.276322,7.699521,6.4879215
