"","sample","tissue","endometriosis","severity","p212438_at","p212440_at","SNRNP27"
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.759783,9.282023,9.020903
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.46307,9.033052,8.748061
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.787015,7.947619,7.867317
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.420146,8.997245,8.2086955
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.951732,9.118437,9.0350845
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.217923,9.57653,9.3972265
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.527504,9.194375,8.8609395
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.014125,8.052738,8.0334315
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.979004,9.556042,9.267523
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.938746,9.184581,9.0616635
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.881188,9.414331,9.1477595
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.185266,8.538879,8.3620725
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.864959,9.086803,8.975881
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.737028,9.374005,9.0555165
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.2925,7.246185,7.7693425
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.199579,9.764256,9.4819175
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.50273,9.854637,9.6786835
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.689351,8.50679,9.0980705
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.001011,8.696116,8.8485635
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.589703,8.186452,8.3880775
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.086187,8.357979,8.722083
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.891981,7.912485,8.402233
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.112149,7.967915,8.040032
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.555174,7.707216,7.631195
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.362631,9.406641,9.384636
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.246608,9.078352,9.16248
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.531728,9.86362,9.697674
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.623608,9.689381,9.6564945
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.472333,9.39948,9.4359065
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.926518,10.144084,10.035301
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.255437,9.097694,9.1765655
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.478709,9.409056,9.4438825
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.436065,9.738143,9.587104
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.308695,9.078401,9.193548
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.538798,9.557474,9.548136
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.090001,9.827024,9.9585125
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.607535,9.613419,9.610477
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.502103,9.818381,9.660242
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.542653,9.913705,9.728179
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.626932,9.77652,9.701726
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.594098,9.571543,9.5828205
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.535943,9.308805,9.422374
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.655188,9.838961,9.7470745
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.752652,9.766005,9.7593285
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.750697,9.631199,9.690948
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.515496,9.478595,9.4970455
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.069173,9.862871,9.966022
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.682071,9.586803,9.634437
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.663141,9.863182,9.7631615
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.917332,9.752788,9.83506
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.711873,9.544326,9.6280995
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.573042,9.656082,9.614562
