"","sample","tissue","endometriosis","severity","p208089_s_at","p214028_x_at","TDRD3"
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.71203,6.240871,5.9764505
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.792241,6.237857,6.015049
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.094268,6.240043,5.6671555
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.034208,5.771924,5.403066
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.893088,6.237857,5.5654725
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.497389,6.234795,5.866092
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.920809,6.420814,6.1708115
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.663538,6.344835,6.5041865
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.466426,6.2209,5.343663
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.145234,6.234795,5.6900145
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.965891,7.336407,7.151149
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.376519,7.177179,7.276849
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.316354,7.336108,7.326231
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.558749,7.371362,7.4650555
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.198694,7.554177,7.3764355
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.248902,7.314801,7.2818515
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.021787,7.18152,7.1016535
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.089311,7.181977,7.135644
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.179274,7.21022,7.194747
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.313498,6.964799,7.1391485
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.944455,6.592894,6.7686745
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.657445,6.922464,7.2899545
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.040268,7.145759,7.0930135
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.461607,6.755103,7.108355
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.312153,6.979831,7.145992
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.848264,6.081796,5.46503
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.95328,6.550641,6.2519605
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.339087,6.386422,6.3627545
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.826477,5.497037,5.161757
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.0718,5.801798,4.936799
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.06193,5.518059,4.7899945
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.488549,6.222186,5.8553675
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.316154,5.922888,5.119521
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.103595,5.8886,4.9960975
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.859103,6.237857,4.54848
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.103595,5.330441,4.717018
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.224383,6.2209,5.2226415
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.797213,6.140933,4.969073
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.673352,6.040791,5.3570715
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.565016,6.232524,5.39877
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.98112,5.969486,4.975303
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.321521,6.596555,4.959038
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.912591,6.2209,5.0667455
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.207585,6.231222,5.7194035
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.492501,6.234795,5.863648
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.103595,6.400049,5.251822
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.496931,5.368623,4.432777
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.464462,5.835875,5.1501685
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.355053,6.156703,5.255878
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.730852,6.13895,5.434901
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.496931,5.396597,4.446764
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.996598,6.2209,5.608749
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.06684,5.729235,4.8980375
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.665618,6.2209,5.443259
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.630437,6.222186,5.4263115
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.004526,6.237857,6.1211915
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.469156,6.222186,6.345671
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.45004,6.2209,5.83547
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.657664,6.247626,5.452645
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.046456,6.222186,6.134321
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.432449,6.237857,5.835153
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.89384,6.234795,5.5643175
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.872048,6.363451,6.1177495
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.315397,8.415918,7.8656575
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.938231,7.768446,7.3533385
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.116227,7.835286,7.4757565
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.799772,7.595083,7.1974275
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.077876,7.656105,7.3669905
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.925189,7.603316,7.2642525
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.606253,6.967168,6.7867105
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.478602,7.378804,6.928703
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.298502,6.765214,6.531858
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.095674,7.861347,7.4785105
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.240819,6.716833,6.478826
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.284368,7.202959,7.2436635
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.280696,7.627312,7.454004
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.353596,7.531126,7.442361
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.197472,7.665374,7.431423
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.16464,7.426346,7.295493
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.996405,7.258738,7.1275715
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.201643,7.462764,7.3322035
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.338783,6.624223,6.481503
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.861343,7.353231,7.107287
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.725742,7.188954,6.957348
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.014239,7.440772,7.2275055
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.875485,6.234795,6.05514
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.87921,7.673506,7.276358
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.493368,6.87782,6.685594
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.886891,7.372653,7.129772
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.042334,7.157678,7.100006
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.067379,7.478193,7.272786
