"","sample","tissue","endometriosis","severity","p204577_s_at","p204576_s_at","CLUAP1"
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.892044,6.028454,4.960249
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.495865,8.099151,6.797508
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.689383,6.93363,5.8115065
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.507074,6.237839,5.3724565
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.91866,6.598893,5.7587765
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.722,6.690536,5.706268
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.741683,6.331771,5.036727
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.218554,6.421103,5.3198285
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.689309,7.438685,6.063997
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.905759,7.601638,6.7536985
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.167894,7.787834,6.977864
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.601128,8.935351,7.2682395
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.359725,7.78953,6.5746275
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.86777,8.18682,7.027295
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.177654,8.401305,7.2894795
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.822934,7.974337,6.3986355
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.650991,7.802917,6.226954
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.344944,8.428839,6.8868915
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.384788,8.232432,6.80861
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.446646,9.058083,7.2523645
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.957039,9.076811,8.016925
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.874601,7.361288,6.6179445
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.932558,8.349811,7.1411845
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.254222,9.300952,8.277587
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.243968,9.465661,8.8548145
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.25725,9.330036,8.293643
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.997244,9.496997,8.7471205
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.863238,9.266871,8.5650545
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.18701,9.204709,9.1958595
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.466107,9.422704,8.4444055
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.706933,9.427786,8.5673595
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.083544,8.941933,8.0127385
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.653307,9.239024,8.9461655
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.279444,8.805809,8.0426265
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.569197,9.323754,8.4464755
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.587072,7.579754,8.083413
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.072365,9.306105,9.189235
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.159071,9.632557,8.395814
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.922544,8.307288,6.614916
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.038551,8.440119,6.739335
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.861454,9.08878,7.475117
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.45669,7.165673,6.3111815
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.800476,7.211176,6.505826
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.401224,6.791679,6.0964515
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.762859,8.557326,7.1600925
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.779121,7.994205,6.886663
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.71596,7.836926,6.776443
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.599295,6.838537,6.218916
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.81803,7.107256,5.962643
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.932558,7.799232,6.865895
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.892044,7.34646,5.619252
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.246023,7.881581,6.563802
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.122816,7.036753,6.0797845
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.932558,7.216882,6.57472
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.932558,7.503371,6.7179645
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.761071,7.917941,6.839506
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.610945,7.896029,7.253487
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.041337,8.541314,7.2913255
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.118208,7.852439,6.4853235
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.598921,7.230717,5.914819
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.919457,7.402935,6.661196
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.365491,6.838044,6.6017675
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.835965,8.998658,7.4173115
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.223313,6.794595,6.008954
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.981605,8.720435,7.35102
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.897684,8.171928,7.034806
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.954218,7.718037,6.8361275
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.73512,8.218578,6.976849
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.871055,7.943583,7.407319
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.230828,6.427467,6.8291475
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.932558,6.962778,6.447668
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.932558,7.606672,6.769615
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.859593,7.358784,6.6091885
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.477108,8.142863,7.8099855
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.224524,7.319063,6.7717935
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.932558,8.487023,7.2097905
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.900501,8.28565,7.5930755
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.920399,8.823137,8.371768
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.736003,9.168009,8.452006
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.760559,8.183359,7.471959
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.26314,8.389189,7.8261645
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.896754,8.378132,7.637443
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.479426,8.740469,8.1099475
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.324277,8.087863,7.70607
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.413209,8.335139,7.874174
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.925754,8.555518,8.240636
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.571328,7.712237,7.1417825
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.381,9.303858,8.342429
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.54742,9.344858,8.446139
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.86087,9.188984,8.524927
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.349165,8.119492,7.7343285
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.608553,8.630456,8.1195045
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.431883,8.247893,7.839888
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.815855,8.501994,8.1589245
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.112111,8.370396,8.2412535
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.030354,8.371347,7.7008505
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.337286,9.475593,8.4064395
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.748797,8.65056,8.1996785
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.37529,7.205351,6.7903205
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.979829,9.528016,8.2539225
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.967131,8.411903,8.189517
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.554872,9.711633,8.6332525
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.12429,9.586582,8.355436
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.278782,9.382211,8.3304965
