"","sample","tissue","endometriosis","severity","p200039_s_at","p201404_x_at","PSMB2"
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.695817,7.606205,9.651011
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.149126,6.23501,8.692068
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.358377,7.237154,8.7977655
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.29755,7.738438,9.517994
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.838438,6.859078,9.348758
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.753334,7.040855,9.3970945
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.641686,7.181305,8.9114955
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.517012,7.454191,9.4856015
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.263199,7.206321,9.23476
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.508805,6.762129,9.135467
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.706088,6.887037,9.2965625
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.00684,7.406764,9.206802
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.163928,7.097187,9.1305575
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.567823,6.763254,9.1655385
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.01557,6.348458,8.682014
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.309667,6.787725,9.048696
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.016334,6.761754,8.889044
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.328443,7.506991,9.417717
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.204635,7.124062,9.1643485
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.3567,6.571199,8.9639495
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.230862,7.19815,9.214506
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.232812,6.443902,8.838357
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.077944,5.592678,8.335311
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.942792,6.550267,8.7465295
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.969147,6.568324,8.7687355
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.832002,6.660964,9.246483
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.916921,7.755614,9.3362675
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.729301,6.819832,8.7745665
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.425953,6.820539,8.623246
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.462259,6.089348,8.2758035
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.264198,6.512242,8.38822
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.297399,5.823036,8.0602175
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.661506,5.877413,8.2694595
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.560166,6.055245,8.3077055
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.459701,6.519986,8.4898435
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.715152,7.485934,9.100543
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.793118,6.316487,8.5548025
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.89633,6.288927,8.5926285
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.601928,6.079561,8.3407445
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.019105,7.277016,9.1480605
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.806153,6.55404,8.6800965
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.077247,7.046516,9.0618815
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.615007,6.318792,8.4668995
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.415282,6.693325,9.0543035
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.309231,7.184562,9.2468965
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.227699,7.144959,9.186329
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.485871,7.169641,9.327756
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.543299,6.776686,9.1599925
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.437248,7.720588,9.578918
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.331892,7.035231,9.1835615
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.901036,6.762129,8.8315825
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.627863,6.912583,9.270223
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.769258,6.684865,8.7270615
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.892675,7.44409,9.1683825
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.321347,6.975544,9.1484455
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.285126,6.766124,9.025625
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.950077,7.197567,9.073822
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.564422,6.762129,8.6632755
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.027704,7.167224,9.097464
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.306501,7.230959,9.26873
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.989755,7.022287,9.006021
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.025137,7.029365,9.027251
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.427496,6.980744,9.20412
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.045799,7.03286,9.0393295
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.035329,6.737283,8.886306
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.506988,6.924707,9.2158475
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.03609,6.768058,8.902074
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.351472,7.193991,9.2727315
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.526537,6.762129,9.144333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.565797,5.931264,8.7485305
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.7695,7.211337,8.9904185
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.448867,6.848226,9.1485465
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.463796,6.998942,8.231369
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.568983,7.276459,8.422721
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.798392,6.99483,8.396611
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.98634,6.762129,8.3742345
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.069531,8.360458,9.2149945
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.033604,8.074772,9.054188
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.580441,6.305345,8.442893
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.494476,5.96883,7.731653
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.980246,6.432317,8.2062815
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.160687,6.059641,8.110164
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.284972,6.103904,8.194438
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.106468,6.395889,8.2511785
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.088907,6.170091,8.129499
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.078311,6.120098,8.0992045
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.020935,6.383552,8.2022435
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.448417,6.682548,8.5654825
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.668063,5.704533,7.686298
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.220443,6.585969,8.403206
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.45226,6.110224,8.281242
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.074757,5.830449,7.952603
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.194376,5.730156,7.962266
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.745896,6.120756,7.933326
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.181941,5.81151,7.9967255
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.149137,6.251347,8.200242
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.660827,5.934997,7.797912
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.334598,5.802763,8.0686805
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.959327,6.762129,8.360728
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.790596,6.341443,8.5660195
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.32148,5.936225,8.1288525
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.879066,5.863813,7.8714395
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.389027,6.217268,8.3031475
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.389884,6.595814,8.492849
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.622907,6.040394,8.3316505
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.623335,6.182272,8.4028035
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.735883,6.023248,8.3795655
