"","sample","tissue","endometriosis","severity","p218084_x_at","p224252_s_at","FXYD5"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.177646,10.347352,10.762499
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.300032,10.577924,10.938978
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.486137,8.884525,9.185331
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.938978,11.078259,11.5086185
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.764983,10.065289,10.415136
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.9536,10.267596,10.610598
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.231365,11.423036,11.8272005
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.221815,9.562154,9.8919845
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.043348,10.264961,10.6541545
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.863419,10.061586,10.4625025
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.634746,9.802206,10.218476
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.767324,9.889133,10.3282285
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.205802,10.434326,10.820064
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.537655,11.706101,12.121878
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.419053,10.484489,10.951771
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.2281,8.360673,8.7943865
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.158779,9.38122,9.7699995
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.030664,8.639824,8.835244
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.778572,9.918493,10.3485325
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.133195,10.385542,10.7593685
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.999546,10.25407,10.626808
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.558747,8.927202,9.2429745
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.83984,10.056364,10.448102
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.251189,11.498639,11.874914
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.823804,10.043564,10.433684
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.722489,9.865123,10.293806
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.274319,7.673128,7.9737235
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.906008,9.142603,9.5243055
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.666393,9.740055,10.203224
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.784761,6.140572,6.4626665
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.486232,6.71724,7.101736
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.659629,5.742513,6.201071
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.272516,7.730456,8.001486
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.8862,7.12023,7.503215
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.772365,7.065713,7.419039
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.300459,6.4437,6.8720795
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.329475,6.264947,6.797211
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.260741,7.46612,7.8634305
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.144363,6.08074,6.6125515
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.681335,8.012367,8.346851
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.455099,7.725394,8.0902465
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.201934,6.458179,6.8300565
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.732049,6.787531,7.25979
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.367875,6.481469,6.924672
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.221579,11.277476,11.7495275
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.227267,8.559755,8.893511
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.122285,9.382622,9.7524535
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.763017,11.008647,11.385832
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.436858,10.565097,11.0009775
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.332325,11.575598,11.9539615
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.352867,9.552585,9.952726
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.200732,9.386793,9.7937625
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.394933,8.527479,8.961206
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.217069,9.427176,9.8221225
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.845037,11.204174,11.5246055
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.936103,9.261561,9.598832
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.731473,10.063355,10.397414
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.558415,9.937265,10.24784
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.921212,11.233178,11.577195
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.9884,10.260766,10.624583
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.861052,9.464039,9.6625455
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.377523,9.332178,9.3548505
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.645993,8.824141,9.235067
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.470398,7.707818,8.089108
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.481456,10.967767,11.2246115
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.754779,10.019518,10.3871485
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.355206,9.588811,9.9720085
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.62689,9.960673,10.2937815
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.303475,9.404134,9.8538045
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.339133,9.701527,10.02033
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.476669,8.774819,9.125744
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.222835,9.504321,9.863578
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.272341,9.634565,9.953453
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.522064,8.921053,9.2215585
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.42786,8.553156,8.990508
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.978652,8.280861,8.6297565
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.905824,4.984345,5.4450845
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.031039,7.523231,8.277135
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.385502,7.986545,8.6860235
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.830968,5.279982,6.055475
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.913494,6.082711,6.4981025
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.073818,6.955092,7.514455
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.609559,7.174633,7.392096
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.105686,9.455362,9.780524
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.521505,5.353598,5.4375515
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.537014,4.49856,5.517787
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.663491,7.00732,7.3354055
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.714792,5.606735,6.1607635
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.311254,7.500031,7.9056425
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.690255,7.945523,8.317889
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.401443,8.551713,8.976578
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.875453,6.124321,6.499887
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.312653,8.732346,9.0224995
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.985697,4.95621,5.4709535
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.833724,5.394674,6.114199
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.314901,6.346543,6.330722
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.738902,5.881005,6.3099535
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.459211,8.707145,9.083178
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.800726,5.571425,6.1860755
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.584967,6.647898,7.1164325
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.49959,8.72254,9.111065
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.045423,5.240406,5.6429145
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.486058,6.013995,6.2500265
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.038476,5.940809,6.4896425
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.99491,9.369604,9.682257
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.689008,6.307344,6.498176
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.932089,8.277592,8.6048405
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.991382,6.653884,6.822633
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.495875,5.469301,5.982588
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.397368,4.909145,5.6532565
