"","sample","tissue","endometriosis","severity","p207165_at","p209709_s_at","HMMR"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.290363,2.859157,4.57476
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.359576,4.793808,6.076692
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.497938,2.472131,2.9850345
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.156002,2.688913,4.4224575
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.010831,5.170024,6.5904275
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.59711,2.288045,3.4425775
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.800815,2.682881,4.741848
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.842288,2.899941,4.3711145
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.37978,2.861169,5.1204745
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.715953,2.257603,2.986778
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.306696,2.657195,4.9819455
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.747872,2.257603,2.5027375
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.767783,2.257603,3.512693
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.164495,2.236189,3.700342
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.414062,2.257603,3.8358325
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.398137,4.827145,6.612641
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.623932,3.021058,4.822495
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.54146,2.257603,2.3995315
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.444627,2.417291,2.930959
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.755217,3.030634,5.3929255
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.983852,2.861169,5.4225105
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.79216,2.688913,3.7405365
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.86714,2.378041,3.6225905
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.168342,3.29223,4.730286
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.76938,3.83394,5.80166
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.005009,6.415346,7.7101775
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.369423,2.378733,3.874078
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.439775,2.93307,4.1864225
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.302788,5.918663,6.6107255
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.164266,3.750889,5.4575775
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.408359,2.861169,4.134764
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.356098,4.853958,6.105028
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.408359,2.431124,3.9197415
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.093251,2.248434,3.1708425
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.179004,7.844117,8.5115605
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.458036,2.688913,4.0734745
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.641713,5.332297,6.487005
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.871762,8.11611,8.993936
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.150973,6.962632,8.0568025
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.579038,6.733213,7.6561255
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.039348,3.11743,4.578389
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.743694,3.898255,5.3209745
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.579869,6.900505,7.740187
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.248247,7.497749,8.372998
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.603766,8.036519,8.8201425
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.40769,2.688913,4.0483015
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.028893,6.328026,7.1784595
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.408359,2.841042,4.1247005
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.153894,4.776894,5.965394
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.709407,2.417291,4.063349
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.726037,8.238166,8.9821015
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.460526,7.627651,8.5440885
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.720352,2.38183,4.051091
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.616946,2.508573,4.0627595
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.395026,6.587607,7.4913165
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.367381,2.688913,4.028147
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.619999,2.861169,4.740584
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.325119,2.861169,4.593144
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.150912,7.447948,8.29943
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.407342,4.563046,5.985194
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.248202,2.261217,3.2547095
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.987654,2.257603,4.1226285
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.244586,2.417291,2.3309385
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.032525,2.417291,3.724908
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.798804,2.304727,3.5517655
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.760613,2.257603,4.009108
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.906469,2.861169,4.883819
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.358843,2.417291,3.888067
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.621881,2.417291,5.519586
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.942594,2.688913,5.8157535
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.876673,5.262633,6.569653
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.715732,6.850235,7.7829835
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.548179,2.479686,4.5139325
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.80004,2.861169,5.3306045
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.034478,2.257603,3.6460405
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.533665,2.339015,3.93634
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.796733,3.549504,5.1731185
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.868114,2.236067,2.5520905
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.37513,6.140961,7.2580455
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.3263,2.596103,3.9612015
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.664477,4.737909,5.701193
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.729333,2.485664,4.1074985
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.025372,5.47152,6.748446
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.076526,2.417291,3.2469085
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.244586,2.688913,2.4667495
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.326923,2.688913,3.007918
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.123928,2.688913,2.9064205
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.338733,5.90301,7.1208715
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.527808,3.255303,4.8915555
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.839223,6.244087,7.541655
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.417787,2.257603,2.837695
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.082029,2.25686,2.6694445
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.437166,6.115269,7.2762175
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.409202,2.811055,4.1101285
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.283705,2.417291,3.850498
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.49791,2.417291,3.9576005
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.274126,2.660186,3.967156
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.408359,2.841825,4.125092
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.280643,3.093973,4.687308
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.30368,4.61672,5.9602
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.594059,2.236067,2.415063
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.12113,7.510724,8.315927
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.247191,5.048605,6.147898
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.101774,6.145237,7.1235055
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.054413,6.993955,8.024184
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.589985,2.861169,4.725577
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.558138,2.72317,4.140654
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.894119,4.375702,5.6349105
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.011338,3.399482,4.70541
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.283705,2.539938,3.9118215
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.926002,6.648295,7.7871485
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.834167,6.819405,7.826786
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.244586,2.257603,2.2510945
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.525958,6.517829,7.5218935
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.919293,2.261435,3.590364
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.098457,7.235237,8.166847
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.916877,6.925225,7.921051
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.741667,6.810978,7.7763225
