"","sample","tissue","endometriosis","severity","p203431_s_at","p210791_s_at","p229648_at","ARHGAP32"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.823381,3.154855,5.881223,4.61981966666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.53318,4.435913,5.306022,5.091705
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.149969,4.444016,6.432671,6.00888533333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.892456,4.435913,5.128951,5.48577333333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.643338,4.402243,5.456386,4.833989
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.941117,4.304987,5.67486,5.64032133333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.889203,3.846529,4.422538,4.38609
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.336795,4.123516,5.636814,5.032375
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.273015,3.024457,3.950439,4.082637
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.703072,4.435913,5.114282,5.08442233333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.890385,4.435913,4.641217,4.98917166666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.149779,4.435913,5.980128,5.18860666666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.652012,4.708039,5.372789,5.24428
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.387582,3.759202,3.665186,3.93732333333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.61423,4.282666,5.439538,5.11214466666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.469394,3.774633,4.026763,4.75693
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.504931,4.435913,4.635219,5.192021
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.946873,5.891016,8.421743,7.75321066666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.45135,4.435913,5.407419,5.43156066666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.116023,4.197066,5.434334,5.58247433333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.002137,4.710107,6.141473,5.951239
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.767679,4.644173,5.906095,6.10598233333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.415873,5.957504,5.499904,6.29109366666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.633378,3.41139,4.428565,4.82444433333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.608188,5.244448,6.168062,6.34023266666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.909016,5.732958,7.063335,6.90176966666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.527065,6.009179,7.72965,7.42196466666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.346662,4.435913,4.824704,5.53575966666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.660717,4.435913,4.991004,5.36254466666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.3772,4.863129,6.538541,5.92629
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.369109,5.648417,7.634578,6.88403466666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.079978,6.252584,7.419686,6.917416
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.938561,5.694252,7.515815,6.71620933333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.342109,6.302119,7.457098,7.03377533333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.359094,6.534876,8.362049,7.418673
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.086737,6.035578,7.458196,6.86017033333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.812813,6.630163,8.528314,7.65709666666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.281834,6.297157,7.700909,7.0933
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.108326,5.007197,6.74645,6.28732433333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.42813,5.597767,7.211436,6.41244433333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.259438,6.202937,7.75319,7.071855
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.550537,6.542705,8.171816,7.421686
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.946294,5.336995,7.370806,6.551365
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.366353,5.157274,7.739963,6.42119666666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.272481,4.112544,4.635219,5.006748
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.248876,6.500144,7.252418,7.33381266666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.060914,4.165954,6.608924,5.945264
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.404254,4.435913,4.411416,4.75052766666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.470253,4.435913,5.598482,5.168216
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.660846,4.435913,4.316776,4.80451166666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.0471,4.470381,6.370155,5.96254533333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.376423,4.440856,3.699412,4.838897
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.985578,5.272578,5.891262,6.38313933333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.218586,4.435913,5.843551,4.83268333333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.271248,4.435913,4.664354,5.12383833333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.069649,4.212681,6.235591,5.839307
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.951901,4.435913,4.635219,5.00767766666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.241508,4.435913,6.203395,5.960272
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.673782,3.826049,5.18146,4.89376366666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.720349,4.435913,5.752885,5.63638233333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.065432,4.486058,6.80643,6.11930666666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.642087,4.435913,5.722458,5.933486
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.264605,4.734993,6.376335,6.125311
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.184698,4.344666,6.3553,5.96155466666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.491366,4.436056,5.205862,5.37776133333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.465209,4.433807,4.084352,4.66112266666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.238562,5.411554,6.327405,6.32584033333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.002297,4.435913,5.95725,5.79848666666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.046369,3.867693,4.111869,5.00864366666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.269702,5.397979,5.343946,5.67054233333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.740519,4.394442,6.164801,6.09992066666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621454,4.435913,4.800075,5.285814
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.644638,4.403123,5.568389,5.20538333333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.171017,6.551646,6.213891,6.97885133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.685457,5.139085,7.54973,7.12475733333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.036912,4.435913,5.189506,4.220777
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.655105,4.435913,5.579739,4.556919
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.782498,4.112544,5.829744,4.57492866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.807955,4.112544,4.81705,3.91251633333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.803312,4.435913,5.487492,4.57557233333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.412231,4.112544,4.411416,3.97873033333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.345447,4.112544,5.66861,4.37553366666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.91995,5.193351,7.292404,6.80190166666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.242033,4.721582,7.860824,6.94147966666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.722016,6.822976,7.983728,7.84290666666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.09608,5.417917,7.48052,6.99817233333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.815525,5.276084,7.835645,6.97575133333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.173842,6.551489,8.40791,7.71108033333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.326239,5.686006,7.840406,7.284217
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.682277,5.280797,7.329765,6.76427966666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.784976,4.537862,4.635219,5.31935233333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.842728,4.631867,7.099256,6.524617
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.74823,6.344826,7.641946,7.24500066666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.089466,6.561582,8.670702,7.77391666666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.02092,6.664276,8.06909,7.584762
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.88673,6.564322,7.884921,7.44532433333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.692979,6.919298,8.349785,7.987354
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.079605,6.335123,7.984256,7.466328
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.840226,6.172337,7.64245,7.21833766666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.211269,6.091757,8.164751,7.489259
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.741836,5.735988,6.746021,6.40794833333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.34654,6.538338,8.066358,7.650412
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.44487,5.274105,7.399234,6.70606966666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.652432,5.138141,7.799656,6.86340966666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.993262,5.764439,6.406964,6.38822166666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.017818,6.682772,7.702038,7.46754266666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.182709,4.673603,6.607213,6.15450833333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.754361,6.038565,7.635977,7.14296766666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.751265,6.037164,8.126931,7.30512
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.558153,6.362743,7.937582,7.28615933333333
