"","sample","tissue","endometriosis","severity","p227674_at","p229794_at","ZNF585A"
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.067474,3.474443,3.7709585
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.571863,3.646022,3.6089425
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.823786,3.462772,4.143279
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.896818,3.312404,3.604611
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.44935,3.378147,4.4137485
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.116492,3.847769,3.9821305
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.571863,3.474443,3.523153
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.236258,3.356924,3.296591
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.286259,3.430262,3.3582605
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.559793,3.467052,4.0134225
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.70791,4.191069,4.4494895
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.436712,3.801559,3.1191355
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.483469,3.358983,3.421226
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.111643,3.474443,3.293043
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.111643,3.150734,3.1311885
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.168745,3.70811,3.4384275
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.96968,3.377513,3.6735965
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.023795,3.430262,3.2270285
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.192072,4.963406,4.577739
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.05571,4.68366,4.869685
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.770115,4.512218,5.1411665
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.205637,5.087955,5.146796
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.514655,4.217866,4.3662605
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.151777,4.689285,5.420531
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.749928,4.846346,4.798137
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.507711,4.815248,4.6614795
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.936947,4.019119,4.478033
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.140141,5.761163,4.950652
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.834658,4.022263,4.4284605
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.68385,5.653181,5.6685155
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.224266,4.583464,4.903865
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.064097,5.297274,5.1806855
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.373797,5.601244,5.4875205
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.237263,5.018563,5.127913
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.107931,4.878934,4.9934325
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.240825,3.451295,3.84606
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.424957,4.241943,4.83345
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.232426,4.824753,5.0285895
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.398792,4.540783,4.4697875
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.086424,4.511172,4.298798
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.188716,4.081817,4.1352665
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.399762,4.544852,4.972307
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.55221,3.669812,4.111011
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.187009,4.984943,5.085976
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.261864,4.31809,4.789977
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.985283,5.116409,5.050846
