"","sample","tissue","endometriosis","severity","p203381_s_at","p203382_s_at","p212883_at","p212884_x_at","APOE"
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.917841,11.331133,4.990463,11.240603,9.87001
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.66786,10.292936,3.289186,10.476361,8.68158575
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.322543,10.64716,3.895588,10.532775,9.0995165
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.440888,8.275564,3.014189,9.002004,7.43316125
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.319464,9.266586,2.994179,9.961357,8.1353965
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.98167,10.82373,4.303406,11.019943,9.53218725
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.406738,7.404848,2.994179,9.261923,7.016922
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.810254,7.463336,2.994179,8.931043,7.049703
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.374367,6.93068,2.577446,8.700884,6.64584425
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.328776,9.300403,3.882252,9.965359,8.3691975
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.467952,8.127367,3.363935,9.491461,7.61267875
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.904823,8.109011,3.00348,9.284543,7.57546425
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.296575,8.09078,2.995118,9.085318,7.36694775
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.301018,8.168944,2.994179,9.02629,7.37260775
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.731551,9.690787,3.595703,10.216781,8.5587055
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.182073,8.117737,3.093151,9.153885,7.3867115
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.171654,9.9495,4.53093,10.324534,8.9941545
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.955432,9.992514,4.150573,10.41874,8.87931475
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.090967,8.856436,2.994179,9.770165,7.67793675
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.8045,7.83659,2.994179,8.790173,7.1063605
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.126471,8.004517,3.133253,8.700135,7.241094
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.377785,11.156792,3.695033,11.392337,9.65548675
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.921549,9.515965,2.994179,10.000195,8.107972
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.990668,9.784633,3.224298,10.272558,8.56803925
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.47579,11.250805,4.756903,11.42275,9.976562
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.506195,10.312606,4.001896,10.846897,8.9168985
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.962926,12.233981,3.975065,11.906183,10.26953875
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.267814,10.153282,2.994179,10.502773,8.729512
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.460357,10.438718,3.381415,10.547355,8.95696125
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.04651,8.902597,2.994179,9.499432,7.6106795
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.070477,10.744405,3.74462,11.070104,9.1574015
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.301441,11.69873,6.355203,11.7226,10.5194935
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.341609,10.621573,4.357458,10.664458,9.2462745
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.508053,11.035842,4.515391,11.133877,9.54829075
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.384982,11.238793,4.033038,11.525326,9.54553475
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.875683,12.148617,6.733638,11.898479,10.91410425
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.59915,11.219854,6.12698,11.385047,10.08275775
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.025935,10.735762,3.584612,11.113025,9.1148335
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.889779,8.865626,2.994179,10.922931,7.41812875
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.690966,10.011733,3.586939,10.216781,8.62660475
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.922261,8.969634,3.008968,9.738351,7.9098035
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.293061,11.647404,6.865288,11.824417,10.6575425
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.653936,10.152951,3.06111,10.567576,8.60889325
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.297145,9.735507,4.138262,10.244933,8.60396175
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.336591,10.048929,3.102143,10.437228,8.48122275
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.244093,10.245403,2.994179,10.364522,8.46204925
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.944528,9.675484,3.003094,10.227027,8.46253325
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.873196,9.796021,3.784161,10.216781,8.41753975
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.665571,11.314393,3.831864,11.576485,9.59707825
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.389017,9.274606,2.994179,10.013504,7.9178265
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.557298,9.9243,3.028151,10.429438,8.48479675
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.416159,9.968361,3.651752,10.091613,8.53197125
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.09321,10.222675,2.994179,10.4633,8.693341
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.725636,7.86269,2.994179,9.507627,7.522533
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.1927,9.731332,2.994179,10.497494,8.60392625
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.501509,10.245783,2.994179,10.51574,8.81430275
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.330121,7.740299,2.512782,9.247864,7.2077665
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.451902,8.173122,2.994179,9.499433,7.529659
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.051092,8.645536,2.512782,9.783209,7.74815475
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.965465,7.587733,2.994179,9.238931,6.946577
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.095347,9.324138,3.421128,10.188705,8.2573295
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.337464,7.430335,2.919309,9.0549,6.935502
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.387362,7.626577,2.994179,8.886936,6.9737635
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.247148,9.638018,3.006936,10.110144,8.2505615
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.875192,9.015307,2.994179,9.842864,7.9318855
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.776437,7.962386,2.994179,9.17001,7.225753
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.871718,8.166522,2.994179,9.08436,7.27919475
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.779208,8.971717,3.003164,9.558486,7.82814375
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.194758,7.389142,2.994179,8.673839,6.8129795
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.505591,10.666926,4.710446,10.785098,9.41701525
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.011369,6.751946,2.855596,8.036628,6.41388475
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.89772,7.757135,2.994179,9.29253,7.235391
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.873962,6.72937,2.567963,8.335843,6.3767845
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.18549,8.255321,2.994179,9.345857,7.44521175
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.314567,10.612287,3.470609,11.067558,9.11625525
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.661589,7.416014,2.994179,9.303499,7.09382025
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.942936,8.074496,2.994179,9.670158,7.42044225
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.148758,10.28153,3.156487,10.604326,8.79777525
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.209043,6.936496,2.994179,8.502743,6.66061525
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.522192,7.233863,2.994179,8.936543,6.92169425
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.474603,7.653702,2.994179,9.239177,7.09041525
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.829218,9.3588,2.994179,9.878294,8.01512275
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.707239,7.754685,2.984772,9.228977,7.16891825
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.860797,10.90405,4.368281,11.128376,9.565376
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.977575,7.406149,2.512782,9.076197,6.99317575
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.85545,7.531307,2.994179,9.375129,7.18901625
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.560778,7.245637,2.512782,8.783738,6.77573375
