"","sample","tissue","endometriosis","severity","p226047_at","p230214_at","MRVI1"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.975222,6.363847,7.1695345
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.680589,4.256658,4.9686235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.345646,7.127064,7.736355
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.725216,6.218117,7.4716665
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.69682,4.159922,5.928371
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.579125,5.521847,6.050486
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.555141,5.895893,6.225517
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.604925,6.522144,7.0635345
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.421708,4.159355,5.7905315
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.557367,4.382433,4.9699
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.557349,4.256666,5.4070075
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.29864,5.590906,6.444773
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.86054,7.166833,8.0136865
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.275733,4.964196,6.6199645
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.259839,6.579282,7.4195605
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.871376,6.993168,6.932272
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.416698,7.855958,8.636328
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.470116,4.947169,6.2086425
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.214074,7.480507,7.8472905
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.191286,4.159922,6.175604
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.208443,5.957128,6.5827855
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.51206,6.81904,8.16555
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.003276,4.199312,4.601294
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.611703,4.119548,4.8656255
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.587534,4.159922,5.373728
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.119816,4.382433,4.7511245
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.558894,4.29954,4.929217
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.647013,4.159355,5.903184
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.529226,5.536894,6.53306
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.680526,4.446907,5.0637165
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.691803,4.159922,6.9258625
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.867614,5.270106,7.06886
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.321126,8.85339,9.587258
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.070882,7.378883,8.2248825
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.850345,3.894565,5.872455
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.452218,4.159355,5.3057865
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.310203,5.45455,6.8823765
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.365814,4.162303,6.2640585
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.757711,6.029239,7.393475
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.221159,4.613485,6.917322
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.356862,4.159922,5.258392
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.202489,8.242029,9.722259
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.597091,6.516613,8.056852
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.873588,7.618415,8.2460015
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.889563,6.063065,6.976314
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.05116,7.693971,8.8725655
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.950057,7.515685,8.232871
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.570505,3.232336,4.9014205
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.673885,8.388176,9.0310305
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.717128,5.801942,7.259535
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.283803,5.79054,6.5371715
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.508964,5.968339,6.7386515
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.015162,6.380737,7.6979495
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.561676,6.651482,7.106579
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.986847,7.887136,8.9369915
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.680614,4.206037,4.9433255
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.093146,5.227227,7.1601865
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.925304,7.401508,8.163406
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.356946,5.904588,7.130767
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.583585,5.258129,6.420857
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.051907,6.931838,8.4918725
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.850801,5.71832,6.7845605
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.423156,5.781644,7.6024
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.067903,5.435152,6.2515275
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.069305,7.775239,8.922272
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.798715,6.942549,7.870632
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.662345,4.569392,6.1158685
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.205814,5.863389,6.5346015
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.43595,4.272537,6.3542435
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.945,4.159922,5.552461
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.871591,4.159922,5.5157565
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.498074,6.918792,8.208433
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.815309,3.833055,5.824182
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.775714,4.159355,4.9675345
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.112526,6.565995,6.8392605
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.731495,5.683135,6.707315
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.04553,4.393985,6.7197575
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.615885,7.5316,8.5737425
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.732433,5.468197,7.100315
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.482955,4.460137,6.471546
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.583585,5.859899,6.721742
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.820296,6.013789,6.9170425
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.804137,4.119548,6.4618425
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.188397,5.524538,6.3564675
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.866654,4.126604,6.496629
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.890955,7.480435,8.185695
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.704148,5.729311,7.2167295
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.910265,6.02564,6.4679525
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.893154,4.159355,5.5262545
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.887794,6.304454,6.596124
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.619828,4.159922,4.889875
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.583585,6.466352,7.0249685
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.55409,4.159355,5.8567225
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.302845,7.570084,8.4364645
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.168723,8.305203,9.236963
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.832215,8.726021,9.279118
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.012382,7.178463,9.5954225
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.268918,5.325589,7.2972535
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.226936,5.170857,6.6988965
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.290444,3.809202,5.549823
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.655314,7.0344,8.844857
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.845757,5.198952,6.0223545
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.60485,3.950944,5.777897
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.585039,4.119548,5.8522935
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.129206,3.809202,5.469204
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.337731,7.378995,9.358363
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.725658,4.54239,6.134024
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.70098,6.594195,7.1475875
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.809069,8.348781,9.078925
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.345763,6.555999,7.450881
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.035144,4.245291,5.6402175
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.991396,8.239405,9.1154005
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.224763,3.809202,5.0169825
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.310547,4.719527,7.015037
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.140174,5.68047,6.410322
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.587688,4.382433,5.9850605
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.500299,7.098343,8.299321
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.389672,6.114845,8.2522585
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.311318,3.809202,5.06026
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.249777,5.135391,7.192584
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.062882,4.572435,5.8176585
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.703567,7.705886,8.7047265
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.527302,8.014953,8.7711275
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.573945,7.083646,8.3287955
