"","sample","tissue","endometriosis","severity","p1553749_at","p1553750_a_at","FAM76B"
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.772661,3.108832,5.9407465
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.616634,3.322118,5.969376
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.889478,3.717777,6.8036275
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.190203,5.457373,7.323788
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.230439,4.427903,6.829171
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.423721,3.188844,6.3062825
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.485499,3.056318,6.2709085
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.526522,3.592849,6.0596855
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.173426,5.222709,7.1980675
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.236305,5.003755,7.12003
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.322306,3.759723,6.0410145
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.135338,4.811408,6.973373
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.792133,5.533687,7.16291
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.62824,4.566175,6.5972075
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.628388,3.186282,6.407335
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.87959,5.620938,7.250264
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.265787,4.198953,6.73237
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.668042,3.626153,6.6470975
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.669406,4.162309,6.9158575
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.22193,3.544011,6.3829705
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.034062,6.452535,7.7432985
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.50039,3.557184,6.528787
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.050906,3.52177,6.286338
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.471421,3.610765,6.541093
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.045472,4.215615,6.6305435
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.281432,3.87023,6.575831
