"","sample","tissue","endometriosis","severity","p1558507_at","p1558508_a_at","C1orf53"
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.559991,10.641657,8.600824
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.551516,9.94623,8.248873
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.543763,8.489442,7.0166025
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.438651,8.841741,7.140196
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.87599,8.217456,6.546723
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.511261,8.164609,6.337935
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.139412,8.372423,6.7559175
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.016853,9.114168,7.5655105
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.023352,8.433179,6.7282655
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.506648,8.135487,6.3210675
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.349033,7.531003,5.940018
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.748962,6.935126,5.342044
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.87599,8.616324,6.746157
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.385145,6.841556,5.1133505
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.355336,7.59655,5.975943
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.981121,8.225347,6.603234
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.468603,8.611747,7.040175
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.877806,8.249935,6.5638705
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.87599,7.930784,6.403387
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.537497,7.807864,6.1726805
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.023055,8.023018,6.0230365
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.223894,8.34261,6.783252
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.87599,8.413024,6.644507
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.387407,7.250117,5.818762
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.311185,7.413179,5.862182
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.139643,9.315796,7.7277195
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.643918,8.852618,6.748268
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.493258,10.053293,8.2732755
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.364332,9.64047,8.002401
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.861512,9.849435,7.8554735
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.592156,10.35995,8.476053
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.369923,9.817675,8.093799
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.430788,10.909042,9.169915
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.557574,9.069694,7.313634
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.87599,8.372297,6.6241435
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.004807,10.481017,8.742912
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.128208,8.943622,7.035915
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.338068,9.444783,7.8914255
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.710865,9.039966,6.8754155
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.449312,9.55729,8.003301
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.481773,9.947517,7.714645
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.350779,8.953524,7.1521515
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.282664,8.833617,7.0581405
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.810824,8.574546,6.692685
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.61428,10.341658,8.477969
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.908751,9.943644,7.9261975
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.225487,8.504922,6.8652045
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.493876,8.614312,7.054094
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.511261,7.340258,5.9257595
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.101909,9.393767,7.747838
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.87599,9.00008,6.938035
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.848197,9.866835,8.357516
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.14056,9.30547,7.223015
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.87599,8.148516,6.512253
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.336615,6.027082,4.1818485
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.300712,5.750718,4.025715
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,3.7339,2.9849835
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.357637,5.386055,4.871846
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.775415,3.748721,3.762068
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.397923,3.962333,4.180128
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.149124,4.784211,3.9666675
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.236067,4.773527,3.504797
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.000999,5.377109,4.689054
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.993695,6.563087,5.278391
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.447687,7.290692,5.8691895
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.397923,6.465241,5.431582
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.520481,6.980207,5.250344
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.985455,6.083198,5.0343265
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.991688,5.999241,4.4954645
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.242943,6.814846,5.5288945
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.964612,5.671235,4.3179235
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.992005,4.207785,4.099895
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.290851,7.557844,5.9243475
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.377378,6.849035,5.1132065
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.321466,7.322016,5.821741
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.15506,6.332778,4.743919
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.590262,6.368045,4.9791535
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.133255,7.433652,5.7834535
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.428176,5.583742,4.505959
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.101224,7.003083,5.5521535
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.729258,6.279499,5.0043785
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.508376,7.700581,6.1044785
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.397923,6.790607,5.594265
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.387084,4.052712,3.719898
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.831915,7.002991,5.417453
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.751051,6.095802,4.9234265
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.592017,7.594577,6.093297
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.116811,7.455195,5.786003
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.640504,7.634873,6.1376885
