"","sample","tissue","endometriosis","severity","p202011_at","p214168_s_at","TJP1"
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.413885,3.37979,5.8968375
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.050191,5.711465,8.380828
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.507637,4.9308,7.7192185
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.036346,3.353687,6.6950165
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.685051,5.710275,8.197663
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.978692,3.381808,6.68025
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.0611,3.51094,6.78602
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.925822,4.560206,7.743014
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.734986,4.635925,7.1854555
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.431524,2.719536,6.07553
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.858549,5.744938,8.3017435
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.022998,4.560206,7.291602
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.461885,4.185404,7.3236445
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.520485,3.136839,5.828662
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.373518,4.36649,7.370004
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.190848,4.490689,7.3407685
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.431352,3.353687,5.8925195
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.625859,3.353687,5.989773
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.891814,3.312171,6.6019925
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.926483,3.637318,6.7819005
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.696665,4.527231,7.111948
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.003268,4.218819,7.6110435
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.982919,4.20622,7.5945695
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.218541,3.848093,7.033317
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.33453,6.669283,9.0019065
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.371192,7.365894,9.368543
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.94548,4.31515,7.130315
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.218335,4.506259,7.362297
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.011871,6.223987,8.617929
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.39725,5.924222,8.660736
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.834213,6.115778,8.9749955
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.680474,5.130641,7.9055575
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.83339,5.700974,8.267182
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.796082,5.324968,8.060525
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.026692,6.867693,9.4471925
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.425962,6.332915,8.8794385
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.935836,7.106963,9.5213995
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.843487,7.725494,9.7844905
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.435636,6.685597,9.0606165
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.459684,6.698482,9.079083
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.775011,7.500749,9.63788
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.400384,7.185279,9.2928315
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.77595,7.079762,9.427856
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.701032,6.649642,9.175337
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.475187,7.240043,9.357615
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.904124,6.944835,9.4244795
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.953853,5.621484,8.2876685
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.612551,7.080774,9.3466625
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.437203,6.648706,9.0429545
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.908388,5.915351,8.4118695
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.199001,6.398101,8.798551
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.958831,5.617228,8.2880295
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.695033,5.517694,8.1063635
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.051332,3.664131,6.8577315
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.411845,4.609337,7.510591
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.164833,5.8877,8.5262665
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.253132,4.191126,7.222129
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.278877,5.485615,7.882246
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.796219,3.353687,7.074953
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.310997,5.535154,7.9230755
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.417434,6.092658,8.755046
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.546349,4.560206,7.5532775
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.634255,4.600273,7.617264
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.174208,4.387519,7.2808635
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.399962,5.290981,8.3454715
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.200865,3.803125,7.001995
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.627686,4.132368,6.880027
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.682411,5.247039,7.964725
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.099785,5.206687,8.153236
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.902854,5.483249,8.1930515
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.65861,3.963625,6.8111175
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.865577,4.429158,7.6473675
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.934199,6.279896,8.6070475
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.903626,4.560206,7.731916
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.370673,4.69586,7.5332665
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.10297,4.560206,7.831588
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.472559,4.619241,7.5459
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.224768,3.980484,7.102626
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.491793,4.488319,7.490056
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.752836,4.620124,7.68648
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.502651,8.188763,10.345707
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.131851,8.503549,10.3177
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.169382,8.14575,10.157566
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.195695,9.05077,10.6232325
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.011281,8.11698,10.0641305
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.662742,7.270311,9.4665265
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.406159,6.487452,8.9468055
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.21364,5.978009,9.0958245
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.585668,6.162691,8.8741795
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.314067,5.371241,8.342654
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.319088,6.162966,8.741027
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.017769,7.125483,9.571626
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.371558,5.544365,8.4579615
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.135451,7.507404,9.8214275
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.668522,8.216305,10.4424135
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.777541,7.412027,9.594784
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.057621,6.834229,9.445925
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.796247,7.444237,9.620242
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.734071,6.831248,9.2826595
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.622594,5.648649,8.6356215
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.423981,5.516954,8.4704675
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.268366,6.24944,8.758903
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.476296,5.81262,8.644458
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.22861,6.366032,8.797321
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.605327,6.493527,9.049427
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.826734,7.474844,9.650789
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.641402,6.70439,9.172896
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.739665,6.413187,9.076426
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.749843,7.049271,9.399557
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.649982,8.759193,10.2045875
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.664438,6.045572,8.855005
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.886521,7.310192,9.5983565
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.724623,6.006384,8.8655035
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.845465,5.811911,8.828688
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.589874,6.184075,8.8869745
