"","sample","tissue","endometriosis","severity","p1558738_at","p59625_at","p221566_s_at","NOL3"
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.560955,9.273085,9.008778,8.61427266666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.323136,9.723338,9.759086,8.60185333333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.28897,9.408786,8.733671,8.143809
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.082452,8.973987,10.216494,8.424311
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.592565,8.586286,8.509576,8.22947566666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.191362,7.342942,7.134389,7.22289766666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.111116,7.353206,7.219528,7.22795
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.828824,8.224999,7.793883,8.28256866666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.228764,7.988522,7.043325,7.753537
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.742596,8.726722,8.286622,8.58531333333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.919092,7.782995,7.456626,7.719571
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.630755,8.772274,8.378861,8.26063
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.650377,8.841645,8.948295,8.48010566666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.774585,8.01266,8.337307,7.708184
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.342994,8.608506,8.051158,8.33421933333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.375495,7.435005,7.555442,7.455314
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.098506,8.489273,7.79926,8.129013
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.172123,7.128973,6.587137,6.96274433333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.275631,7.031282,7.057793,6.454902
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.978917,6.954262,6.331683,6.754954
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.551995,7.414201,6.541929,6.83604166666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.955936,7.617433,6.409729,7.32769933333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.725584,7.022518,6.041191,6.596431
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.96419,8.483281,7.563824,8.003765
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.100858,7.713114,6.650951,7.48830766666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.342337,7.235763,6.343349,6.97381633333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.80304,7.765802,6.957848,7.17556333333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.245864,8.012524,7.54763,7.602006
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.938768,7.014663,6.298999,6.75081
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.760829,7.818689,7.506307,7.02860833333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.283682,6.512348,5.894376,5.896802
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.361939,8.599377,7.885691,8.28233566666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.61192,6.34743,5.713053,5.890801
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.876119,6.841812,6.06143,6.259787
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.237354,7.833887,7.188061,7.41976733333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.265613,8.007153,7.218074,7.83028
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.71142,7.23547,7.159982,7.035624
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.638697,9.001677,8.492506,8.04429333333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.616252,7.417574,6.901183,6.97833633333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.37622,8.327712,8.527234,7.743722
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.844929,6.891949,6.470813,6.40256366666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.442401,7.126892,7.277267,6.61552
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.925605,8.935193,8.065762,8.30885333333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.874463,7.782499,7.105991,7.25431766666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.29816,7.861099,7.990049,7.38310266666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.359444,8.49558,8.113655,7.98955966666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.240331,8.908508,8.871064,8.673301
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.998118,7.471349,6.855709,7.108392
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.417192,8.093333,8.173817,7.56144733333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.796157,8.432941,7.997138,8.075412
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.068287,9.291737,8.888588,9.08287066666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.860512,8.883166,8.30002,8.014566
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.238931,7.74484,6.583406,7.189059
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.623438,6.871639,5.437798,5.977625
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.944692,8.285721,7.717954,7.982789
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.802925,7.878501,7.133207,7.27154433333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.741972,8.877324,7.895948,8.171748
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.973498,7.741768,6.898085,7.20445033333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.228503,7.172935,6.61141,6.67094933333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.238931,7.696336,6.939524,7.291597
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.743292,7.229121,6.977946,6.983453
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.914714,7.489374,6.941909,6.781999
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.803454,7.373318,7.172868,7.11654666666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.747986,8.841912,8.070811,8.22023633333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.954484,9.10222,8.585188,8.54729733333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.091942,7.818689,7.039472,7.65003433333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.033962,7.926146,6.853023,7.604377
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.92032,7.449261,6.886333,7.418638
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.298545,7.049951,7.043325,7.130607
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.194853,6.004861,5.544464,5.914726
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.82831,6.255817,5.801495,6.29520733333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.768578,6.178317,5.177963,6.04161933333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.183689,8.404691,6.924405,7.837595
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.875556,8.00332,6.553952,7.81094266666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.656354,7.777561,5.67224,7.36871833333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.583414,8.617468,7.426602,8.20916133333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.012679,7.489453,5.708833,6.73698833333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.130894,7.736974,5.976657,7.28150833333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.60426,7.442384,6.143297,7.06331366666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.1753,8.039142,7.005936,7.740126
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.361137,8.023004,7.20151,7.86188366666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.242066,7.825348,6.328326,7.46524666666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.157564,7.323019,6.567375,7.015986
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.089598,7.010443,5.411537,6.170526
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.809279,7.818095,5.642888,7.42342066666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.232808,7.544253,6.035734,7.27093166666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.461098,8.340634,7.043325,7.94835233333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.943544,7.571673,5.514912,7.010043
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.685254,8.192414,7.053214,7.97696066666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.279087,7.860365,6.33211,7.49052066666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609661,7.605388,6.234781,7.14994333333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.514816,8.240905,7.049079,7.93493333333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.238931,6.956638,5.701485,6.63235133333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.238931,7.040758,5.178684,6.48612433333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.015999,7.783114,7.026666,7.608593
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.763488,6.748922,4.878191,6.13020033333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.335839,7.864296,6.652333,7.61748933333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.534252,6.6298,4.765984,5.97667866666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.238931,6.805005,4.692606,6.245514
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.880176,7.389366,5.540944,6.93682866666667
