"","sample","tissue","endometriosis","severity","p220145_at","p228423_at","MAP9"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.481405,6.993921,4.737663
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.088914,7.776241,6.4325775
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.046832,5.248006,4.147419
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.087048,6.716898,5.401973
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.283306,9.374655,8.3289805
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.178962,7.017284,6.098123
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.917806,7.205327,6.0615665
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.118305,7.955573,6.536939
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.631706,7.121556,5.376631
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.452254,6.363672,4.407963
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.788787,8.100683,6.444735
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.276418,5.776196,4.026307
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.894481,6.937652,4.9160665
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.543968,7.946294,6.245131
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.645408,6.541233,5.5933205
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.128357,7.617399,5.872878
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.559457,6.679896,5.6196765
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.787093,6.689514,5.2383035
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.462842,6.240101,5.3514715
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.917806,7.34127,6.129538
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.730317,5.944025,5.337171
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.263737,5.342144,3.8029405
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.086587,7.590703,5.338645
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.310674,7.241237,5.2759555
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.973405,7.880495,5.92695
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.543509,8.411593,7.477551
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.34252,6.979326,5.660923
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.163571,7.675622,6.4195965
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.705643,8.308221,7.006932
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.318945,7.824517,6.571731
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.253715,7.723425,6.48857
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.066567,7.574617,5.820592
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.437464,7.941582,6.689523
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.38653,8.256258,7.321394
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.004718,9.912321,8.4585195
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.523573,7.031902,5.7777375
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.050058,7.61262,6.331339
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.198761,8.810485,8.004623
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.644542,9.529394,8.586968
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.358803,8.92492,7.6418615
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.661218,8.557555,7.6093865
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.312597,9.179964,8.2462805
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.865435,8.982847,7.924141
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.418715,8.993085,7.7059
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.054694,9.92007,8.487382
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.139219,8.852165,7.495692
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.409239,9.144967,8.277103
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.414335,8.831643,8.122989
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.649593,8.932225,7.790909
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.336769,8.471031,7.9039
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.176289,9.248214,8.2122515
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.059776,8.864737,7.9622565
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.003512,7.76937,6.886441
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.118305,7.660909,6.389607
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.657027,8.407214,7.5321205
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.591517,7.280957,5.936237
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.263737,6.90959,4.5866635
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.400514,7.058285,5.7293995
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.974884,8.38337,7.179127
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.135809,6.765323,5.950566
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.917806,7.078774,5.99829
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.426089,8.4324,5.4292445
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.531273,6.005962,4.7686175
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.404037,8.116749,7.260393
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.452254,6.95205,4.702152
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.318356,7.961827,6.6400915
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.917806,7.493052,6.205429
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.92497,6.81352,5.869245
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.572297,8.189467,6.380882
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.599162,7.459879,5.0295205
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.49788,7.931573,6.7147265
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.803546,8.367272,7.085409
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.917806,7.386756,6.152281
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.903333,7.018798,5.4610655
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.775857,7.347375,6.061616
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.716219,7.791024,6.2536215
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.032223,7.416741,5.224482
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.194603,7.676,5.9353015
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.688302,7.893098,6.2907
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.19151,7.714355,6.4529325
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.967604,6.596926,5.282265
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.015557,8.924543,7.97005
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.521381,8.625375,7.073378
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.835496,8.291951,7.0637235
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.118305,7.663632,6.3909685
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.182822,8.106989,6.6449055
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.348613,8.381391,6.865002
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.237952,8.169344,6.203648
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.725235,6.607616,5.1664255
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.758872,7.67036,6.714616
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.207635,9.003506,7.6055705
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.2549,9.485016,7.869958
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.305503,9.237254,8.2713785
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.526605,9.038655,7.78263
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.424265,9.236616,7.8304405
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.18551,8.697149,7.9413295
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.732502,9.267119,7.4998105
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.144139,8.763824,6.9539815
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.230795,9.030419,7.630607
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.476223,8.639567,7.057895
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.968537,7.933296,6.9509165
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.096111,9.08708,8.0915955
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.192212,9.031815,8.1120135
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.150155,9.008873,8.079514
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.778049,9.699072,8.2385605
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.140981,8.720159,7.43057
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.95457,9.740442,8.847506
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.164383,8.992783,7.578583
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.254314,8.786118,8.020216
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.865995,9.203387,8.034691
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.299503,9.118449,8.208976
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.421747,8.941606,7.1816765
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.917806,7.369977,6.1438915
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.174548,9.119939,7.6472435
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.828701,8.304801,7.566751
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.354862,9.149203,7.7520325
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.637604,9.123957,7.8807805
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.259752,8.939591,7.5996715
