"","sample","tissue","endometriosis","severity","p1553118_at","p229253_at","THEM4"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.548758,10.129547,10.3391525
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.4488,5.395331,4.4220655
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.236697,4.885405,4.561051
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.157375,8.707068,8.9322215
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.048709,4.651224,3.8499665
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.324383,5.295304,4.3098435
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.329326,5.279809,4.3045675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.410805,3.878695,4.14475
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.235189,5.923049,5.579119
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.64101,7.381067,7.0110385
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.396857,4.093846,4.2453515
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.54181,6.519254,6.030532
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.447402,5.00295,4.225176
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.164607,3.461181,3.312894
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.100433,4.742803,3.921618
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.682687,6.913988,6.7983375
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.062792,5.023758,4.043275
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.716726,5.376301,4.5465135
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.160517,4.881407,4.020962
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.339365,5.152846,4.7461055
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.048709,4.214443,3.631576
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.755447,8.703724,7.7295855
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.677802,6.263779,6.4707905
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.389078,5.996999,6.1930385
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.26011,6.901719,7.0809145
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.332781,9.443644,9.3882125
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.939698,8.242725,7.5912115
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.41083,5.491553,4.4511915
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.027845,7.631189,7.329517
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.518734,6.881484,5.700109
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.716333,8.216958,7.4666455
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.680528,5.851199,5.2658635
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.217372,4.260898,4.739135
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.314786,6.730987,6.5228865
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.343426,8.411327,8.3773765
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.051515,6.855192,6.9533535
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.221504,6.497613,6.3595585
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.330868,10.302985,10.3169265
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.281446,8.002657,8.1420515
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.860975,7.602913,7.731944
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.063866,8.630166,8.347016
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.596694,8.907068,9.251881
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.093219,7.139673,7.116446
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.946211,7.911906,8.4290585
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.975936,6.629916,6.802926
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.467659,9.199527,9.333593
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.908389,7.14568,7.0270345
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.12729,7.11441,7.12085
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.551703,6.093361,5.822532
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.53963,7.964944,8.252287
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.228948,6.340055,6.2845015
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.999733,5.560872,4.7803025
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.844705,4.742497,3.793601
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.961402,4.479729,5.2205655
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.94935,5.512468,5.230909
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.837101,4.531749,4.684425
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.713383,9.777156,10.2452695
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.095152,4.522738,3.808945
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.100433,4.947049,4.023741
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.730963,7.236104,6.9835335
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.000712,6.827659,6.9141855
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.904334,5.380645,4.6424895
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.614592,5.828504,5.721548
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.100433,5.008332,4.0543825
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.089618,7.188981,7.1392995
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.289872,7.718368,7.50412
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.980331,6.338005,6.659168
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.726783,6.18556,5.9561715
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.083391,5.916318,4.9998545
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.100433,4.507664,3.8040485
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.41816,7.796954,8.107557
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.10141,6.028665,6.0650375
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.87873,5.843081,4.8609055
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.120059,4.312804,3.7164315
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.48861,5.819478,5.154044
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.890204,4.567206,4.728705
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.600625,5.395169,4.497897
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.547048,8.821028,8.184038
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.542662,8.083274,7.312968
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.00647,7.216794,7.111632
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.104577,8.945932,9.5252545
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.242959,8.073508,8.6582335
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.943555,7.492572,7.7180635
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.84823,7.209934,7.029082
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.005432,5.738578,5.372005
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.296439,6.079607,6.188023
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.605717,9.493902,9.0498095
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.176035,8.226726,7.7013805
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.793033,8.748007,8.27052
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.511469,10.639607,10.575538
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.931595,7.06375,6.9976725
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.503941,9.126236,8.3150885
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.194926,7.522989,6.8589575
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.789388,8.223498,7.506443
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.199067,7.73503,6.9670485
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.967109,7.773682,6.8703955
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.913721,6.131738,5.5227295
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.925418,8.411464,8.668441
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.990868,8.296885,8.1438765
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.300432,7.783209,7.5418205
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.812,9.47701,9.144505
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.306887,6.909473,5.60818
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.942797,10.561659,10.752228
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.681013,8.381364,8.0311885
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.10417,6.593177,5.8486735
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.151536,9.36754,8.759538
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.82442,7.631839,7.2281295
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.025808,7.780296,6.403052
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.293417,6.51718,5.4052985
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.384327,7.546506,6.9654165
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.49984,7.288763,6.8943015
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.698112,7.34447,7.021291
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.870834,7.727152,7.298993
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.924698,7.811418,7.868058
