"","sample","tissue","endometriosis","severity","p222275_at","p227600_at","MRPS30"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.920418,5.119138,6.019778
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.434589,4.621539,6.028064
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.624477,5.683045,6.653761
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.34185,5.677631,6.5097405
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.420179,5.103532,5.7618555
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.260967,6.183595,7.222281
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.935991,4.224892,5.0804415
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.537624,5.103247,6.3204355
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.867733,6.167247,7.01749
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.952139,5.103532,6.0278355
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.896638,5.82834,6.862489
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.12893,5.103247,6.1160885
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.629932,5.103247,5.8665895
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.045522,4.836909,5.9412155
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.026386,5.029128,6.027757
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.760277,5.103247,5.931762
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.82684,4.848901,5.3378705
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.44913,5.103532,6.276331
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.731988,6.051359,6.8916735
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.497936,5.103532,6.300734
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.188357,6.909458,7.5489075
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.697512,5.851079,6.7742955
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.241806,5.572223,6.4070145
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.016372,6.760407,7.3883895
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.647275,5.622247,6.634761
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.714227,5.643576,6.6789015
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.94489,5.940243,6.4425665
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.095284,6.425698,7.260491
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.791949,6.336616,7.0642825
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.931028,6.096603,7.0138155
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.544456,5.770643,6.6575495
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.083583,5.339441,6.211512
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.639917,7.177084,7.9085005
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.047841,7.540245,8.294043
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.690154,7.0337,7.861927
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.41171,7.259155,7.8354325
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.898861,7.163033,8.030947
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.499395,7.096144,7.7977695
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.273812,7.055806,7.664809
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.456022,7.40609,7.931056
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.766995,7.654928,8.2109615
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.767789,7.89244,8.3301145
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.917041,7.475865,8.196453
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.560156,7.777462,8.168809
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.737416,7.307759,8.0225875
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.123732,7.676234,8.399983
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.952733,7.870565,8.411649
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.342885,5.721323,6.532104
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.324326,6.364401,6.8443635
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.705264,6.393107,7.0491855
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966305,5.927806,6.4470555
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.132386,4.849508,5.990947
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.828674,5.473532,6.151103
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.623394,6.212789,6.9180915
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.099137,5.155483,6.12731
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.005757,5.276563,6.14116
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.485329,5.103247,6.294288
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.990889,4.551254,5.2710715
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.203507,5.927806,7.0656565
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.320281,5.713932,6.5171065
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.466267,6.321883,6.894075
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.020467,5.692062,6.8562645
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.391349,5.109299,6.250324
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.713494,6.310673,7.0120835
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531359,5.103532,6.3174455
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.650133,6.259029,6.954581
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.185142,6.555616,7.370379
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.690677,6.009729,6.850203
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.371201,5.460187,6.415694
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.629506,5.41717,6.523338
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.379563,5.792956,6.5862595
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.578774,5.917316,6.748045
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.648567,5.103532,6.3760495
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.964591,6.24857,7.1065805
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.944779,5.521618,6.2331985
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.231126,5.103532,6.167329
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.400782,6.336491,6.8686365
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.83739,6.087792,6.962591
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.960581,6.1389,7.0497405
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.408349,6.079472,6.7439105
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.900623,5.971557,6.93609
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.581075,6.205235,6.893155
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.769517,7.088289,7.928903
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609052,6.105249,6.8571505
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.92247,6.105249,7.0138595
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.790846,6.044179,6.9175125
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.343361,6.578764,7.4610625
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.922604,6.295258,7.608931
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.455931,6.679602,7.5677665
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.140074,6.604747,7.3724105
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.275569,6.174976,7.2252725
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.87952,6.470395,7.1749575
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.294184,6.970333,7.6322585
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.198705,6.887917,7.543311
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.3949,6.875229,7.6350645
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.412568,5.894115,6.6533415
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.335362,7.783209,8.5592855
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.829445,7.152495,7.99097
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.265905,7.258604,8.2622545
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.31543,7.11301,7.71422
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.16159,6.212962,7.187276
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.426345,6.412152,7.4192485
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.889058,6.701786,7.295422
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.705334,6.376424,7.040879
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.21118,6.110583,7.1608815
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.600046,7.011267,7.8056565
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.952823,6.968844,7.4608335
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.63632,6.216429,6.4263745
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.548492,6.442651,7.4955715
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.179406,6.417869,7.2986375
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.834422,7.253663,8.0440425
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.764655,6.970609,7.867632
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.784744,7.026064,7.905404
