"","sample","tissue","endometriosis","severity","p202618_s_at","p202617_s_at","MECP2"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.75359,6.27791,6.51575
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.622373,7.095344,6.8588585
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.865824,5.980959,6.9233915
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.105717,6.007627,6.556672
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.106325,6.201041,6.153683
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.721226,4.831836,5.776531
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.941615,6.419872,6.6807435
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.436836,6.27791,6.357373
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.366167,6.029842,6.6980045
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.088036,6.277726,7.182881
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.479877,6.846012,6.6629445
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.473433,6.27791,6.8756715
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.158863,6.277253,6.718058
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.258515,6.201203,6.229859
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.355035,6.030848,6.6929415
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.692757,5.813402,6.2530795
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.444176,5.749473,6.5968245
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.176751,6.27791,6.7273305
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.497342,5.356569,5.9269555
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.516096,5.418447,6.4672715
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.570506,5.954122,6.262314
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.350467,6.120995,6.235731
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.250786,6.359137,6.8049615
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.134829,6.067603,6.601216
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.822788,6.27791,6.550349
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.239189,6.661654,6.4504215
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.385312,6.444478,6.914895
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.258515,5.952137,6.105326
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224135,5.609422,5.9167785
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.755626,6.27791,6.516768
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.732706,6.220265,6.4764855
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.505243,6.27791,6.3915765
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.518629,6.327275,6.422952
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224135,6.324435,6.274285
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.067802,6.442911,6.2553565
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.776372,7.42312,7.099746
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.600987,6.370592,6.4857895
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.863333,5.554109,5.708721
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.061715,6.512904,6.2873095
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.51922,6.523646,6.021433
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.735307,6.40754,6.0714235
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.789017,5.475035,5.632026
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.672186,6.63912,6.155653
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.487702,6.475476,5.981589
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.925575,6.27791,6.1017425
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.658238,5.915756,5.786997
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.767548,6.27791,6.022729
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.682962,6.006778,5.84487
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.147472,6.41711,6.282291
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.205271,5.998337,6.101804
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.258515,6.225545,6.24203
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.224135,5.817104,6.0206195
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258515,6.466237,6.362376
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.224135,6.527415,6.375775
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.297913,6.389092,6.3435025
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.617485,5.510252,6.0638685
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966443,6.986545,6.976494
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.832996,5.826403,6.3296995
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.675675,6.052077,6.363876
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.20596,6.279995,6.7429775
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.608921,6.484457,6.546689
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.093547,6.777661,6.935604
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.40913,6.503296,6.956213
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.194887,5.869491,6.032189
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.33278,6.119895,6.2263375
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.956774,6.27791,6.617342
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.266037,6.11546,6.1907485
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.604511,6.143557,6.374034
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258515,6.615856,6.4371855
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.38319,6.27791,6.83055
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.323807,6.485246,6.4045265
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.302473,6.099332,6.2009025
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.319401,5.803161,6.061281
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.246996,6.400821,6.8239085
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.438693,6.270419,6.354556
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.224135,6.27791,6.2510225
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.073892,6.732043,6.9029675
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258515,7.259274,6.7588945
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.350998,6.308127,6.3295625
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.822189,5.951189,6.386689
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.333665,5.478464,6.4060645
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966745,6.665254,6.8159995
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.709391,6.414232,6.5618115
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.173862,5.988662,6.081262
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.535762,5.92693,5.731346
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.939092,5.86746,5.903276
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.105522,6.280049,6.1927855
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.021035,6.636986,6.3290105
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.224135,6.27791,6.2510225
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.224135,6.146209,6.185172
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.729894,7.356523,6.5432085
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.70311,7.351612,6.527361
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.417116,6.27791,5.847513
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.073177,6.649644,6.3614105
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.539424,6.920351,6.2298875
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.213908,5.755512,5.48471
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.487702,6.982187,6.2349445
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.727767,6.811343,6.269555
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.882624,6.354223,6.1184235
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.602135,7.065238,6.3336865
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.816002,6.446551,6.1312765
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.495332,5.898386,5.696859
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.797573,6.27791,6.0377415
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.275064,6.501149,5.8881065
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.10095,7.34701,6.72398
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.712125,6.981336,6.3467305
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.674552,6.657896,6.166224
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.187771,6.555426,6.3715985
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.716561,5.881449,5.799005
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.494831,6.27791,5.8863705
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.018529,6.497184,6.2578565
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.224135,6.51806,6.3710975
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258515,6.777961,6.518238
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.530276,6.25365,5.891963
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.487702,6.258184,5.872943
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.310914,6.585125,5.9480195
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.188949,6.173274,5.6811115
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.48958,6.538641,6.0141105
