"","sample","tissue","endometriosis","severity","p221542_s_at","p221543_s_at","ERLIN2"
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.396793,6.293207,4.845
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.057452,6.614395,4.8359235
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.420885,9.236592,7.8287385
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.081452,7.874527,6.4779895
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.90561,8.430832,6.168221
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.389946,8.537933,6.9639395
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.90561,8.123199,6.0144045
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.892102,7.940857,5.4164795
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.135712,9.161543,7.1486275
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.90561,7.566916,5.736263
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.532277,8.061797,5.797037
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.288165,9.148301,7.218233
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.307664,7.826105,6.0668845
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.514523,8.585195,7.049859
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.90561,7.214721,5.5601655
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.90561,8.561046,6.233328
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.166922,7.885055,6.0259885
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.104019,6.87495,4.9894845
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.90561,6.970937,5.4382735
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.432435,7.253284,5.8428595
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.946369,8.868021,6.907195
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.173177,7.959601,6.566389
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.148345,8.434089,6.291217
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.061595,9.222698,7.6421465
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.402582,7.718269,6.0604255
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.821506,8.828408,7.324957
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.171418,9.01199,7.591704
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.704178,8.170494,6.937336
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.730599,8.400381,7.06549
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.937693,8.470753,7.204223
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.065663,8.691975,7.378819
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.747943,9.738423,8.243183
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.974193,8.400312,7.1872525
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.288165,8.227271,6.757718
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.707032,7.861037,6.7840345
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.951635,9.591938,8.2717865
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.345018,9.874901,8.6099595
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.87554,9.33258,8.10406
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.333353,9.948484,8.6409185
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.154203,9.69746,8.4258315
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.830763,9.489814,8.1602885
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.9939,9.332157,8.1630285
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.527456,9.275468,7.901462
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.698173,9.766821,8.732497
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.859755,10.064246,8.9620005
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.383659,9.871095,8.627377
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.652696,10.200659,8.9266775
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.483086,9.731415,8.1072505
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.5711,9.944951,8.7580255
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.384062,9.773179,8.5786205
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.196487,8.381916,6.7892015
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.134817,8.855334,7.4950755
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.584449,8.562624,7.0735365
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.479192,8.084022,6.281607
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.90561,7.681451,5.7935305
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.218651,7.976508,6.5975795
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.704178,8.80718,7.255679
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.016019,7.623171,6.319595
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.516976,8.213761,6.8653685
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.615988,8.98335,6.799669
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.946696,7.303962,5.625329
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.854283,8.797583,7.325933
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.288165,8.460718,6.8744415
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.289912,8.297572,6.793742
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.619423,8.625288,7.1223555
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.288165,8.576993,6.932579
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.90561,7.935193,5.9204015
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.90561,8.608242,6.256926
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.427154,8.267974,6.847564
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.704178,8.648133,7.1761555
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.923522,8.838665,7.3810935
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.346624,7.614508,5.980566
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.201231,8.626637,6.913934
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.704178,8.518787,7.1114825
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.338231,8.737543,7.037887
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.605242,8.794113,6.1996775
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.571341,9.027578,7.2994595
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.481657,7.709181,6.595419
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.64538,8.493719,6.5695495
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.719665,8.772063,7.245864
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.842049,8.352714,7.0973815
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.048397,9.075157,8.061777
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.332839,8.635054,7.9839465
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.063203,8.475687,7.269445
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.189172,8.89658,8.042876
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.690612,8.457761,8.0741865
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.432275,8.22331,7.3277925
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.967325,8.37964,7.1734825
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.529926,9.861891,8.1959085
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.333895,10.232934,8.7834145
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.145412,9.558589,7.8520005
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.986725,9.352989,8.169857
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.02767,9.71522,8.371445
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.585288,9.391948,7.988618
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.031525,9.764196,8.3978605
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.869596,9.600619,8.2351075
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.902544,9.883476,8.39301
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.763096,9.662008,8.212552
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.33322,8.88869,7.610955
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.359153,9.948754,8.6539535
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.303144,9.593488,7.948316
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.997392,9.923799,8.4605955
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.900464,9.269344,8.084904
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.523499,9.544387,8.033943
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.299691,9.141615,7.720653
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.426854,9.448325,7.9375895
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.003964,9.886604,8.445284
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.205389,9.621882,7.9136355
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.753017,9.784078,8.2685475
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.112389,9.926351,8.51937
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.354013,8.389685,6.871849
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.784446,9.702689,8.2435675
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.487302,10.000438,8.24387
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.569175,9.818186,8.1936805
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.621215,9.716224,8.1687195
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.686012,9.684713,8.1853625
