"","sample","tissue","endometriosis","severity","p243704_at","p219078_at","p236026_at","p239768_x_at","GPATCH2"
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.101242,5.625832,3.889959,3.017829,4.1587155
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.521651,5.875155,4.656217,2.972571,4.5063985
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.426818,4.598743,4.079494,2.481928,3.64674575
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.239619,5.809604,4.604281,2.471036,4.281135
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.732794,6.403438,5.926086,5.522605,5.89623075
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.232877,5.759578,5.215469,5.474871,5.42069875
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.725684,7.388933,5.628356,5.805712,6.13717125
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.177344,6.037445,5.782066,4.31917,5.32900625
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.306315,4.865304,5.00165,5.223395,4.849166
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.027639,6.889729,5.417879,5.327219,5.6656165
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.479832,7.069633,5.120016,4.777852,5.61183325
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.062174,6.253993,5.062139,5.163484,5.3854475
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.54486,5.945317,5.361809,4.24081,5.023199
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.588928,5.965648,6.188663,5.133469,5.719177
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.997798,5.135835,5.256067,4.122564,4.878066
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.535195,5.663356,6.443268,4.431273,5.518273
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.903897,5.127699,4.577388,3.980223,4.64730175
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.85408,6.480044,6.561876,5.4727,6.092175
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.699725,6.210579,6.097132,5.590584,5.899505
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.296462,3.882964,3.740625,2.471036,3.34777175
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.860846,4.772964,4.199405,2.407729,3.810236
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.389245,5.706545,4.682914,3.37809,4.5391985
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.110086,3.882964,3.531682,2.560892,3.271406
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.12259,3.230482,5.445653,2.236067,3.758698
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.296394,3.890329,3.95099,2.471036,3.40218725
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.45043,5.755581,4.499118,3.870891,4.894005
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.19812,4.551885,3.20147,2.90249,3.46349125
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.038897,4.210313,3.00071,2.659721,3.22741025
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.546576,4.026532,4.982878,2.90249,4.114619
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822576,3.936087,2.983694,2.471036,3.30334825
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822576,4.695938,4.8175,2.90249,4.059626
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.816533,3.882964,3.74537,2.254592,3.42486475
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.710598,4.751502,4.389374,2.471036,3.8306275
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822576,4.745204,3.276577,2.51064,3.58874925
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.141055,3.690861,3.37845,2.471036,3.1703505
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.794335,2.456919,4.363511,2.90249,3.37931375
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.816533,4.662598,4.458426,2.471036,3.85214825
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.084774,4.148164,3.833909,2.90249,3.74233425
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.913382,5.624388,4.525778,2.971981,4.50888225
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822576,4.5872,3.558402,2.471036,3.6098035
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.085465,3.509786,4.520316,2.90249,3.75451425
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.818912,3.703768,4.090738,2.473984,3.5218505
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.111601,4.744454,3.233039,2.474552,3.3909115
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.703691,4.77737,4.93905,2.90249,4.33065025
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822576,2.902974,3.865168,2.471036,3.2654385
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.855798,4.756304,4.443619,2.90249,3.98955275
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.200366,4.070413,3.20147,2.471036,3.23582125
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822576,4.932718,3.118055,2.471036,3.58609625
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.844758,3.850053,4.690084,2.90249,3.82184625
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.854474,4.745204,4.588419,2.471036,3.91478325
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.776477,4.925873,2.64037,2.90249,3.3113025
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.854474,4.793086,2.858931,2.90249,3.60224525
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.822576,4.78248,3.066764,2.90249,3.6435775
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.217019,5.020668,3.06656,2.90249,3.80168425
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.818896,5.180927,3.127076,2.90249,3.75734725
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.816533,5.331712,3.20147,2.471036,3.70518775
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.208044,5.79426,3.136695,2.90249,4.26037225
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.141739,5.73527,4.78777,5.101463,4.9415605
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.345396,5.10825,4.722516,4.111701,4.57196575
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.401597,6.225865,5.160234,4.423056,5.052688
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.023766,5.071712,4.474805,4.794378,4.59116525
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.313529,6.40364,4.953097,4.484207,5.28861825
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.854474,6.096494,4.627992,3.92628,4.62631
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.705645,6.00788,3.672988,4.888955,4.818867
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.356325,5.702255,4.342203,4.269128,4.91747775
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.617099,5.509412,3.898577,4.398329,4.60585425
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.32138,6.745869,4.625062,4.910986,5.40082425
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.86813,6.332699,3.852808,4.29682,4.83761425
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.264455,6.12781,5.468955,5.30682,5.54201
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.854556,5.766625,4.69171,4.747336,5.01505675
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.662946,5.479826,5.347578,4.904072,5.0986055
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.501503,5.779658,4.950988,5.035256,5.31685125
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.258649,5.581431,4.382114,4.2258,4.6119985
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.479457,5.183683,3.998588,4.51913,4.5452145
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.278374,7.119933,6.735352,4.380803,5.6286155
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.168877,5.528874,3.646493,3.918563,4.31570175
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.854474,5.506973,4.683965,5.35815,4.8508905
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.737106,5.976456,3.991809,5.035819,5.1852975
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.707901,6.792073,5.33634,4.506477,5.33569775
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.050562,6.218738,5.6118,3.313314,4.7986035
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.198472,6.031528,4.634079,4.008976,4.96826375
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.461994,5.610624,4.063994,2.94473,4.0203355
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.199899,6.382888,4.8463,5.070888,5.37499375
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.991426,6.437043,4.102632,5.099602,5.15767575
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.960506,6.287818,4.062435,4.974615,5.0713435
