"","sample","tissue","endometriosis","severity","p244699_at","p221569_at","AHI1"
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.464404,6.119068
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.860576,5.817154
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,5.839115,5.3064235
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.151881,5.4628065
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.898958,5.836345
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.02987,5.901801
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.611682,8.034063,6.8228725
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.67251,5.723121
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,5.56104,5.167386
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.061767,6.497545,5.779656
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.207873,7.31578,6.2618265
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.815679,5.7947055
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.803266,7.937778,6.370522
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.65668,6.215206
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.096029,7.450154,6.2730915
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.208148,7.252081,5.7301145
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.090298,5.932015
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.342016,7.452693,5.8973545
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.203575,7.692599,7.448087
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.261708,7.660139,6.9609235
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.381551,8.260345,6.820948
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.302608,7.936159,7.1193835
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.754676,8.201895,7.4782855
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.278158,7.811165,6.5446615
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.854069,8.109142,7.4816055
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.782783,9.914855,7.348819
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.782923,10.029885,7.906404
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.466924,8.990742,7.228833
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,9.133838,6.953785
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.454622,9.748175,8.1013985
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.40089,8.775057,7.5879735
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.81373,9.685047,7.7493885
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.429744,9.313236,7.37149
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.017059,8.55667,6.7868645
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.680845,10.063986,7.8724155
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.900153,8.887649,7.393901
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,7.874944,6.324338
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,8.866757,6.8202445
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.83317,9.558163,8.1956665
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.827392,8.87002,6.848706
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.826776,8.726384,6.77658
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.200137,8.777516,6.9888265
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.086182,9.463937,7.7750595
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.574858,8.644676,7.609767
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,8.474026,6.623879
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.321076,8.917413,7.6192445
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.442897,9.338547,7.890722
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,8.053052,6.413392
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.217076,9.195895,8.2064855
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.48033,8.646377,7.5633535
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.455072,9.095207,7.7751395
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.500068,8.95791,7.728989
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.134585,8.605127,7.369856
